year,regtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,West,8618,1.627094542359001,1.5879492219455715,1.6662398627724306,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1985,Rural regions,West,2351,1.5217032786219549,1.4580397003616041,1.5853668568823056,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1986,Urban regions,West,8298,1.525408904398514,1.48815514557746,1.562662663219568,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1986,Rural regions,West,2252,1.4584407332458793,1.3970653459665965,1.5198161205251621,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1987,Urban regions,West,8203,1.5822678207457412,1.5424212940599555,1.622114347431527,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1987,Rural regions,West,2216,1.3861956102114543,1.32987537414869,1.4425158462742187,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1988,Urban regions,West,7868,1.5439207375149113,1.505157362147989,1.5826841128818336,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1988,Rural regions,West,2074,1.4382951412807683,1.3784823476819499,1.4981079348795867,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1989,Urban regions,West,7666,1.5300010429591098,1.4889455791424804,1.5710565067757392,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1989,Rural regions,West,1970,1.3570483885086142,1.2943882156817585,1.4197085613354699,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1990,Urban regions,West,,,,,,,,,,,,
1990,Urban regions,East,1435,1.6686154135453732,1.5720624982614246,1.7651683288293218,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1990,Rural regions,West,,,,,,,,,,,,
1990,Rural regions,East,2835,1.3018462706934095,1.2386109411086854,1.3650816002781336,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1991,Urban regions,West,7303,1.952212498139534,1.9083767035848087,1.996048292694259,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1991,Urban regions,East,1320,1.9121740484333918,1.8094763113075742,2.014871785559209,1.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0
1991,Rural regions,West,1985,1.7878305862225174,1.7189665683394446,1.8566946041055903,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0
1991,Rural regions,East,2696,1.634136622320718,1.5682709123844778,1.7000023322569584,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1992,Urban regions,West,7220,1.9657023960996682,1.9186195026375947,2.0127852895617417,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1992,Urban regions,East,1310,1.989740822764522,1.8786999195115732,2.1007817260174706,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1992,Rural regions,West,1977,1.8201729804359357,1.7418326324332298,1.8985133284386415,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0
1992,Rural regions,East,2532,1.693715836728591,1.617271645246931,1.770160028210251,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1993,Urban regions,West,7165,1.9921856571924992,1.9420526211283173,2.0423186932566813,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1993,Urban regions,East,1304,1.8972567275179766,1.782226964557913,2.01228649047804,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1993,Rural regions,West,1985,1.768566226227488,1.6868833600774056,1.8502490923775703,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1993,Rural regions,East,2496,1.7530702620893102,1.6767140716001399,1.8294264525784805,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1994,Urban regions,West,7054,2.3300640894677658,2.279966958829141,2.3801612201063906,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1994,Urban regions,East,1303,2.2665740546030952,2.14753162218284,2.3856164870233503,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1994,Rural regions,West,1937,2.084115470379718,2.0047327955685743,2.1634981451908617,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1994,Rural regions,East,2449,2.0581826976333457,1.9774027492909005,2.138962645975791,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1995,Urban regions,West,7391,2.0180817194187326,1.9690744651406604,2.067088973696805,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1995,Urban regions,East,1216,1.9958005429771604,1.8829680631964654,2.1086330227578554,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1995,Rural regions,West,2083,1.8927475439209507,1.8152347405456326,1.9702603472962688,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1995,Rural regions,East,2462,1.7591340443601013,1.6841541091390346,1.834113979581168,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1996,Urban regions,West,7174,2.2904165182438914,2.239834746541365,2.340998289946418,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1996,Urban regions,East,1232,2.1390398399560304,2.032751935883773,2.245327744028288,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1996,Rural regions,West,2062,2.1220068630439513,2.0444648319317276,2.199548894156175,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1996,Rural regions,East,2431,2.105998592687254,2.0309457710366337,2.1810514143378743,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1997,Urban regions,West,7086,2.0631063025913785,2.013375532735648,2.112837072447109,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1997,Urban regions,East,1195,1.9423412735157035,1.8343045142487064,2.050378032782701,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1997,Rural regions,West,2022,1.9574956789219649,1.8727027477955336,2.0422886100483963,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1997,Rural regions,East,2406,1.910603339421302,1.8315087717295904,1.9896979071130136,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1998,Urban regions,West,7623,2.2430981294456935,2.19669802831359,2.289498230577797,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1998,Urban regions,East,1204,2.1869758831067654,2.080186834857539,2.293764931355992,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1998,Rural regions,West,2264,2.164292910804187,2.0848816794214904,2.2437041421868833,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1998,Rural regions,East,2514,2.2279339749899867,2.1493536502648434,2.30651429971513,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1999,Urban regions,West,7554,2.029056296612683,1.9813601237390777,2.0767524694862884,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1999,Urban regions,East,1230,2.0430376198460762,1.9371108175614344,2.1489644221307183,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1999,Rural regions,West,2239,1.9509754626178408,1.8743904306512835,2.027560494584398,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1999,Rural regions,East,2533,1.9089542938495854,1.836382929113463,1.9815256585857077,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
2000,Urban regions,West,13775,2.31832120759339,2.2834325797147845,2.3532098354719957,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2000,Urban regions,East,1842,2.2427528787083606,2.1558890188591335,2.3296167385575877,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2000,Rural regions,West,4384,2.224265886017086,2.168961169479685,2.279570602554487,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2000,Rural regions,East,3969,2.369202587751702,2.3040792932151817,2.4343258822882223,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2001,Urban regions,West,12515,2.2169141702170605,2.1788965242259697,2.2549318162081513,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2001,Urban regions,East,1743,2.172827557148001,2.0794521315198744,2.2662029827761274,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2001,Rural regions,West,3914,2.0792348689798184,2.0178018084711615,2.140667929488475,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2001,Rural regions,East,3680,2.249298485521872,2.1856972807448862,2.312899690298858,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2002,Urban regions,West,13441,2.4820778950082376,2.445102365378472,2.5190534246380034,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2002,Urban regions,East,1767,2.335433588058677,2.2445370438970476,2.4263301322203064,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2002,Rural regions,West,4074,2.3429246592635087,2.2776463261763897,2.4082029923506276,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2002,Rural regions,East,3649,2.4645485183597646,2.3980700091189724,2.531027027600557,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2003,Urban regions,West,12957,2.291859563548304,2.2532773380648536,2.3304417890317546,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2003,Urban regions,East,1761,2.290372138873989,2.187444437471472,2.3932998402765056,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2003,Rural regions,West,3845,2.1641133356378894,2.097616438422561,2.230610232853218,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
