year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,2.07984,2.04482,2.11485,1.00000,2.00000,2.00000,1.00000,3.50000,7524.00000
1985,1.60116,1.56767,1.63466,0.00000,1.00000,2.00000,0.00000,5.00000,10969.00000
1986,1.50899,1.47703,1.54095,0.00000,1.00000,2.00000,0.00000,5.00000,10550.00000
1987,1.53504,1.50167,1.56842,0.00000,1.00000,2.00000,0.00000,5.00000,10419.00000
1988,1.51894,1.48600,1.55188,0.00000,1.00000,2.00000,0.00000,5.00000,9942.00000
1989,1.49000,1.45509,1.52491,0.00000,1.00000,2.00000,0.00000,5.00000,9636.00000
1990,1.43934,1.38616,1.49253,0.00000,1.00000,2.00000,0.00000,5.00000,4355.00000
1991,1.87555,1.84452,1.90658,1.00000,1.00000,3.00000,0.00000,6.00000,13392.00000
1992,1.90318,1.86922,1.93713,1.00000,1.00000,3.00000,0.00000,6.00000,13157.00000
1993,1.91248,1.87662,1.94833,0.00000,1.00000,3.00000,0.00000,7.50000,12950.00000
1994,2.24533,2.20928,2.28138,1.00000,2.00000,3.00000,0.00000,6.00000,12743.00000
1995,1.95956,1.92454,1.99458,1.00000,2.00000,3.00000,0.00000,6.00000,13152.00000
1996,2.22550,2.18987,2.26112,1.00000,2.00000,3.00000,0.00000,6.00000,12899.00000
1997,2.01671,1.98076,2.05266,1.00000,2.00000,3.00000,0.00000,6.00000,12710.00000
1998,2.22280,2.18880,2.25679,1.00000,2.00000,3.00000,0.00000,6.00000,13605.00000
1999,2.00032,1.96625,2.03438,1.00000,2.00000,3.00000,0.00000,6.00000,13556.00000
2000,2.30245,2.27664,2.32826,1.00000,2.00000,3.00000,0.00000,6.00000,23970.00000
2001,2.19200,2.16421,2.21979,1.00000,2.00000,3.00000,0.00000,6.00000,21852.00000
2002,2.44386,2.41610,2.47161,1.00000,2.00000,3.00000,0.00000,6.00000,22931.00000
2003,2.27155,2.24263,2.30046,1.00000,2.00000,3.00000,0.00000,6.00000,22142.00000
2004,2.46890,2.44114,2.49666,1.00000,2.00000,3.00000,0.00000,6.00000,21574.00000
2005,2.24939,2.22047,2.27832,1.00000,2.00000,3.00000,0.00000,6.00000,20671.00000
2006,2.46749,2.43959,2.49540,1.00000,2.00000,3.00000,0.00000,6.00000,21931.00000
2007,2.21049,2.18121,2.23977,1.00000,2.00000,3.00000,0.00000,6.00000,20483.00000
2008,2.41370,2.38460,2.44281,1.00000,2.00000,3.00000,0.00000,6.00000,19286.00000
2009,2.14584,2.11473,2.17696,1.00000,2.00000,3.00000,0.00000,6.00000,17996.00000
2010,2.37689,2.35012,2.40366,1.00000,2.00000,3.00000,0.00000,6.00000,23950.00000
2011,2.05946,2.03578,2.08314,1.00000,2.00000,3.00000,0.00000,6.00000,28356.00000
2012,2.30340,2.27965,2.32715,1.00000,2.00000,3.00000,0.00000,6.00000,27611.00000
2013,1.75904,1.73610,1.78198,0.00000,1.00000,2.00000,0.00000,5.00000,25669.00000
2014,1.89905,1.87698,1.92112,1.00000,1.00000,3.00000,0.00000,6.00000,27061.00000
2015,1.74408,1.72065,1.76751,0.00000,1.00000,2.00000,0.00000,5.00000,26780.00000
2016,1.89053,1.86838,1.91268,1.00000,1.00000,3.00000,0.00000,6.00000,27168.00000
2017,1.75219,1.73111,1.77326,0.00000,1.00000,2.00000,0.00000,5.00000,30451.00000
2018,1.95506,1.93296,1.97716,1.00000,1.00000,3.00000,0.00000,6.00000,29129.00000
2019,1.72486,1.70332,1.74639,0.00000,1.00000,2.00000,0.00000,5.00000,29051.00000
2020,1.96627,1.94399,1.98855,1.00000,1.00000,3.00000,0.00000,6.00000,29332.00000
2021,1.29871,1.27536,1.32207,0.00000,1.00000,2.00000,0.00000,5.00000,18985.00000
2022,1.64061,1.61920,1.66202,1.00000,1.00000,2.00000,0.00000,3.50000,27348.00000
