year,age_gr,bula_h,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Schleswig-Holstein,Not at all,0.83926,93,93,0.76421,0.91432
2002,17-29 y.,Hamburg,Not at all,0.78279,44,44,0.65954,0.90604
2002,17-29 y.,Lower Saxony,A Little,0.17894,65,338,0.13801,0.21986
2002,17-29 y.,Lower Saxony,Not at all,0.78754,273,338,0.74387,0.83122
2002,17-29 y.,North Rhine-Westphalia,A Little,0.17181,129,805,0.14573,0.19788
2002,17-29 y.,North Rhine-Westphalia,Not at all,0.80693,676,805,0.77965,0.83421
2002,17-29 y.,Hesse,A Little,0.16238,43,271,0.11839,0.20637
2002,17-29 y.,Hesse,Not at all,0.82786,228,271,0.78283,0.87289
2002,17-29 y.,"Rhineland-Palatinate, Saarland",A Little,0.17532,36,220,0.12496,0.22568
2002,17-29 y.,"Rhineland-Palatinate, Saarland",Not at all,0.80159,184,220,0.74877,0.85441
2002,17-29 y.,Baden-Wuerttemberg,A Little,0.15200,78,526,0.12129,0.18271
2002,17-29 y.,Baden-Wuerttemberg,Not at all,0.82440,448,526,0.79185,0.85694
2002,17-29 y.,Bavaria,A Little,0.15798,84,560,0.12775,0.18822
2002,17-29 y.,Bavaria,Not at all,0.80911,476,560,0.77653,0.84169
2002,17-29 y.,Berlin,A Little,0.30704,49,163,0.23601,0.37807
2002,17-29 y.,Berlin,Not at all,0.69027,114,163,0.61907,0.76147
2002,17-29 y.,Brandenburg,A Little,0.28702,45,189,0.22236,0.35169
2002,17-29 y.,Brandenburg,Not at all,0.69357,144,189,0.62767,0.75947
2002,17-29 y.,Mecklenburg-Western Pomerania,Not at all,0.70902,76,76,0.60622,0.81182
2002,17-29 y.,Saxony,A Little,0.19704,59,303,0.15218,0.24190
2002,17-29 y.,Saxony,Not at all,0.77954,244,303,0.73279,0.82630
2002,17-29 y.,Saxony-Anhalt,A Little,0.20153,38,175,0.14192,0.26113
2002,17-29 y.,Saxony-Anhalt,Not at all,0.75744,137,175,0.69375,0.82113
2002,17-29 y.,Thuringa,A Little,0.16568,38,203,0.11440,0.21695
2002,17-29 y.,Thuringa,Not at all,0.80771,165,203,0.75336,0.86206
2002,30-45 y.,Schleswig-Holstein,A Little,0.27348,52,195,0.21075,0.33620
2002,30-45 y.,Schleswig-Holstein,Not at all,0.66652,143,195,0.60018,0.73286
2002,30-45 y.,Hamburg,Not at all,0.84201,70,70,0.75595,0.92807
2002,30-45 y.,Lower Saxony,Strong,0.07292,46,662,0.05309,0.09274
2002,30-45 y.,Lower Saxony,A Little,0.32535,207,662,0.28963,0.36106
2002,30-45 y.,Lower Saxony,Not at all,0.59893,409,662,0.56157,0.63629
2002,30-45 y.,Bremen,Not at all,0.70933,34,34,0.55440,0.86425
2002,30-45 y.,North Rhine-Westphalia,Strong,0.04741,72,1578,0.03692,0.05790
2002,30-45 y.,North Rhine-Westphalia,A Little,0.28932,427,1578,0.26694,0.31170
2002,30-45 y.,North Rhine-Westphalia,Not at all,0.65775,1079,1578,0.63433,0.68117
2002,30-45 y.,Hesse,A Little,0.27408,157,530,0.23607,0.31209
2002,30-45 y.,Hesse,Not at all,0.68655,373,530,0.64702,0.72608
2002,30-45 y.,"Rhineland-Palatinate, Saarland",A Little,0.30284,127,449,0.26030,0.34539
2002,30-45 y.,"Rhineland-Palatinate, Saarland",Not at all,0.65421,322,449,0.61017,0.69825
2002,30-45 y.,Baden-Wuerttemberg,Strong,0.05684,49,1002,0.04249,0.07118
2002,30-45 y.,Baden-Wuerttemberg,A Little,0.28104,259,1002,0.25319,0.30889
2002,30-45 y.,Baden-Wuerttemberg,Not at all,0.65586,694,1002,0.62643,0.68529
2002,30-45 y.,Bavaria,Strong,0.06065,55,1092,0.04649,0.07481
2002,30-45 y.,Bavaria,A Little,0.28373,311,1092,0.25698,0.31048
2002,30-45 y.,Bavaria,Not at all,0.65425,726,1092,0.62603,0.68247
2002,30-45 y.,Berlin,A Little,0.30597,79,241,0.24767,0.36428
2002,30-45 y.,Berlin,Not at all,0.64510,162,241,0.58457,0.70564
2002,30-45 y.,Brandenburg,A Little,0.41776,109,246,0.35601,0.47952
2002,30-45 y.,Brandenburg,Not at all,0.51635,137,246,0.45378,0.57893
2002,30-45 y.,Mecklenburg-Western Pomerania,A Little,0.24502,39,139,0.17326,0.31678
2002,30-45 y.,Mecklenburg-Western Pomerania,Not at all,0.66226,100,139,0.58335,0.74117
2002,30-45 y.,Saxony,A Little,0.30815,151,483,0.26693,0.34937
2002,30-45 y.,Saxony,Not at all,0.63958,332,483,0.59672,0.68244
2002,30-45 y.,Saxony-Anhalt,A Little,0.36007,92,243,0.29959,0.42055
2002,30-45 y.,Saxony-Anhalt,Not at all,0.56510,151,243,0.50264,0.62756
2002,30-45 y.,Thuringa,A Little,0.30373,95,267,0.24847,0.35900
2002,30-45 y.,Thuringa,Not at all,0.64649,172,267,0.58904,0.70394
2002,46-65 y.,Schleswig-Holstein,A Little,0.38600,88,235,0.32362,0.44837
2002,46-65 y.,Schleswig-Holstein,Not at all,0.47518,147,235,0.41119,0.53917
2002,46-65 y.,Hamburg,A Little,0.31686,43,124,0.23464,0.39909
2002,46-65 y.,Hamburg,Not at all,0.48102,81,124,0.39272,0.56932
2002,46-65 y.,Lower Saxony,Strong,0.17285,102,635,0.14342,0.20228
2002,46-65 y.,Lower Saxony,A Little,0.43622,267,635,0.39762,0.47482
2002,46-65 y.,Lower Saxony,Not at all,0.39093,266,635,0.35295,0.42891
2002,46-65 y.,North Rhine-Westphalia,Strong,0.17769,255,1706,0.15955,0.19584
2002,46-65 y.,North Rhine-Westphalia,A Little,0.41563,694,1706,0.39223,0.43902
2002,46-65 y.,North Rhine-Westphalia,Not at all,0.40162,757,1706,0.37835,0.42489
2002,46-65 y.,Hesse,Strong,0.20801,105,558,0.17430,0.24172
2002,46-65 y.,Hesse,A Little,0.37291,205,558,0.33275,0.41307
