year,age_gr,quintil_oecd,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,1st Quintile,A Little,0.19342,166,816,0.16631,0.22054
2002,17-29 y.,1st Quintile,Not at all,0.78075,650,816,0.75235,0.80916
2002,17-29 y.,2nd Quintile,A Little,0.17567,135,773,0.14883,0.20251
2002,17-29 y.,2nd Quintile,Not at all,0.79209,638,773,0.76347,0.82072
2002,17-29 y.,3rd Quintile,A Little,0.18664,136,738,0.15851,0.21477
2002,17-29 y.,3rd Quintile,Not at all,0.78743,602,738,0.75789,0.81697
2002,17-29 y.,4th Quintile,A Little,0.16743,111,714,0.14002,0.19484
2002,17-29 y.,4th Quintile,Not at all,0.80456,603,714,0.77546,0.83367
2002,17-29 y.,5th Quintile,A Little,0.16442,111,658,0.13608,0.19276
2002,17-29 y.,5th Quintile,Not at all,0.82320,547,658,0.79402,0.85237
2002,30-45 y.,1st Quintile,Strong,0.07307,79,1039,0.05724,0.08890
2002,30-45 y.,1st Quintile,A Little,0.31208,315,1039,0.28389,0.34026
2002,30-45 y.,1st Quintile,Not at all,0.61239,645,1039,0.58275,0.64203
2002,30-45 y.,2nd Quintile,Strong,0.06428,80,1229,0.05056,0.07799
2002,30-45 y.,2nd Quintile,A Little,0.30632,380,1229,0.28053,0.33210
2002,30-45 y.,2nd Quintile,Not at all,0.62508,769,1229,0.59801,0.65216
2002,30-45 y.,3rd Quintile,Strong,0.05546,76,1406,0.04349,0.06743
2002,30-45 y.,3rd Quintile,A Little,0.32806,439,1406,0.30351,0.35261
2002,30-45 y.,3rd Quintile,Not at all,0.61191,891,1406,0.58643,0.63739
2002,30-45 y.,4th Quintile,Strong,0.05236,63,1520,0.04116,0.06356
2002,30-45 y.,4th Quintile,A Little,0.29986,462,1520,0.27681,0.32290
2002,30-45 y.,4th Quintile,Not at all,0.64704,995,1520,0.62301,0.67108
2002,30-45 y.,5th Quintile,Strong,0.04005,69,1638,0.03055,0.04955
2002,30-45 y.,5th Quintile,A Little,0.23107,398,1638,0.21065,0.25149
2002,30-45 y.,5th Quintile,Not at all,0.72505,1171,1638,0.70342,0.74668
2002,46-65 y.,1st Quintile,Strong,0.29629,261,905,0.26652,0.32605
2002,46-65 y.,1st Quintile,A Little,0.40233,368,905,0.37037,0.43430
2002,46-65 y.,1st Quintile,Not at all,0.29830,276,905,0.26847,0.32812
2002,46-65 y.,2nd Quintile,Strong,0.21052,215,1019,0.18548,0.23556
2002,46-65 y.,2nd Quintile,A Little,0.44295,473,1019,0.41244,0.47346
2002,46-65 y.,2nd Quintile,Not at all,0.34313,331,1019,0.31397,0.37230
2002,46-65 y.,3rd Quintile,Strong,0.18756,230,1185,0.16533,0.20980
2002,46-65 y.,3rd Quintile,A Little,0.44572,552,1185,0.41741,0.47404
2002,46-65 y.,3rd Quintile,Not at all,0.36021,403,1185,0.33286,0.38755
2002,46-65 y.,4th Quintile,Strong,0.15195,225,1476,0.13363,0.17027
2002,46-65 y.,4th Quintile,A Little,0.44521,646,1476,0.41984,0.47057
2002,46-65 y.,4th Quintile,Not at all,0.39864,605,1476,0.37365,0.42362
2002,46-65 y.,5th Quintile,Strong,0.13868,259,2100,0.12389,0.15346
2002,46-65 y.,5th Quintile,A Little,0.43045,882,2100,0.40927,0.45164
2002,46-65 y.,5th Quintile,Not at all,0.42548,959,2100,0.40433,0.44663
2002,66 and older,1st Quintile,Strong,0.40377,255,666,0.36648,0.44106
2002,66 and older,1st Quintile,A Little,0.46342,320,666,0.42552,0.50132
2002,66 and older,1st Quintile,Not at all,0.12527,91,666,0.10011,0.15043
2002,66 and older,2nd Quintile,Strong,0.37450,332,878,0.34247,0.40653
2002,66 and older,2nd Quintile,A Little,0.48192,416,878,0.44885,0.51500
2002,66 and older,2nd Quintile,Not at all,0.13814,130,878,0.11531,0.16098
2002,66 and older,3rd Quintile,Strong,0.37944,251,707,0.34365,0.41524
2002,66 and older,3rd Quintile,A Little,0.44649,336,707,0.40981,0.48316
2002,66 and older,3rd Quintile,Not at all,0.17126,120,707,0.14347,0.19905
2002,66 and older,4th Quintile,Strong,0.34060,198,608,0.30290,0.37830
2002,66 and older,4th Quintile,A Little,0.46724,293,608,0.42755,0.50693
2002,66 and older,4th Quintile,Not at all,0.18048,117,608,0.14989,0.21108
2002,66 and older,5th Quintile,Strong,0.32290,161,542,0.28349,0.36230
2002,66 and older,5th Quintile,A Little,0.47115,261,542,0.42908,0.51321
2002,66 and older,5th Quintile,Not at all,0.20189,120,542,0.16806,0.23571
2004,17-29 y.,1st Quintile,A Little,0.18329,170,887,0.15781,0.20876
2004,17-29 y.,1st Quintile,Not at all,0.78531,717,887,0.75828,0.81235
2004,17-29 y.,2nd Quintile,A Little,0.18265,135,728,0.15456,0.21073
2004,17-29 y.,2nd Quintile,Not at all,0.78899,593,728,0.75932,0.81865
2004,17-29 y.,3rd Quintile,A Little,0.19852,141,734,0.16964,0.22740
2004,17-29 y.,3rd Quintile,Not at all,0.78386,593,734,0.75406,0.81366
2004,17-29 y.,4th Quintile,A Little,0.17592,115,707,0.14783,0.20401
2004,17-29 y.,4th Quintile,Not at all,0.79309,592,707,0.76320,0.82297
2004,17-29 y.,5th Quintile,A Little,0.15205,128,827,0.12756,0.17654
2004,17-29 y.,5th Quintile,Not at all,0.83326,699,827,0.80784,0.85868
2004,30-45 y.,1st Quintile,Strong,0.09333,77,911,0.07443,0.11223
2004,30-45 y.,1st Quintile,A Little,0.34680,297,911,0.31588,0.37773
2004,30-45 y.,1st Quintile,Not at all,0.54925,537,911,0.51692,0.58158
2004,30-45 y.,2nd Quintile,Strong,0.05824,58,1168,0.04480,0.07167
2004,30-45 y.,2nd Quintile,A Little,0.30813,358,1168,0.28164,0.33462
2004,30-45 y.,2nd Quintile,Not at all,0.63154,752,1168,0.60387,0.65922
2004,30-45 y.,3rd Quintile,Strong,0.05971,64,1240,0.04651,0.07290
2004,30-45 y.,3rd Quintile,A Little,0.33639,401,1240,0.31008,0.36270
2004,30-45 y.,3rd Quintile,Not at all,0.60180,775,1240,0.57454,0.62905
2004,30-45 y.,4th Quintile,Strong,0.03996,58,1451,0.02987,0.05004
2004,30-45 y.,4th Quintile,A Little,0.26859,406,1451,0.24578,0.29141
2004,30-45 y.,4th Quintile,Not at all,0.69145,987,1451,0.66767,0.71522
2004,30-45 y.,5th Quintile,Strong,0.03630,61,1744,0.02752,0.04508
2004,30-45 y.,5th Quintile,A Little,0.22341,376,1744,0.20386,0.24296
2004,30-45 y.,5th Quintile,Not at all,0.73890,1307,1744,0.71828,0.75952
2004,46-65 y.,1st Quintile,Strong,0.26003,221,847,0.23048,0.28959
2004,46-65 y.,1st Quintile,A Little,0.38396,347,847,0.35119,0.41673
2004,46-65 y.,1st Quintile,Not at all,0.34480,279,847,0.31277,0.37683
2004,46-65 y.,2nd Quintile,Strong,0.22647,215,999,0.20050,0.25244
2004,46-65 y.,2nd Quintile,A Little,0.40517,423,999,0.37471,0.43562
2004,46-65 y.,2nd Quintile,Not at all,0.36351,361,999,0.33367,0.39336
2004,46-65 y.,3rd Quintile,Strong,0.16058,195,1162,0.13946,0.18170
2004,46-65 y.,3rd Quintile,A Little,0.45640,522,1162,0.42775,0.48505
2004,46-65 y.,3rd Quintile,Not at all,0.38144,445,1162,0.35350,0.40938
2004,46-65 y.,4th Quintile,Strong,0.18253,228,1460,0.16271,0.20236
2004,46-65 y.,4th Quintile,A Little,0.43799,642,1460,0.41253,0.46345
2004,46-65 y.,4th Quintile,Not at all,0.37717,590,1460,0.35230,0.40204
2004,46-65 y.,5th Quintile,Strong,0.11161,256,2867,0.10008,0.12314
2004,46-65 y.,5th Quintile,A Little,0.40016,1168,2867,0.38223,0.41810
