year,migback,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Strong,0.13613,2558,19379,0.13130,0.14096
2002,No migration background,A Little,0.30413,6743,19379,0.29765,0.31060
2002,No migration background,Not at all,0.40550,10078,19379,0.39858,0.41241
2002,Direct migration background,Strong,0.13890,384,2782,0.12605,0.15175
2002,Direct migration background,A Little,0.33780,959,2782,0.32022,0.35538
2002,Direct migration background,Not at all,0.46393,1439,2782,0.44540,0.48247
2002,Indirect migration background,Strong,0.01649,33,763,0.00745,0.02554
2002,Indirect migration background,A Little,0.09099,155,763,0.07057,0.11141
2002,Indirect migration background,Not at all,0.26614,575,763,0.23476,0.29752
2004,No migration background,Strong,0.14125,2435,18206,0.13619,0.14631
2004,No migration background,A Little,0.30308,6324,18206,0.29640,0.30975
2004,No migration background,Not at all,0.40508,9447,18206,0.39795,0.41221
2004,Direct migration background,Strong,0.15363,364,2525,0.13956,0.16770
2004,Direct migration background,A Little,0.33604,894,2525,0.31761,0.35447
2004,Direct migration background,Not at all,0.46574,1267,2525,0.44628,0.48520
2004,Indirect migration background,A Little,0.09301,158,774,0.07253,0.11348
2004,Indirect migration background,Not at all,0.31838,616,774,0.28554,0.35122
2006,No migration background,Strong,0.13841,2665,18726,0.13346,0.14335
2006,No migration background,A Little,0.30606,6679,18726,0.29946,0.31266
2006,No migration background,Not at all,0.40422,9382,18726,0.39719,0.41125
2006,Direct migration background,Strong,0.16764,399,2372,0.15260,0.18267
2006,Direct migration background,A Little,0.32977,827,2372,0.31085,0.34869
2006,Direct migration background,Not at all,0.46146,1146,2372,0.44140,0.48153
2006,Indirect migration background,Strong,0.02034,40,809,0.01060,0.03007
2006,Indirect migration background,A Little,0.09272,147,809,0.07272,0.11272
2006,Indirect migration background,Not at all,0.33384,622,809,0.30133,0.36636
2008,No migration background,Strong,0.13508,2349,16596,0.12988,0.14028
2008,No migration background,A Little,0.31290,5963,16596,0.30585,0.31996
2008,No migration background,Not at all,0.40403,8284,16596,0.39656,0.41149
2008,Direct migration background,Strong,0.17375,333,1901,0.15671,0.19079
2008,Direct migration background,A Little,0.35084,660,1901,0.32938,0.37230
2008,Direct migration background,Not at all,0.44847,908,1901,0.42610,0.47083
2008,Indirect migration background,Strong,0.02515,34,763,0.01403,0.03627
2008,Indirect migration background,A Little,0.10528,157,763,0.08349,0.12708
2008,Indirect migration background,Not at all,0.36120,572,763,0.32709,0.39530
2014,No migration background,Strong,0.13973,2818,20092,0.13493,0.14452
2014,No migration background,A Little,0.31763,7172,20092,0.31119,0.32407
2014,No migration background,Not at all,0.40071,10102,20092,0.39393,0.40749
2014,Direct migration background,Strong,0.15943,685,5216,0.14949,0.16937
2014,Direct migration background,A Little,0.29448,1520,5216,0.28211,0.30686
2014,Direct migration background,Not at all,0.50847,3011,5216,0.49490,0.52203
2014,Indirect migration background,Strong,0.02503,88,1711,0.01763,0.03244
2014,Indirect migration background,A Little,0.09731,337,1711,0.08326,0.11136
2014,Indirect migration background,Not at all,0.36405,1286,1711,0.34124,0.38685
2016,No migration background,Strong,0.13672,2508,17764,0.13166,0.14177
2016,No migration background,A Little,0.31948,6478,17764,0.31262,0.32634
2016,No migration background,Not at all,0.40000,8778,17764,0.39279,0.40720
2016,Direct migration background,Strong,0.13974,862,7822,0.13206,0.14743
2016,Direct migration background,A Little,0.28720,2150,7822,0.27717,0.29722
2016,Direct migration background,Not at all,0.50490,4810,7822,0.49382,0.51598
2016,Indirect migration background,Strong,0.02838,85,1472,0.01989,0.03686
2016,Indirect migration background,A Little,0.10934,330,1472,0.09340,0.12529
2016,Indirect migration background,Not at all,0.36582,1057,1472,0.34121,0.39043
2018,No migration background,Strong,0.13540,2679,19423,0.13059,0.14022
2018,No migration background,A Little,0.31868,6903,19423,0.31212,0.32523
2018,No migration background,Not at all,0.40784,9841,19423,0.40093,0.41475
2018,Direct migration background,Strong,0.13750,1013,8051,0.12998,0.14503
2018,Direct migration background,A Little,0.30951,2395,8051,0.29941,0.31961
2018,Direct migration background,Not at all,0.48691,4643,8051,0.47599,0.49783
2018,Indirect migration background,Strong,0.02501,91,1617,0.01740,0.03263
2018,Indirect migration background,A Little,0.11598,380,1617,0.10037,0.13159
2018,Indirect migration background,Not at all,0.37399,1146,1617,0.35040,0.39758
2020,No migration background,Strong,0.12489,2350,18528,0.12013,0.12965
2020,No migration background,A Little,0.33364,7062,18528,0.32685,0.34043
2020,No migration background,Not at all,0.39521,9116,18528,0.38817,0.40225
2020,Direct migration background,Strong,0.15025,1110,9263,0.14298,0.15753
2020,Direct migration background,A Little,0.33575,2845,9263,0.32613,0.34537
2020,Direct migration background,Not at all,0.46133,5308,9263,0.45118,0.47148
2020,Indirect migration background,Strong,0.02977,98,1535,0.02127,0.03828
2020,Indirect migration background,A Little,0.12237,410,1535,0.10597,0.13877
2020,Indirect migration background,Not at all,0.34872,1027,1535,0.32487,0.37257
