year,rentown,sampreg,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,West,Yes,0.89066,3827,4154,0.88117,0.90015
2001,Owner,West,No,0.10589,327,4154,0.09653,0.11525
2001,Owner,East,Yes,0.84188,982,1099,0.82029,0.86346
2001,Owner,East,No,0.15490,117,1099,0.13350,0.17630
2001,Tenant,West,Yes,0.67168,3408,4651,0.65819,0.68518
2001,Tenant,West,No,0.32189,1243,4651,0.30846,0.33532
2001,Tenant,East,Yes,0.60305,1176,1724,0.57995,0.62616
2001,Tenant,East,No,0.38648,548,1724,0.36349,0.40948
2003,Owner,West,Yes,0.89112,4229,4540,0.88206,0.90019
2003,Owner,West,No,0.10598,311,4540,0.09702,0.11493
2003,Owner,East,Yes,0.86673,1018,1103,0.84666,0.88679
2003,Owner,East,No,0.12405,85,1103,0.10459,0.14352
2003,Tenant,West,Yes,0.66652,3244,4433,0.65264,0.68040
2003,Tenant,West,No,0.32942,1189,4433,0.31558,0.34326
2003,Tenant,East,Yes,0.60308,1132,1686,0.57972,0.62645
2003,Tenant,East,No,0.38948,554,1686,0.36620,0.41277
2005,Owner,West,Yes,0.88982,3970,4264,0.88042,0.89922
2005,Owner,West,No,0.10484,294,4264,0.09564,0.11403
2005,Owner,East,Yes,0.89113,1026,1103,0.87274,0.90952
2005,Owner,East,No,0.10774,77,1103,0.08944,0.12605
2005,Tenant,West,Yes,0.66386,3062,4211,0.64959,0.67813
2005,Tenant,West,No,0.33119,1149,4211,0.31697,0.34540
2005,Tenant,East,Yes,0.61379,1050,1576,0.58974,0.63783
2005,Tenant,East,No,0.37972,526,1576,0.35576,0.40369
2007,Owner,West,Yes,0.90339,4203,4459,0.89472,0.91206
2007,Owner,West,No,0.08760,256,4459,0.07930,0.09590
2007,Owner,East,Yes,0.88449,1058,1138,0.86591,0.90307
2007,Owner,East,No,0.11086,80,1138,0.09261,0.12911
2007,Tenant,West,Yes,0.65122,3019,4195,0.63679,0.66564
2007,Tenant,West,No,0.34142,1176,4195,0.32707,0.35577
2007,Tenant,East,Yes,0.61789,1089,1611,0.59415,0.64162
2007,Tenant,East,No,0.37621,522,1611,0.35254,0.39987
