year,sampreg,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.76844,7235,8805,0.75963,0.77725
2001,West,No,0.22645,1570,8805,0.21771,0.23519
2001,East,Yes,0.68242,2158,2823,0.66524,0.69959
2001,East,No,0.30953,665,2823,0.29247,0.32658
2003,West,Yes,0.76661,7473,8973,0.75786,0.77536
2003,West,No,0.22985,1500,8973,0.22114,0.23856
2003,East,Yes,0.68905,2150,2789,0.67187,0.70623
2003,East,No,0.30293,639,2789,0.28587,0.31999
2005,West,Yes,0.76327,7032,8475,0.75422,0.77232
2005,West,No,0.23161,1443,8475,0.22263,0.24059
2005,East,Yes,0.70363,2077,2680,0.68634,0.72092
2005,East,No,0.29162,603,2680,0.27441,0.30883
2007,West,Yes,0.76407,7222,8654,0.75512,0.77301
2007,West,No,0.22783,1432,8654,0.21899,0.23667
2007,East,Yes,0.70585,2147,2749,0.68881,0.72289
2007,East,No,0.28866,602,2749,0.27172,0.30560
2011,West,Yes,0.71850,7604,9168,0.70930,0.72771
2011,West,No,0.19979,1564,9168,0.19160,0.20797
2011,East,Yes,0.65116,2185,2884,0.63377,0.66856
2011,East,No,0.27366,699,2884,0.25739,0.28994
2013,West,Yes,0.72731,8928,11044,0.71900,0.73561
2013,West,No,0.20752,2116,11044,0.19996,0.21508
2013,East,Yes,0.65940,2171,2887,0.64211,0.67669
2013,East,No,0.27442,716,2887,0.25814,0.29070
2016,West,Yes,0.78145,9233,11211,0.77380,0.78910
2016,West,No,0.20950,1978,11211,0.20197,0.21704
2016,East,Yes,0.68765,2327,3070,0.67125,0.70404
2016,East,No,0.30510,743,3070,0.28881,0.32139
2017,West,Yes,0.78183,10574,13747,0.77493,0.78873
2017,West,No,0.21505,3173,13747,0.20818,0.22192
2017,East,Yes,0.70168,2679,3715,0.68696,0.71639
2017,East,No,0.29338,1036,3715,0.27873,0.30802
2018,West,Yes,0.78795,10590,14081,0.78119,0.79470
2018,West,No,0.21004,3491,14081,0.20331,0.21677
2018,East,Yes,0.70815,2682,3777,0.69365,0.72265
2018,East,No,0.29078,1095,3777,0.27630,0.30527
2019,West,Yes,0.79136,10534,12481,0.78423,0.79849
2019,West,No,0.19920,1947,12481,0.19219,0.20620
2019,East,Yes,0.70365,2819,3590,0.68871,0.71859
2019,East,No,0.28890,771,3590,0.27407,0.30373
2021,West,Yes,0.80788,7916,9973,0.80014,0.81561
2021,West,No,0.19085,2057,9973,0.18314,0.19856
2021,East,Yes,0.72744,1979,2587,0.71028,0.74460
2021,East,No,0.26851,608,2587,0.25143,0.28559
