year,quintil_oecd_hh,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Yes,0.48262,1230,2217,0.46181,0.50342
2001,1st Quintile,No,0.50962,987,2217,0.48880,0.53043
2001,2nd Quintile,Yes,0.69475,1892,2444,0.67649,0.71301
2001,2nd Quintile,No,0.29742,552,2444,0.27929,0.31554
2001,3rd Quintile,Yes,0.79279,2072,2429,0.77667,0.80891
2001,3rd Quintile,No,0.20317,357,2429,0.18717,0.21918
2001,4th Quintile,Yes,0.86615,2138,2359,0.85241,0.87989
2001,4th Quintile,No,0.12940,221,2359,0.11585,0.14294
2001,5th Quintile,Yes,0.92729,2060,2177,0.91638,0.93820
2001,5th Quintile,No,0.06999,117,2177,0.05927,0.08071
2003,1st Quintile,Yes,0.46860,1082,2034,0.44691,0.49030
2003,1st Quintile,No,0.52098,952,2034,0.49926,0.54270
2003,2nd Quintile,Yes,0.70445,1699,2199,0.68537,0.72352
2003,2nd Quintile,No,0.28974,500,2199,0.27078,0.30871
2003,3rd Quintile,Yes,0.80145,1894,2226,0.78487,0.81803
2003,3rd Quintile,No,0.19597,332,2226,0.17948,0.21246
2003,4th Quintile,Yes,0.86460,2049,2269,0.85052,0.87868
2003,4th Quintile,No,0.13285,220,2269,0.11888,0.14681
2003,5th Quintile,Yes,0.92267,2898,3030,0.91316,0.93218
2003,5th Quintile,No,0.07680,132,3030,0.06731,0.08628
2005,1st Quintile,Yes,0.46904,1029,1954,0.44690,0.49117
2005,1st Quintile,No,0.51910,925,1954,0.49694,0.54126
2005,2nd Quintile,Yes,0.70665,1590,2059,0.68698,0.72632
2005,2nd Quintile,No,0.28878,469,2059,0.26920,0.30836
2005,3rd Quintile,Yes,0.79116,1759,2095,0.77375,0.80857
2005,3rd Quintile,No,0.20525,336,2095,0.18795,0.22254
2005,4th Quintile,Yes,0.87146,2009,2206,0.85749,0.88543
2005,4th Quintile,No,0.12551,197,2206,0.11168,0.13934
2005,5th Quintile,Yes,0.92374,2721,2838,0.91397,0.93350
2005,5th Quintile,No,0.07405,117,2838,0.06442,0.08369
2007,1st Quintile,Yes,0.47628,1041,1944,0.45407,0.49849
2007,1st Quintile,No,0.51192,903,1944,0.48969,0.53414
2007,2nd Quintile,Yes,0.68773,1580,2100,0.66790,0.70755
2007,2nd Quintile,No,0.30612,520,2100,0.28640,0.32584
2007,3rd Quintile,Yes,0.81055,1905,2209,0.79421,0.82690
2007,3rd Quintile,No,0.18481,304,2209,0.16862,0.20100
2007,4th Quintile,Yes,0.86872,2129,2323,0.85498,0.88245
2007,4th Quintile,No,0.12133,194,2323,0.10805,0.13461
2007,5th Quintile,Yes,0.92256,2712,2824,0.91270,0.93242
2007,5th Quintile,No,0.07193,112,2824,0.06240,0.08146
2011,1st Quintile,Yes,0.38339,1158,2244,0.36327,0.40351
2011,1st Quintile,No,0.47880,1086,2244,0.45813,0.49948
2011,2nd Quintile,Yes,0.63211,1685,2234,0.61210,0.65211
2011,2nd Quintile,No,0.26472,549,2234,0.24642,0.28302
2011,3rd Quintile,Yes,0.77547,2054,2367,0.75865,0.79228
2011,3rd Quintile,No,0.15249,313,2367,0.13800,0.16697
2011,4th Quintile,Yes,0.84553,2243,2432,0.83116,0.85990
2011,4th Quintile,No,0.10055,189,2432,0.08859,0.11250
2011,5th Quintile,Yes,0.89786,2649,2772,0.88658,0.90913
2011,5th Quintile,No,0.06624,123,2772,0.05698,0.07550
2013,1st Quintile,Yes,0.41776,1652,3040,0.40023,0.43530
2013,1st Quintile,No,0.48042,1388,3040,0.46265,0.49818
2013,2nd Quintile,Yes,0.63100,2097,2801,0.61312,0.64887
2013,2nd Quintile,No,0.28481,704,2801,0.26810,0.30153
2013,3rd Quintile,Yes,0.78466,2280,2627,0.76893,0.80038
2013,3rd Quintile,No,0.15417,347,2627,0.14036,0.16799
2013,4th Quintile,Yes,0.84367,2345,2589,0.82968,0.85766
2013,4th Quintile,No,0.11261,244,2589,0.10043,0.12479
2013,5th Quintile,Yes,0.89956,2724,2867,0.88855,0.91056
2013,5th Quintile,No,0.06450,143,2867,0.05550,0.07349
2016,1st Quintile,Yes,0.45854,1731,3089,0.44097,0.47611
2016,1st Quintile,No,0.50876,1358,3089,0.49113,0.52640
2016,2nd Quintile,Yes,0.72307,2406,3037,0.70715,0.73898
2016,2nd Quintile,No,0.27327,631,3037,0.25742,0.28912
2016,3rd Quintile,Yes,0.82429,2374,2741,0.81004,0.83854
2016,3rd Quintile,No,0.17432,367,2741,0.16011,0.18852
2016,4th Quintile,Yes,0.87561,2422,2656,0.86305,0.88816
2016,4th Quintile,No,0.12011,234,2656,0.10775,0.13248
2016,5th Quintile,Yes,0.94359,2627,2754,0.93497,0.95221
2016,5th Quintile,No,0.05513,127,2754,0.04661,0.06366
2017,1st Quintile,Yes,0.46076,2141,4842,0.44672,0.47480
2017,1st Quintile,No,0.52894,2701,4842,0.51488,0.54300
2017,2nd Quintile,Yes,0.71651,2588,3328,0.70119,0.73182
2017,2nd Quintile,No,0.28112,740,3328,0.26584,0.29639
2017,3rd Quintile,Yes,0.84085,2741,3105,0.82798,0.85372
2017,3rd Quintile,No,0.15710,364,3105,0.14430,0.16991
2017,4th Quintile,Yes,0.88636,2838,3044,0.87509,0.89764
2017,4th Quintile,No,0.11157,206,3044,0.10038,0.12275
2017,5th Quintile,Yes,0.93503,2938,3094,0.92634,0.94372
2017,5th Quintile,No,0.06460,156,3094,0.05594,0.07327
2018,1st Quintile,Yes,0.47697,2445,5362,0.46360,0.49034
2018,1st Quintile,No,0.52138,2917,5362,0.50801,0.53476
2018,2nd Quintile,Yes,0.72936,2668,3445,0.71452,0.74420
2018,2nd Quintile,No,0.26875,777,3445,0.25395,0.28356
2018,3rd Quintile,Yes,0.83222,2598,2995,0.81884,0.84561
2018,3rd Quintile,No,0.16298,397,2995,0.14975,0.17621
2018,4th Quintile,Yes,0.89179,2682,2899,0.88048,0.90310
2018,4th Quintile,No,0.10737,217,2899,0.09610,0.11864
2018,5th Quintile,Yes,0.94112,2845,3016,0.93272,0.94953
2018,5th Quintile,No,0.05888,171,3016,0.05047,0.06728
2019,1st Quintile,Yes,0.48664,1626,2942,0.46858,0.50471
2019,1st Quintile,No,0.47506,1316,2942,0.45701,0.49310
2019,2nd Quintile,Yes,0.72888,2401,3034,0.71306,0.74470
2019,2nd Quintile,No,0.26783,633,3034,0.25207,0.28359
2019,3rd Quintile,Yes,0.83072,2527,2875,0.81700,0.84443
2019,3rd Quintile,No,0.16891,348,2875,0.15522,0.18261
2019,4th Quintile,Yes,0.89976,2695,2925,0.88887,0.91064
2019,4th Quintile,No,0.09814,230,2925,0.08736,0.10893
2019,5th Quintile,Yes,0.93334,4128,4354,0.92593,0.94075
2019,5th Quintile,No,0.06655,226,4354,0.05915,0.07396
2021,1st Quintile,Yes,0.54844,1824,3242,0.53131,0.56558
2021,1st Quintile,No,0.44698,1418,3242,0.42986,0.46410
2021,2nd Quintile,Yes,0.76117,1869,2374,0.74402,0.77833
2021,2nd Quintile,No,0.23726,505,2374,0.22014,0.25437
2021,3rd Quintile,Yes,0.86280,1791,2074,0.84799,0.87762
2021,3rd Quintile,No,0.13598,283,2074,0.12122,0.15073
2021,4th Quintile,Yes,0.87842,1875,2099,0.86444,0.89241
2021,4th Quintile,No,0.12150,224,2099,0.10752,0.13548
2021,5th Quintile,Yes,0.92076,2513,2725,0.91062,0.93091
2021,5th Quintile,No,0.07788,212,2725,0.06782,0.08795
