"e11103","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","(Fach-)Abitur","maennlich","195","","",""
"nicht erwerbstätig","1984","(Fach-)Abitur","weiblich","168","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","maennlich","160","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","weiblich","415","0.738847669803679","0.706491592167435","0.771203747439922"
"nicht erwerbstätig","1984","AkademikerIn","maennlich","81","0.169420997186669","0.137634308337804","0.201207686035533"
"nicht erwerbstätig","1984","AkademikerIn","weiblich","79","0.349362232528829","0.290844752922676","0.407879712134982"
"nicht erwerbstätig","1984","Hauptschule","maennlich","702","0.255245790921979","0.240801379612388","0.26969020223157"
"nicht erwerbstätig","1984","Hauptschule","weiblich","2159","","",""
"nicht erwerbstätig","1984","Realschule","maennlich","170","","",""
"nicht erwerbstätig","1984","Realschule","weiblich","479","0.472134259908062","0.44263261412297","0.501635905693153"
"Teilzeit","1984","(Fach-)Abitur","maennlich","87","0.173664733381114","0.141010703901365","0.206318762860863"
"Teilzeit","1984","(Fach-)Abitur","weiblich","93","0.255377730165327","0.209757858999806","0.300997601330847"
"Teilzeit","1984","(noch) kein Abschluss","maennlich","52","0.10995426726203","0.0843399381374279","0.135568596386632"
"Teilzeit","1984","(noch) kein Abschluss","weiblich","79","0.0756396779158301","0.0561624590150982","0.095116896816562"
"Teilzeit","1984","AkademikerIn","maennlich","80","0.148259836951351","0.118148050462383","0.17837162344032"
"Teilzeit","1984","AkademikerIn","weiblich","85","0.306060197624229","0.2494959093409","0.362624485907558"
"Teilzeit","1984","Hauptschule","maennlich","332","0.093751230676472","0.0840945855338432","0.103407875819101"
"Teilzeit","1984","Hauptschule","weiblich","734","0.178755062965359","0.166490392068882","0.191019733861836"
"Teilzeit","1984","Realschule","maennlich","92","0.109886704999808","0.0880086614695963","0.131764748530019"
"Teilzeit","1984","Realschule","weiblich","244","","",""
"Vollzeit","1984","(Fach-)Abitur","maennlich","235","","",""
"Vollzeit","1984","(Fach-)Abitur","weiblich","90","0.261261788542898","0.215302027458545","0.307221549627251"
"Vollzeit","1984","(noch) kein Abschluss","maennlich","361","0.354726994642884","0.315553740667235","0.393900248618534"
"Vollzeit","1984","(noch) kein Abschluss","weiblich","214","","",""
