year,bula_h,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Full Time,0.43124,173,386,0.38177,0.48071
1984,Schleswig-Holstein,Part Time,0.15440,63,386,0.11831,0.19050
1984,Schleswig-Holstein,Not Working,0.41436,150,386,0.36515,0.46357
1984,Hamburg,Full Time,0.39668,146,309,0.34204,0.45131
1984,Hamburg,Part Time,0.12184,42,309,0.08531,0.15838
1984,Hamburg,Not Working,0.48148,121,309,0.42568,0.53728
1984,Lower Saxony,Full Time,0.36617,498,1235,0.33929,0.39305
1984,Lower Saxony,Part Time,0.15463,198,1235,0.13445,0.17480
1984,Lower Saxony,Not Working,0.47920,539,1235,0.45133,0.50708
1984,Bremen,Full Time,0.21697,38,109,0.13923,0.29471
1984,Bremen,Not Working,0.64768,71,109,0.55759,0.73777
1984,North Rhine-Westphalia,Full Time,0.39575,1443,3256,0.37895,0.41255
1984,North Rhine-Westphalia,Part Time,0.14764,489,3256,0.13545,0.15983
1984,North Rhine-Westphalia,Not Working,0.45661,1324,3256,0.43950,0.47372
1984,Hesse,Full Time,0.40908,591,1247,0.38178,0.43638
1984,Hesse,Part Time,0.16907,196,1247,0.14825,0.18988
1984,Hesse,Not Working,0.42186,460,1247,0.39443,0.44928
1984,"Rhineland-Palatinate, Saarland",Full Time,0.39942,374,851,0.36650,0.43235
1984,"Rhineland-Palatinate, Saarland",Part Time,0.12578,113,851,0.10349,0.14807
1984,"Rhineland-Palatinate, Saarland",Not Working,0.47480,364,851,0.44123,0.50837
1984,Baden-Wuerttemberg,Full Time,0.44887,1156,2255,0.42833,0.46940
1984,Baden-Wuerttemberg,Part Time,0.14687,337,2255,0.13225,0.16148
1984,Baden-Wuerttemberg,Not Working,0.40427,762,2255,0.38401,0.42453
1984,Bavaria,Full Time,0.42984,1000,2092,0.40862,0.45106
1984,Bavaria,Part Time,0.16902,359,2092,0.15296,0.18508
1984,Bavaria,Not Working,0.40114,733,2092,0.38013,0.42215
1984,Berlin,Full Time,0.46317,210,408,0.41472,0.51161
1984,Berlin,Part Time,0.13877,68,408,0.10518,0.17235
1984,Berlin,Not Working,0.39806,130,408,0.35051,0.44562
1985,Schleswig-Holstein,Full Time,0.40449,153,353,0.35321,0.45576
1985,Schleswig-Holstein,Part Time,0.16465,63,353,0.12590,0.20339
1985,Schleswig-Holstein,Not Working,0.43087,137,353,0.37913,0.48260
1985,Hamburg,Full Time,0.39554,129,280,0.33816,0.45292
