"e11103","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","(Fach-)Abitur","363","0.467121253104746","0.433930489681561","0.500312016527932"
"nicht erwerbstätig","1984","(noch) kein Abschluss","575","0.641835430489626","0.61557954431887","0.668091316660381"
"nicht erwerbstätig","1984","AkademikerIn","160","","",""
"nicht erwerbstätig","1984","Hauptschule","2861","","",""
"nicht erwerbstätig","1984","Realschule","649","0.374304687358798","0.352457954540162","0.396151420177434"
"Teilzeit","1984","(Fach-)Abitur","180","","",""
"Teilzeit","1984","(noch) kein Abschluss","131","","",""
"Teilzeit","1984","AkademikerIn","165","","",""
"Teilzeit","1984","Hauptschule","1066","","",""
"Teilzeit","1984","Realschule","336","0.164446845151042","0.147713135527992","0.181180554774092"
"Vollzeit","1984","(Fach-)Abitur","325","0.325713759723089","0.294537182766168","0.35689033668001"
"Vollzeit","1984","(noch) kein Abschluss","575","0.266168813244056","0.24196687253722","0.290370753950891"
"Vollzeit","1984","AkademikerIn","465","0.571458148205054","0.536949862812547","0.60596643359756"
"Vollzeit","1984","Hauptschule","3322","0.394409088278629","0.383158579250809","0.405659597306449"
"Vollzeit","1984","Realschule","900","0.46124846749016","0.438744756527035","0.483752178453285"
"nicht erwerbstätig","1985","(Fach-)Abitur","318","0.432682164187635","0.398067634096343","0.467296694278926"
"nicht erwerbstätig","1985","(noch) kein Abschluss","539","0.695522689225165","0.668165817277987","0.722879561172343"
"nicht erwerbstätig","1985","AkademikerIn","150","","",""
"nicht erwerbstätig","1985","Hauptschule","2523","","",""
"nicht erwerbstätig","1985","Realschule","627","0.37953662617137","0.357211460125017","0.401861792217724"
"Teilzeit","1985","(Fach-)Abitur","181","","",""
"Teilzeit","1985","(noch) kein Abschluss","111","","",""
"Teilzeit","1985","AkademikerIn","145","","",""
"Teilzeit","1985","Hauptschule","1056","","",""
"Teilzeit","1985","Realschule","339","0.170791729457392","0.153478622699727","0.188104836215056"
"Vollzeit","1985","(Fach-)Abitur","288","","",""
"Vollzeit","1985","(noch) kein Abschluss","437","0.222758487062764","0.198022545684598","0.247494428440931"
"Vollzeit","1985","AkademikerIn","460","0.592500092725584","0.557450531652071","0.627549653799097"
"Vollzeit","1985","Hauptschule","2862","","",""
"Vollzeit","1985","Realschule","849","0.449671644371238","0.426785719245494","0.472557569496982"
"nicht erwerbstätig","1986","(Fach-)Abitur","317","0.417932980719648","0.383924891686389","0.451941069752907"
"nicht erwerbstätig","1986","(noch) kein Abschluss","521","0.663022338325735","0.634127772688539","0.691916903962931"
"nicht erwerbstätig","1986","AkademikerIn","144","","",""
"nicht erwerbstätig","1986","Hauptschule","2308","","",""
"nicht erwerbstätig","1986","Realschule","588","0.370610661114878","0.348123487265345","0.393097834964412"
"Teilzeit","1986","(Fach-)Abitur","198","","",""
"Teilzeit","1986","(noch) kein Abschluss","113","","",""
"Teilzeit","1986","AkademikerIn","132","","",""
"Teilzeit","1986","Hauptschule","1006","","",""
"Teilzeit","1986","Realschule","343","0.177530944610009","0.159739424834215","0.195322464385803"
"Vollzeit","1986","(Fach-)Abitur","293","","",""
"Vollzeit","1986","(noch) kein Abschluss","394","0.245703915568922","0.219387393153687","0.272020437984156"
"Vollzeit","1986","AkademikerIn","473","0.61291710113553","0.57803440506504","0.64779979720602"
"Vollzeit","1986","Hauptschule","2776","","",""
"Vollzeit","1986","Realschule","841","0.451858394275113","0.428686379677159","0.475030408873066"
"nicht erwerbstätig","1987","(Fach-)Abitur","285","","",""
"nicht erwerbstätig","1987","(noch) kein Abschluss","485","0.605601171770003","0.575355809836276","0.63584653370373"
"nicht erwerbstätig","1987","AkademikerIn","143","","",""
"nicht erwerbstätig","1987","Hauptschule","2258","","",""
"nicht erwerbstätig","1987","Realschule","554","0.345541430232009","0.323318244598472","0.367764615865546"
"Teilzeit","1987","(Fach-)Abitur","177","","",""
"Teilzeit","1987","(noch) kein Abschluss","125","","",""
"Teilzeit","1987","AkademikerIn","147","","",""
"Teilzeit","1987","Hauptschule","984","0.153367150694405","0.144261564509405","0.162472736879405"
"Teilzeit","1987","Realschule","343","0.174663426057885","0.156920236020578","0.192406616095193"
"Vollzeit","1987","(Fach-)Abitur","318","0.370678620402782","0.336783607646198","0.404573633159367"
"Vollzeit","1987","(noch) kein Abschluss","393","0.270182222808608","0.242701178736307","0.29766326688091"
"Vollzeit","1987","AkademikerIn","452","0.589276502720288","0.553878360071349","0.624674645369227"
"Vollzeit","1987","Hauptschule","2774","","",""
"Vollzeit","1987","Realschule","862","0.479795143710106","0.456448186017171","0.503142101403041"
"nicht erwerbstätig","1988","(Fach-)Abitur","277","","",""
"nicht erwerbstätig","1988","(noch) kein Abschluss","462","0.671244279890885","0.640689291387143","0.701799268394626"
"nicht erwerbstätig","1988","AkademikerIn","130","","",""
"nicht erwerbstätig","1988","Hauptschule","2113","","",""
"nicht erwerbstätig","1988","Realschule","511","0.331646138053904","0.309272498491418","0.354019777616391"
"Teilzeit","1988","(Fach-)Abitur","174","","",""
"Teilzeit","1988","(noch) kein Abschluss","109","","",""
"Teilzeit","1988","AkademikerIn","145","","",""
"Teilzeit","1988","Hauptschule","1014","","",""
"Teilzeit","1988","Realschule","360","0.194611492453078","0.175797416631977","0.21342556827418"
"Vollzeit","1988","(Fach-)Abitur","286","","",""
"Vollzeit","1988","(noch) kein Abschluss","337","0.235338023038756","0.207745846196137","0.262930199881376"
"Vollzeit","1988","AkademikerIn","427","0.579518815038471","0.543002529953686","0.616035100123255"
"Vollzeit","1988","Hauptschule","2617","","",""
"Vollzeit","1988","Realschule","830","0.473742369493018","0.45001408989469","0.497470649091346"
"nicht erwerbstätig","1989","(Fach-)Abitur","281","","",""
"nicht erwerbstätig","1989","(noch) kein Abschluss","451","0.649783921912106","0.618408170981173","0.681159672843039"
"nicht erwerbstätig","1989","AkademikerIn","125","","",""
"nicht erwerbstätig","1989","Hauptschule","2018","","",""
"nicht erwerbstätig","1989","Realschule","482","0.330172235210355","0.307487881944019","0.352856588476692"
"Teilzeit","1989","(Fach-)Abitur","162","","",""
"Teilzeit","1989","(noch) kein Abschluss","128","","",""
"Teilzeit","1989","AkademikerIn","137","","",""
"Teilzeit","1989","Hauptschule","910","0.151059754266255","0.141590479646738","0.160529028885771"
"Teilzeit","1989","Realschule","334","0.185145381368839","0.166409632288768","0.203881130448909"
"Vollzeit","1989","(Fach-)Abitur","311","0.395881622386741","0.360975137877275","0.430788106896206"
"Vollzeit","1989","(noch) kein Abschluss","309","0.218329781694613","0.191158515251392","0.245501048137834"
"Vollzeit","1989","AkademikerIn","436","0.600133974831609","0.563792567672673","0.636475381990546"
"Vollzeit","1989","Hauptschule","2566","","",""
"Vollzeit","1989","Realschule","835","0.484682383420806","0.460575522265872","0.508789244575739"
"nicht erwerbstätig","1990","(Fach-)Abitur","256","","",""
"nicht erwerbstätig","1990","(noch) kein Abschluss","433","0.638991277795612","0.606607609004923","0.671374946586302"
"nicht erwerbstätig","1990","AkademikerIn","132","","",""
"nicht erwerbstätig","1990","Hauptschule","1983","","",""
"nicht erwerbstätig","1990","Realschule","444","0.306439045080477","0.284024198200351","0.328853891960604"
"Teilzeit","1990","(Fach-)Abitur","189","","",""
"Teilzeit","1990","(noch) kein Abschluss","124","","",""
"Teilzeit","1990","AkademikerIn","133","","",""
"Teilzeit","1990","Hauptschule","904","0.159239395311608","0.149432899921102","0.169045890702113"
"Teilzeit","1990","Realschule","335","0.187856855682342","0.16886570742806","0.206848003936624"
"Vollzeit","1990","(Fach-)Abitur","303","0.402985109210203","0.367834377232278","0.438135841188129"
"Vollzeit","1990","(noch) kein Abschluss","288","","",""
"Vollzeit","1990","AkademikerIn","434","0.598383457872149","0.562041770422456","0.634725145321843"
"Vollzeit","1990","Hauptschule","2461","","",""
"Vollzeit","1990","Realschule","846","0.50570409923718","0.481395319986174","0.530012878488187"
"nicht erwerbstätig","1991","(Fach-)Abitur","257","","",""
"nicht erwerbstätig","1991","(noch) kein Abschluss","408","0.599387708660096","0.565949949289121","0.632825468031071"
"nicht erwerbstätig","1991","AkademikerIn","141","","",""
"nicht erwerbstätig","1991","Hauptschule","1914","","",""
"nicht erwerbstätig","1991","Realschule","458","0.317885930065165","0.295314796566165","0.340457063564165"
"Teilzeit","1991","(Fach-)Abitur","201","","",""
"Teilzeit","1991","(noch) kein Abschluss","130","","",""
"Teilzeit","1991","AkademikerIn","144","","",""
"Teilzeit","1991","Hauptschule","865","0.156474209823261","0.146649608028016","0.166298811618506"
"Teilzeit","1991","Realschule","352","0.194861703997413","0.17566230197302","0.214061106021807"
"Vollzeit","1991","(Fach-)Abitur","309","0.408809152167493","0.374017539068107","0.443600765266879"
