"e11103","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig","1985","(Fach-)Abitur","Laendlicher Raum","46","0.468062212363861","0.375236388274075","0.560888036453647"
"nicht erwerbstätig","1985","(Fach-)Abitur","Staedtischer Raum","272","0.42584986098024","0.388575025515054","0.463124696445427"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Laendlicher Raum","85","0.797811509965074","0.73243940744225","0.863183612487897"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Staedtischer Raum","454","0.668614655673959","0.638555468385618","0.698673842962299"
"nicht erwerbstätig","1985","AkademikerIn","Laendlicher Raum","30","0.297138924548933","0.21604604996037","0.378231799137496"
"nicht erwerbstätig","1985","AkademikerIn","Staedtischer Raum","120","0.211542474232831","0.179727309429031","0.243357639036631"
"nicht erwerbstätig","1985","Hauptschule","Laendlicher Raum","643","0.474051568554747","0.449320858359399","0.498782278750095"
"nicht erwerbstätig","1985","Hauptschule","Staedtischer Raum","1880","0.462565552623398","0.448569351501245","0.476561753745552"
"nicht erwerbstätig","1985","Realschule","Laendlicher Raum","138","0.37726930537157","0.330237258273087","0.424301352470053"
"nicht erwerbstätig","1985","Realschule","Staedtischer Raum","489","0.380224298658033","0.354859101123609","0.405589496192456"
"Teilzeit","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Teilzeit","1985","(Fach-)Abitur","Staedtischer Raum","158","0.245530375126183","0.213085340905578","0.277975409346787"
"Teilzeit","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Teilzeit","1985","(noch) kein Abschluss","Staedtischer Raum","98","0.085900338258596","0.0680059502206215","0.10379472629657"
"Teilzeit","1985","AkademikerIn","Laendlicher Raum","","","",""
"Teilzeit","1985","AkademikerIn","Staedtischer Raum","126","0.186383054720155","0.156046976098194","0.216719133342115"
"Teilzeit","1985","Hauptschule","Laendlicher Raum","275","0.163470981743615","0.145155723230407","0.181786240256822"
"Teilzeit","1985","Hauptschule","Staedtischer Raum","781","0.149241635077305","0.139239127381335","0.159244142773276"
"Teilzeit","1985","Realschule","Laendlicher Raum","72","0.156107750588243","0.120889016500341","0.191326484676145"
"Teilzeit","1985","Realschule","Staedtischer Raum","267","0.175245341960718","0.155380428729781","0.195110255191655"
"Vollzeit","1985","(Fach-)Abitur","Laendlicher Raum","42","0.323083387529623","0.236084940209732","0.410081834849513"
"Vollzeit","1985","(Fach-)Abitur","Staedtischer Raum","246","0.328619763893577","0.293211400077407","0.364028127709747"
"Vollzeit","1985","(noch) kein Abschluss","Laendlicher Raum","47","0.136365372378704","0.0805079147363275","0.192222830021081"
"Vollzeit","1985","(noch) kein Abschluss","Staedtischer Raum","390","0.245485006067445","0.218001694426716","0.272968317708175"
"Vollzeit","1985","AkademikerIn","Laendlicher Raum","73","0.548012917992015","0.459699522079285","0.636326313904745"
"Vollzeit","1985","AkademikerIn","Staedtischer Raum","387","0.602074471047014","0.563943993578184","0.640204948515844"
"Vollzeit","1985","Hauptschule","Laendlicher Raum","648","0.362477449701638","0.338668486459399","0.386286412943877"
"Vollzeit","1985","Hauptschule","Staedtischer Raum","2214","0.388192812299297","0.374512632248388","0.401872992350205"
"Vollzeit","1985","Realschule","Laendlicher Raum","198","0.466622944040187","0.418214823747092","0.515031064333281"
"Vollzeit","1985","Realschule","Staedtischer Raum","651","0.444530359381249","0.418565742467363","0.470494976295135"
"nicht erwerbstätig","1986","(Fach-)Abitur","Laendlicher Raum","46","0.419618782793417","0.332049395709307","0.507188169877526"
"nicht erwerbstätig","1986","(Fach-)Abitur","Staedtischer Raum","271","0.417582053220322","0.380677978550521","0.454486127890124"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Laendlicher Raum","66","0.711700698808202","0.633228901965127","0.790172495651276"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Staedtischer Raum","455","0.652469846122731","0.621359610139848","0.683580082105614"
"nicht erwerbstätig","1986","AkademikerIn","Laendlicher Raum","","","",""
"nicht erwerbstätig","1986","AkademikerIn","Staedtischer Raum","116","0.211811618913648","0.179752934210092","0.243870303617204"
"nicht erwerbstätig","1986","Hauptschule","Laendlicher Raum","574","0.45264051583877","0.427221440173435","0.478059591504105"
"nicht erwerbstätig","1986","Hauptschule","Staedtischer Raum","1734","0.464333082204827","0.449947402718174","0.478718761691479"
"nicht erwerbstätig","1986","Realschule","Laendlicher Raum","119","0.34640185883225","0.299298641881612","0.393505075782888"
"nicht erwerbstätig","1986","Realschule","Staedtischer Raum","469","0.377991456569123","0.352408677829274","0.403574235308972"
"Teilzeit","1986","(Fach-)Abitur","Laendlicher Raum","30","0.252363046273907","0.17528575641317","0.329440336134644"
"Teilzeit","1986","(Fach-)Abitur","Staedtischer Raum","168","0.259750528357412","0.226936971703227","0.292564085011597"
"Teilzeit","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Teilzeit","1986","(noch) kein Abschluss","Staedtischer Raum","97","0.0885070183845982","0.06995067690007","0.107063359869126"
"Teilzeit","1986","AkademikerIn","Laendlicher Raum","","","",""
"Teilzeit","1986","AkademikerIn","Staedtischer Raum","110","0.159832263416262","0.131080067366971","0.188584459465552"
"Teilzeit","1986","Hauptschule","Laendlicher Raum","258","0.167403272747035","0.148337867564596","0.186468677929474"
"Teilzeit","1986","Hauptschule","Staedtischer Raum","748","0.14320585034425","0.133102002902873","0.153309697785627"
"Teilzeit","1986","Realschule","Laendlicher Raum","80","0.184314772303333","0.145931108374893","0.222698436231773"
"Teilzeit","1986","Realschule","Staedtischer Raum","263","0.175462686791356","0.155394594375564","0.195530779207149"
"Vollzeit","1986","(Fach-)Abitur","Laendlicher Raum","46","0.328018170932676","0.244708409320368","0.411327932544984"
"Vollzeit","1986","(Fach-)Abitur","Staedtischer Raum","247","0.322667418422266","0.287683812369417","0.357651024475114"
"Vollzeit","1986","(noch) kein Abschluss","Laendlicher Raum","46","0.184262715109288","0.117098646619503","0.251426783599074"
"Vollzeit","1986","(noch) kein Abschluss","Staedtischer Raum","348","0.259023135492671","0.230401236909766","0.287645034075576"
"Vollzeit","1986","AkademikerIn","Laendlicher Raum","75","0.542697918725875","0.455365849267389","0.63002998818436"
"Vollzeit","1986","AkademikerIn","Staedtischer Raum","398","0.628356117670091","0.590440143899876","0.666272091440306"
"Vollzeit","1986","Hauptschule","Laendlicher Raum","641","0.379956211414196","0.355169171134029","0.404743251694363"
"Vollzeit","1986","Hauptschule","Staedtischer Raum","2135","0.392461067450923","0.378376176107329","0.406545958794517"
"Vollzeit","1986","Realschule","Laendlicher Raum","193","0.469283368864417","0.419880293150585","0.51868644457825"
"Vollzeit","1986","Realschule","Staedtischer Raum","648","0.446545856639521","0.420316816279589","0.472774896999452"
"nicht erwerbstätig","1987","(Fach-)Abitur","Laendlicher Raum","42","0.434048305193471","0.341003194509189","0.527093415877753"
"nicht erwerbstätig","1987","(Fach-)Abitur","Staedtischer Raum","243","0.383090783841265","0.346307685169564","0.419873882512967"
"nicht erwerbstätig","1987","(noch) kein Abschluss","Laendlicher Raum","59","0.622209956318254","0.536874212032763","0.707545700603745"
"nicht erwerbstätig","1987","(noch) kein Abschluss","Staedtischer Raum","426","0.602516392834539","0.570164648758163","0.634868136910915"
"nicht erwerbstätig","1987","AkademikerIn","Laendlicher Raum","30","0.308570566589377","0.22727096282645","0.389870170352305"
"nicht erwerbstätig","1987","AkademikerIn","Staedtischer Raum","113","0.216280245308847","0.183820681674197","0.248739808943496"
"nicht erwerbstätig","1987","Hauptschule","Laendlicher Raum","545","0.443633092818333","0.418043909672938","0.469222275963729"
"nicht erwerbstätig","1987","Hauptschule","Staedtischer Raum","1713","0.456262601727312","0.441818614952268","0.470706588502355"
"nicht erwerbstätig","1987","Realschule","Laendlicher Raum","107","0.303288145143734","0.258240466830934","0.348335823456534"
"nicht erwerbstätig","1987","Realschule","Staedtischer Raum","447","0.358714454269884","0.333214551372745","0.384214357167022"
"Teilzeit","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Teilzeit","1987","(Fach-)Abitur","Staedtischer Raum","158","0.246320503629792","0.213719538057226","0.278921469202358"
"Teilzeit","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Teilzeit","1987","(noch) kein Abschluss","Staedtischer Raum","109","0.12589042236778","0.103960709861377","0.147820134874184"
"Teilzeit","1987","AkademikerIn","Laendlicher Raum","","","",""
"Teilzeit","1987","AkademikerIn","Staedtischer Raum","127","0.183539378229395","0.153019267620433","0.214059488838356"
"Teilzeit","1987","Hauptschule","Laendlicher Raum","274","0.178165976449805","0.158456810115477","0.197875142784134"
"Teilzeit","1987","Hauptschule","Staedtischer Raum","710","0.144419306454148","0.134225693047262","0.154612919861033"
"Teilzeit","1987","Realschule","Laendlicher Raum","90","0.205401624525485","0.165810861781143","0.244992387269826"
"Teilzeit","1987","Realschule","Staedtischer Raum","253","0.165080383545363","0.145342143344309","0.184818623746417"
"Vollzeit","1987","(Fach-)Abitur","Laendlicher Raum","48","0.371161613583176","0.280466081833996","0.461857145332355"
"Vollzeit","1987","(Fach-)Abitur","Staedtischer Raum","270","0.370588712528943","0.334046049925189","0.407131375132697"
"Vollzeit","1987","(noch) kein Abschluss","Laendlicher Raum","49","0.262585450342075","0.185134200786607","0.340036699897544"
"Vollzeit","1987","(noch) kein Abschluss","Staedtischer Raum","344","0.271593184797681","0.2421896131262","0.300996756469162"
"Vollzeit","1987","AkademikerIn","Laendlicher Raum","74","0.539248359751645","0.451514929536689","0.626981789966601"
"Vollzeit","1987","AkademikerIn","Staedtischer Raum","378","0.600180376461759","0.561559084100205","0.638801668823312"
"Vollzeit","1987","Hauptschule","Laendlicher Raum","629","0.378200930731861","0.35322336327449","0.403178498189233"
"Vollzeit","1987","Hauptschule","Staedtischer Raum","2145","0.39931809181854","0.385115525927078","0.413520657710003"
"Vollzeit","1987","Realschule","Laendlicher Raum","203","0.491310230330782","0.442318531325675","0.540301929335889"
"Vollzeit","1987","Realschule","Staedtischer Raum","659","0.476205162184753","0.449652014000702","0.502758310368804"
"nicht erwerbstätig","1988","(Fach-)Abitur","Laendlicher Raum","37","0.412580093142506","0.31461063890472","0.510549547380291"
"nicht erwerbstätig","1988","(Fach-)Abitur","Staedtischer Raum","240","0.397847827223811","0.35992770502399","0.435767949423632"
"nicht erwerbstätig","1988","(noch) kein Abschluss","Laendlicher Raum","61","0.706568662150606","0.626100150628997","0.787037173672215"
"nicht erwerbstätig","1988","(noch) kein Abschluss","Staedtischer Raum","401","0.663116641302566","0.63005320369046","0.696180078914672"
"nicht erwerbstätig","1988","AkademikerIn","Laendlicher Raum","","","",""
"nicht erwerbstätig","1988","AkademikerIn","Staedtischer Raum","107","0.204113585033295","0.171508109268588","0.236719060798003"
