year,bula_h,regtyp,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Full Time,0.43124,173,386,0.38177,0.48071
1984,Schleswig-Holstein,No answer / don't know,Part Time,0.15440,63,386,0.11831,0.19050
1984,Schleswig-Holstein,No answer / don't know,Not Working,0.41436,150,386,0.36515,0.46357
1984,Hamburg,No answer / don't know,Full Time,0.39668,146,309,0.34204,0.45131
1984,Hamburg,No answer / don't know,Part Time,0.12184,42,309,0.08531,0.15838
1984,Hamburg,No answer / don't know,Not Working,0.48148,121,309,0.42568,0.53728
1984,Lower Saxony,No answer / don't know,Full Time,0.36617,498,1235,0.33929,0.39305
1984,Lower Saxony,No answer / don't know,Part Time,0.15463,198,1235,0.13445,0.17480
1984,Lower Saxony,No answer / don't know,Not Working,0.47920,539,1235,0.45133,0.50708
1984,Bremen,No answer / don't know,Full Time,0.21697,38,109,0.13923,0.29471
1984,Bremen,No answer / don't know,Not Working,0.64768,71,109,0.55759,0.73777
1984,North Rhine-Westphalia,No answer / don't know,Full Time,0.39575,1443,3256,0.37895,0.41255
1984,North Rhine-Westphalia,No answer / don't know,Part Time,0.14764,489,3256,0.13545,0.15983
1984,North Rhine-Westphalia,No answer / don't know,Not Working,0.45661,1324,3256,0.43950,0.47372
1984,Hesse,No answer / don't know,Full Time,0.40908,591,1247,0.38178,0.43638
1984,Hesse,No answer / don't know,Part Time,0.16907,196,1247,0.14825,0.18988
1984,Hesse,No answer / don't know,Not Working,0.42186,460,1247,0.39443,0.44928
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Full Time,0.39942,374,851,0.36650,0.43235
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Part Time,0.12578,113,851,0.10349,0.14807
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Not Working,0.47480,364,851,0.44123,0.50837
1984,Baden-Wuerttemberg,No answer / don't know,Full Time,0.44887,1156,2255,0.42833,0.46940
1984,Baden-Wuerttemberg,No answer / don't know,Part Time,0.14687,337,2255,0.13225,0.16148
1984,Baden-Wuerttemberg,No answer / don't know,Not Working,0.40427,762,2255,0.38401,0.42453
1984,Bavaria,No answer / don't know,Full Time,0.42984,1000,2092,0.40862,0.45106
1984,Bavaria,No answer / don't know,Part Time,0.16902,359,2092,0.15296,0.18508
1984,Bavaria,No answer / don't know,Not Working,0.40114,733,2092,0.38013,0.42215
1984,Berlin,No answer / don't know,Full Time,0.46317,210,408,0.41472,0.51161
1984,Berlin,No answer / don't know,Part Time,0.13877,68,408,0.10518,0.17235
1984,Berlin,No answer / don't know,Not Working,0.39806,130,408,0.35051,0.44562
