year,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,1st Quintile,General education,0.01652,188,921,0.00829,0.02476
2014,1st Quintile,University/ Technical university,0.05996,321,921,0.04462,0.07530
2014,1st Quintile,Vocational training,0.03734,315,921,0.02508,0.04959
2014,1st Quintile,Further training/ Retraining,0.00814,97,921,0.00233,0.01394
2014,2nd Quintile,General education,0.01138,121,566,0.00264,0.02013
2014,2nd Quintile,University/ Technical university,0.03126,161,566,0.01691,0.04561
2014,2nd Quintile,Vocational training,0.02622,206,566,0.01305,0.03940
2014,2nd Quintile,Further training/ Retraining,0.01111,78,566,0.00247,0.01975
2014,3rd Quintile,General education,0.01126,77,482,0.00183,0.02069
2014,3rd Quintile,University/ Technical university,0.03085,157,482,0.01539,0.04630
2014,3rd Quintile,Vocational training,0.02759,198,482,0.01295,0.04223
2014,3rd Quintile,Further training/ Retraining,0.00820,50,482,0.00014,0.01626
2014,4th Quintile,General education,0.01160,92,477,0.00198,0.02122
2014,4th Quintile,University/ Technical university,0.02814,165,477,0.01328,0.04299
2014,4th Quintile,Vocational training,0.02612,164,477,0.01179,0.04044
2014,4th Quintile,Further training/ Retraining,0.00852,56,477,0.00026,0.01678
2014,5th Quintile,General education,0.00867,66,359,-0.00093,0.01827
2014,5th Quintile,University/ Technical university,0.02923,169,359,0.01178,0.04669
2014,5th Quintile,Vocational training,0.01375,65,359,0.00169,0.02581
2014,5th Quintile,Further training/ Retraining,0.01189,59,359,0.00066,0.02312
2015,1st Quintile,General education,0.01500,141,794,0.00654,0.02346
2015,1st Quintile,University/ Technical university,0.05645,279,794,0.04039,0.07251
2015,1st Quintile,Vocational training,0.03896,285,794,0.02549,0.05243
2015,1st Quintile,Further training/ Retraining,0.01468,89,794,0.00631,0.02305
2015,2nd Quintile,General education,0.01253,119,538,0.00312,0.02194
2015,2nd Quintile,University/ Technical university,0.02530,157,538,0.01202,0.03858
2015,2nd Quintile,Vocational training,0.02780,205,538,0.01390,0.04171
2015,2nd Quintile,Further training/ Retraining,0.00893,57,538,0.00097,0.01688
2015,3rd Quintile,General education,0.01056,83,459,0.00120,0.01992
2015,3rd Quintile,University/ Technical university,0.02665,171,459,0.01190,0.04141
