year,age_gr,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Schleswig-Holstein,Vocational training,0.14798,34,34,0.02683,0.26913
2014,17-29 y.,Lower Saxony,General education,0.08896,62,219,0.05117,0.12675
2014,17-29 y.,Lower Saxony,University/ Technical university,0.15714,68,219,0.10883,0.20545
2014,17-29 y.,Lower Saxony,Vocational training,0.18961,89,219,0.13757,0.24164
2014,17-29 y.,North Rhine-Westphalia,General education,0.10124,131,493,0.07459,0.12790
2014,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.22942,189,493,0.19227,0.26658
2014,17-29 y.,North Rhine-Westphalia,Vocational training,0.12599,173,493,0.09667,0.15532
2014,17-29 y.,Hesse,General education,0.10490,45,164,0.05786,0.15194
2014,17-29 y.,Hesse,University/ Technical university,0.26233,73,164,0.19480,0.32987
2014,17-29 y.,Hesse,Vocational training,0.13161,46,164,0.07971,0.18351
2014,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.15255,35,94,0.07948,0.22563
2014,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.16140,59,94,0.08663,0.23618
2014,17-29 y.,Baden-Wuerttemberg,General education,0.07790,69,255,0.04494,0.11086
2014,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.18432,82,255,0.13664,0.23201
2014,17-29 y.,Baden-Wuerttemberg,Vocational training,0.20073,104,255,0.15147,0.25000
2014,17-29 y.,Bavaria,General education,0.06903,91,366,0.04302,0.09504
2014,17-29 y.,Bavaria,University/ Technical university,0.21930,134,366,0.17685,0.26175
2014,17-29 y.,Bavaria,Vocational training,0.14012,141,366,0.10451,0.17573
2014,17-29 y.,Berlin,University/ Technical university,0.30237,46,46,0.16818,0.43657
2014,17-29 y.,Brandenburg,Vocational training,0.25899,36,36,0.11386,0.40413
2014,17-29 y.,Saxony,University/ Technical university,0.11524,31,77,0.04345,0.18703
2014,17-29 y.,Saxony,Vocational training,0.23920,46,77,0.14329,0.33511
2014,17-29 y.,Saxony-Anhalt,University/ Technical university,0.28920,31,31,0.12695,0.45144
2014,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.02255,35,75,-0.01128,0.05638
2014,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.02141,40,75,-0.01157,0.05439
2015,17-29 y.,Lower Saxony,General education,0.08844,49,211,0.05003,0.12684
2015,17-29 y.,Lower Saxony,University/ Technical university,0.16486,67,211,0.11467,0.21504
2015,17-29 y.,Lower Saxony,Vocational training,0.20057,95,211,0.14641,0.25473
2015,17-29 y.,North Rhine-Westphalia,General education,0.07412,107,468,0.05036,0.09788
2015,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.19890,195,468,0.16269,0.23510
2015,17-29 y.,North Rhine-Westphalia,Vocational training,0.16477,166,468,0.13113,0.19842
2015,17-29 y.,Hesse,General education,0.06427,35,149,0.02476,0.10378
