year,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,University/ Technical university,0.03164,31,70,-0.00966,0.07295
2014,Schleswig-Holstein,Vocational training,0.02977,39,70,-0.01033,0.06988
2014,Lower Saxony,General education,0.01351,62,283,0.00004,0.02698
2014,Lower Saxony,University/ Technical university,0.02961,84,283,0.00983,0.04940
2014,Lower Saxony,Vocational training,0.03041,101,283,0.01037,0.05046
2014,Lower Saxony,Further training/ Retraining,0.00748,36,283,-0.00258,0.01753
2014,North Rhine-Westphalia,General education,0.01571,131,621,0.00592,0.02550
2014,North Rhine-Westphalia,University/ Technical university,0.04025,228,621,0.02478,0.05572
2014,North Rhine-Westphalia,Vocational training,0.02126,191,621,0.00991,0.03262
2014,North Rhine-Westphalia,Further training/ Retraining,0.00931,71,621,0.00175,0.01688
2014,Hesse,General education,0.01590,46,192,-0.00184,0.03365
2014,Hesse,University/ Technical university,0.04413,85,192,0.01500,0.07326
2014,Hesse,Vocational training,0.02374,61,192,0.00215,0.04533
2014,"Rhineland-Palatinate, Saarland",University/ Technical university,0.02792,42,112,-0.00273,0.05856
2014,"Rhineland-Palatinate, Saarland",Vocational training,0.03226,70,112,-0.00061,0.06514
2014,Baden-Wuerttemberg,General education,0.01191,69,314,-0.00011,0.02393
2014,Baden-Wuerttemberg,University/ Technical university,0.03358,101,314,0.01362,0.05354
2014,Baden-Wuerttemberg,Vocational training,0.03208,112,314,0.01256,0.05161
2014,Baden-Wuerttemberg,Further training/ Retraining,0.00785,32,314,-0.00193,0.01763
2014,Bavaria,General education,0.00976,91,470,0.00086,0.01866
2014,Bavaria,University/ Technical university,0.03591,155,470,0.01907,0.05275
2014,Bavaria,Vocational training,0.02524,161,470,0.01104,0.03943
2014,Bavaria,Further training/ Retraining,0.01290,63,470,0.00269,0.02311
2014,Berlin,University/ Technical university,0.06938,73,73,0.01069,0.12807
2014,Brandenburg,Vocational training,0.02839,45,45,-0.02068,0.07747
2014,Saxony,University/ Technical university,0.02206,44,98,-0.00717,0.05130
2014,Saxony,Vocational training,0.03621,54,98,-0.00097,0.07339
2014,Saxony-Anhalt,University/ Technical university,0.04435,36,36,-0.02386,0.11255
2014,Thuringa,University/ Technical university,0.03602,40,40,-0.02246,0.09451
2015,Schleswig-Holstein,Vocational training,0.02243,32,32,-0.02970,0.07456
2015,Lower Saxony,General education,0.01256,49,233,-0.00177,0.02689
2015,Lower Saxony,University/ Technical university,0.03043,83,233,0.00832,0.05253
2015,Lower Saxony,Vocational training,0.02940,101,233,0.00766,0.05114
2015,North Rhine-Westphalia,General education,0.01149,107,591,0.00289,0.02009
2015,North Rhine-Westphalia,University/ Technical university,0.03537,225,591,0.02046,0.05027
2015,North Rhine-Westphalia,Vocational training,0.02778,180,591,0.01452,0.04104
2015,North Rhine-Westphalia,Further training/ Retraining,0.01464,79,591,0.00495,0.02434
2015,Hesse,General education,0.00976,36,172,-0.00498,0.02449
2015,Hesse,University/ Technical university,0.04306,80,172,0.01264,0.07349
2015,Hesse,Vocational training,0.02421,56,172,0.00117,0.04724
2015,"Rhineland-Palatinate, Saarland",General education,0.01332,32,134,-0.00616,0.03281
2015,"Rhineland-Palatinate, Saarland",University/ Technical university,0.02647,42,134,-0.00081,0.05376
2015,"Rhineland-Palatinate, Saarland",Vocational training,0.03272,60,134,0.00248,0.06295
2015,Baden-Wuerttemberg,General education,0.01603,68,269,0.00100,0.03107
2015,Baden-Wuerttemberg,University/ Technical university,0.03108,112,269,0.01030,0.05186
2015,Baden-Wuerttemberg,Vocational training,0.02148,89,269,0.00412,0.03884
2015,Bavaria,General education,0.00640,59,399,-0.00144,0.01423
2015,Bavaria,University/ Technical university,0.03212,154,399,0.01479,0.04944
2015,Bavaria,Vocational training,0.02027,144,399,0.00643,0.03412
2015,Bavaria,Further training/ Retraining,0.00921,42,399,-0.00018,0.01859
2015,Berlin,University/ Technical university,0.04344,56,56,-0.01043,0.09732
2015,Brandenburg,Vocational training,0.02331,38,38,-0.02531,0.07192
2015,Saxony,University/ Technical university,0.02140,37,86,-0.00937,0.05216
2015,Saxony,Vocational training,0.03136,49,86,-0.00569,0.06841
2016,Schleswig-Holstein,Vocational training,0.01956,37,37,-0.02568,0.06480
2016,Lower Saxony,General education,0.01098,41,302,-0.00079,0.02276
2016,Lower Saxony,University/ Technical university,0.03820,97,302,0.01655,0.05986
2016,Lower Saxony,Vocational training,0.03325,123,302,0.01300,0.05351
2016,Lower Saxony,Further training/ Retraining,0.00847,41,302,-0.00188,0.01882
2016,North Rhine-Westphalia,General education,0.01335,129,606,0.00420,0.02249
2016,North Rhine-Westphalia,University/ Technical university,0.04022,215,606,0.02456,0.05588
2016,North Rhine-Westphalia,Vocational training,0.03125,195,606,0.01738,0.04511
2016,North Rhine-Westphalia,Further training/ Retraining,0.00823,67,606,0.00103,0.01543
2016,Hesse,General education,0.01071,37,174,-0.00463,0.02604
2016,Hesse,University/ Technical university,0.04359,81,174,0.01316,0.07401
2016,Hesse,Vocational training,0.02462,56,174,0.00153,0.04771
2016,"Rhineland-Palatinate, Saarland",General education,0.01859,38,136,-0.00420,0.04137
2016,"Rhineland-Palatinate, Saarland",University/ Technical university,0.03554,50,136,0.00431,0.06677
2016,"Rhineland-Palatinate, Saarland",Vocational training,0.01974,48,136,-0.00372,0.04321
2016,Baden-Wuerttemberg,General education,0.00962,51,296,-0.00152,0.02075
2016,Baden-Wuerttemberg,University/ Technical university,0.03145,104,296,0.01154,0.05137
2016,Baden-Wuerttemberg,Vocational training,0.02152,94,296,0.00496,0.03808
2016,Baden-Wuerttemberg,Further training/ Retraining,0.01113,47,296,-0.00084,0.02311
2016,Bavaria,General education,0.01103,64,369,0.00036,0.02170
2016,Bavaria,University/ Technical university,0.03093,124,369,0.01324,0.04862
2016,Bavaria,Vocational training,0.02061,144,369,0.00609,0.03512
2016,Bavaria,Further training/ Retraining,0.00918,37,369,-0.00057,0.01892
2016,Berlin,University/ Technical university,0.06361,59,59,0.00080,0.12642
2016,Saxony,University/ Technical university,0.02803,43,85,-0.00727,0.06333
2016,Saxony,Vocational training,0.02841,42,85,-0.00712,0.06393
2017,Schleswig-Holstein,University/ Technical university,0.03269,35,81,-0.00628,0.07166
2017,Schleswig-Holstein,Vocational training,0.02687,46,81,-0.00857,0.06230
2017,Lower Saxony,General education,0.01135,58,351,0.00025,0.02245
2017,Lower Saxony,University/ Technical university,0.03584,113,351,0.01637,0.05532
2017,Lower Saxony,Vocational training,0.02958,131,351,0.01183,0.04733
2017,Lower Saxony,Further training/ Retraining,0.01223,49,351,0.00071,0.02374
2017,North Rhine-Westphalia,General education,0.01507,147,718,0.00615,0.02398
2017,North Rhine-Westphalia,University/ Technical university,0.03910,257,718,0.02491,0.05329
2017,North Rhine-Westphalia,Vocational training,0.03065,219,718,0.01803,0.04327
2017,North Rhine-Westphalia,Further training/ Retraining,0.00945,95,718,0.00237,0.01653
2017,Hesse,General education,0.01615,57,217,-0.00066,0.03296
2017,Hesse,University/ Technical university,0.03846,84,217,0.01282,0.06411
2017,Hesse,Vocational training,0.03724,76,217,0.01199,0.06249
2017,"Rhineland-Palatinate, Saarland",General education,0.01521,36,145,-0.00478,0.03519
2017,"Rhineland-Palatinate, Saarland",University/ Technical university,0.02596,60,145,-0.00001,0.05194
2017,"Rhineland-Palatinate, Saarland",Vocational training,0.01791,49,145,-0.00375,0.03958
2017,Baden-Wuerttemberg,General education,0.00804,57,333,-0.00156,0.01765
2017,Baden-Wuerttemberg,University/ Technical university,0.03347,119,333,0.01412,0.05281
2017,Baden-Wuerttemberg,Vocational training,0.02031,112,333,0.00513,0.03548
2017,Baden-Wuerttemberg,Further training/ Retraining,0.00957,45,333,-0.00090,0.02005
2017,Bavaria,General education,0.01093,76,466,0.00148,0.02038
2017,Bavaria,University/ Technical university,0.03199,163,466,0.01599,0.04798
2017,Bavaria,Vocational training,0.02523,169,466,0.01097,0.03948
2017,Bavaria,Further training/ Retraining,0.01015,58,466,0.00104,0.01927
2017,Berlin,University/ Technical university,0.07570,76,76,0.01583,0.13556
2017,Brandenburg,Vocational training,0.01942,31,31,-0.02996,0.06879
2017,Saxony,General education,0.01158,35,134,-0.00660,0.02976
2017,Saxony,University/ Technical university,0.03317,55,134,0.00274,0.06361
2017,Saxony,Vocational training,0.01596,44,134,-0.00534,0.03726
2017,Saxony-Anhalt,Vocational training,0.02890,33,33,-0.02914,0.08694
2017,Thuringa,University/ Technical university,0.04204,31,31,-0.02977,0.11384
2018,Schleswig-Holstein,University/ Technical university,0.02740,36,71,-0.01084,0.06564
2018,Schleswig-Holstein,Vocational training,0.01768,35,71,-0.01319,0.04856
2018,Lower Saxony,General education,0.01282,68,348,0.00098,0.02466
2018,Lower Saxony,University/ Technical university,0.03350,113,348,0.01457,0.05243
2018,Lower Saxony,Vocational training,0.03034,133,348,0.01229,0.04838
2018,Lower Saxony,Further training/ Retraining,0.00477,34,348,-0.00248,0.01202
2018,North Rhine-Westphalia,General education,0.01474,147,758,0.00616,0.02333
2018,North Rhine-Westphalia,University/ Technical university,0.04272,288,758,0.02831,0.05713
2018,North Rhine-Westphalia,Vocational training,0.02925,234,758,0.01725,0.04126
2018,North Rhine-Westphalia,Further training/ Retraining,0.01120,89,758,0.00370,0.01870
