year,sex,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,male,General education,0.01256,260,1287,0.00647,0.01865
2014,male,University/ Technical university,0.03669,461,1287,0.02641,0.04696
2014,male,Vocational training,0.03005,459,1287,0.02072,0.03938
2014,male,Further training/ Retraining,0.00824,107,1287,0.00330,0.01318
2014,female,General education,0.01123,284,1520,0.00593,0.01653
2014,female,University/ Technical university,0.03514,514,1520,0.02588,0.04440
2014,female,Vocational training,0.02247,489,1520,0.01502,0.02992
2014,female,Further training/ Retraining,0.01085,233,1520,0.00564,0.01606
2015,male,General education,0.01077,212,1163,0.00484,0.01671
2015,male,University/ Technical university,0.03324,435,1163,0.02294,0.04355
2015,male,Vocational training,0.02654,408,1163,0.01730,0.03578
2015,male,Further training/ Retraining,0.00934,108,1163,0.00381,0.01487
2015,female,General education,0.01031,260,1373,0.00496,0.01565
2015,female,University/ Technical university,0.03195,486,1373,0.02264,0.04126
2015,female,Vocational training,0.02285,447,1373,0.01494,0.03075
2015,female,Further training/ Retraining,0.01120,180,1373,0.00563,0.01676
2016,male,General education,0.01001,211,1249,0.00449,0.01554
2016,male,University/ Technical university,0.03984,442,1249,0.02899,0.05069
2016,male,Vocational training,0.02825,461,1249,0.01905,0.03744
2016,male,Further training/ Retraining,0.00778,135,1249,0.00291,0.01266
2016,female,General education,0.01155,255,1318,0.00578,0.01732
2016,female,University/ Technical university,0.03394,461,1318,0.02416,0.04372
2016,female,Vocational training,0.02100,403,1318,0.01326,0.02874
2016,female,Further training/ Retraining,0.01088,199,1318,0.00528,0.01648
2017,male,General education,0.01129,274,1543,0.00602,0.01657
2017,male,University/ Technical university,0.04060,569,1543,0.03075,0.05046
2017,male,Vocational training,0.02749,534,1543,0.01933,0.03565
2017,male,Further training/ Retraining,0.00858,166,1543,0.00398,0.01318
2017,female,General education,0.01143,301,1503,0.00605,0.01680
2017,female,University/ Technical university,0.03258,526,1503,0.02360,0.04156
2017,female,Vocational training,0.02296,470,1503,0.01538,0.03053
2017,female,Further training/ Retraining,0.00891,206,1503,0.00416,0.01366
2018,male,General education,0.01028,251,1517,0.00520,0.01536
2018,male,University/ Technical university,0.03755,554,1517,0.02798,0.04712
2018,male,Vocational training,0.02687,554,1517,0.01873,0.03501
2018,male,Further training/ Retraining,0.00677,158,1517,0.00264,0.01090
2018,female,General education,0.01059,277,1455,0.00533,0.01585
2018,female,University/ Technical university,0.03292,544,1455,0.02375,0.04209
2018,female,Vocational training,0.02009,442,1455,0.01288,0.02731
2018,female,Further training/ Retraining,0.00922,192,1455,0.00431,0.01414
2019,male,General education,0.00968,232,1398,0.00454,0.01481
2019,male,University/ Technical university,0.03918,518,1398,0.02900,0.04935
2019,male,Vocational training,0.02421,517,1398,0.01615,0.03227
2019,male,Further training/ Retraining,0.00595,131,1398,0.00191,0.00998
2019,female,General education,0.00891,214,1363,0.00392,0.01390
2019,female,University/ Technical university,0.02998,520,1363,0.02092,0.03904
2019,female,Vocational training,0.02272,459,1363,0.01481,0.03063
2019,female,Further training/ Retraining,0.00991,170,1363,0.00465,0.01517
2020,male,General education,0.00904,218,1482,0.00422,0.01386
2020,male,University/ Technical university,0.04058,513,1482,0.03053,0.05063
2020,male,Vocational training,0.02436,600,1482,0.01651,0.03222
2020,male,Further training/ Retraining,0.00751,151,1482,0.00311,0.01190
2020,female,General education,0.00725,221,1447,0.00288,0.01163
2020,female,University/ Technical university,0.03220,562,1447,0.02310,0.04129
2020,female,Vocational training,0.02440,518,1447,0.01644,0.03235
2020,female,Further training/ Retraining,0.00715,146,1447,0.00281,0.01150
2021,male,General education,0.00909,150,1026,0.00328,0.01490
2021,male,University/ Technical university,0.04276,431,1026,0.03037,0.05514
2021,male,Vocational training,0.01938,337,1026,0.01094,0.02782
2021,male,Further training/ Retraining,0.00578,108,1026,0.00114,0.01042
2021,female,General education,0.00619,127,995,0.00131,0.01106
2021,female,University/ Technical university,0.04028,427,995,0.02806,0.05251
2021,female,Vocational training,0.02102,330,995,0.01210,0.02994
2021,female,Further training/ Retraining,0.00712,111,995,0.00189,0.01234
