year,age_gr,pgisced97,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Pre-primary Level,General education,0.53066,426,426,0.48321,0.57810
2014,17-29 y.,Lower Secondary Level,General education,0.06272,71,443,0.04012,0.08533
2014,17-29 y.,Lower Secondary Level,Vocational training,0.37397,372,443,0.32886,0.41908
2014,17-29 y.,Upper Secondary Level,General education,0.01219,36,751,0.00433,0.02004
2014,17-29 y.,Upper Secondary Level,University/ Technical university,0.29257,451,751,0.26001,0.32513
2014,17-29 y.,Upper Secondary Level,Vocational training,0.12516,230,751,0.10148,0.14885
2014,17-29 y.,Upper Secondary Level,Further training/ Retraining,0.02098,34,751,0.01072,0.03124
2014,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.26848,58,58,0.15343,0.38353
2014,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.33588,136,136,0.25621,0.41555
2014,30-45 y.,Upper Secondary Level,University/ Technical university,0.02099,46,143,-0.00259,0.04456
2014,30-45 y.,Upper Secondary Level,Vocational training,0.01105,37,143,-0.00614,0.02824
2014,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.02404,60,143,-0.00115,0.04924
2014,30-45 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.04093,35,66,-0.00724,0.08910
2014,30-45 y.,Post-secondary Non-tertiary Level,Further training/ Retraining,0.02913,31,66,-0.01175,0.07001
2014,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.04104,86,168,0.01095,0.07112
2014,30-45 y.,Second Stage of Tertiary Education,Vocational training,0.01531,34,168,-0.00331,0.03392
2014,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.02057,48,168,-0.00096,0.04210
2014,46-65 y.,Upper Secondary Level,Further training/ Retraining,0.00573,38,38,-0.01859,0.03005
2015,17-29 y.,Pre-primary Level,General education,0.51767,348,348,0.46510,0.57025
2015,17-29 y.,Lower Secondary Level,General education,0.07363,73,408,0.04826,0.09901
2015,17-29 y.,Lower Secondary Level,Vocational training,0.37092,335,408,0.32399,0.41785
2015,17-29 y.,Upper Secondary Level,General education,0.01226,35,705,0.00413,0.02039
2015,17-29 y.,Upper Secondary Level,University/ Technical university,0.25489,430,705,0.22269,0.28708
2015,17-29 y.,Upper Secondary Level,Vocational training,0.10793,199,705,0.08501,0.13085
2015,17-29 y.,Upper Secondary Level,Further training/ Retraining,0.02610,41,705,0.01432,0.03788
2015,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.27231,58,58,0.15675,0.38787
2015,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.32905,137,137,0.25008,0.40802
2015,30-45 y.,Upper Secondary Level,Vocational training,0.00850,35,91,-0.01047,0.02747
2015,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.02868,56,91,-0.00580,0.06316
2015,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.04080,72,119,0.00510,0.07649
2015,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.02804,47,119,-0.00175,0.05782
2016,17-29 y.,Pre-primary Level,General education,0.48891,341,341,0.43577,0.54204
2016,17-29 y.,Lower Secondary Level,General education,0.08567,70,406,0.05842,0.11293
2016,17-29 y.,Lower Secondary Level,Vocational training,0.35226,336,406,0.30574,0.39878
2016,17-29 y.,Upper Secondary Level,University/ Technical university,0.28279,402,639,0.24784,0.31774
2016,17-29 y.,Upper Secondary Level,Vocational training,0.11009,200,639,0.08580,0.13438
2016,17-29 y.,Upper Secondary Level,Further training/ Retraining,0.02670,37,639,0.01419,0.03921
