year,age_gr,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,1st Quintile,General education,0.08031,187,747,0.06081,0.09981
2014,17-29 y.,1st Quintile,University/ Technical university,0.26325,284,747,0.23165,0.29485
2014,17-29 y.,1st Quintile,Vocational training,0.15460,276,747,0.12866,0.18055
2014,17-29 y.,2nd Quintile,General education,0.08061,119,409,0.05420,0.10703
2014,17-29 y.,2nd Quintile,University/ Technical university,0.17535,118,409,0.13845,0.21225
2014,17-29 y.,2nd Quintile,Vocational training,0.16638,172,409,0.13024,0.20251
2014,17-29 y.,3rd Quintile,General education,0.07733,77,372,0.05015,0.10451
2014,17-29 y.,3rd Quintile,University/ Technical university,0.18018,119,372,0.14107,0.21929
2014,17-29 y.,3rd Quintile,Vocational training,0.17301,176,372,0.13452,0.21150
2014,17-29 y.,4th Quintile,General education,0.08283,91,369,0.05467,0.11100
2014,17-29 y.,4th Quintile,University/ Technical university,0.16149,133,369,0.12389,0.19908
2014,17-29 y.,4th Quintile,Vocational training,0.17482,145,369,0.13601,0.21362
2014,17-29 y.,5th Quintile,General education,0.08937,66,244,0.05350,0.12524
2014,17-29 y.,5th Quintile,University/ Technical university,0.23243,129,244,0.17932,0.28554
2014,17-29 y.,5th Quintile,Vocational training,0.09575,49,244,0.05875,0.13274
2014,30-45 y.,1st Quintile,University/ Technical university,0.03217,36,121,0.00060,0.06374
2014,30-45 y.,1st Quintile,Vocational training,0.02596,31,121,-0.00249,0.05441
2014,30-45 y.,1st Quintile,Further training/ Retraining,0.02643,54,121,-0.00227,0.05513
2014,30-45 y.,2nd Quintile,University/ Technical university,0.03035,39,111,-0.00171,0.06241
2014,30-45 y.,2nd Quintile,Vocational training,0.01403,31,111,-0.00795,0.03602
2014,30-45 y.,2nd Quintile,Further training/ Retraining,0.02753,41,111,-0.00305,0.05811
2014,30-45 y.,3rd Quintile,University/ Technical university,0.02299,36,36,-0.02666,0.07265
2014,30-45 y.,5th Quintile,University/ Technical university,0.02702,36,36,-0.02670,0.08073
2015,17-29 y.,1st Quintile,General education,0.07333,141,647,0.05323,0.09343
2015,17-29 y.,1st Quintile,University/ Technical university,0.25252,249,647,0.21901,0.28602
2015,17-29 y.,1st Quintile,Vocational training,0.16835,257,647,0.13950,0.19721
2015,17-29 y.,2nd Quintile,General education,0.08816,116,423,0.06111,0.11521
2015,17-29 y.,2nd Quintile,University/ Technical university,0.15602,125,423,0.12140,0.19065
2015,17-29 y.,2nd Quintile,Vocational training,0.18354,182,423,0.14660,0.22047
2015,17-29 y.,3rd Quintile,General education,0.07558,83,362,0.04831,0.10285
2015,17-29 y.,3rd Quintile,University/ Technical university,0.16296,140,362,0.12486,0.20106
2015,17-29 y.,3rd Quintile,Vocational training,0.14049,139,362,0.10464,0.17634
2015,17-29 y.,4th Quintile,General education,0.06136,68,319,0.03498,0.08774
2015,17-29 y.,4th Quintile,University/ Technical university,0.18043,126,319,0.13816,0.22269
2015,17-29 y.,4th Quintile,Vocational training,0.18109,125,319,0.13877,0.22342
2015,17-29 y.,5th Quintile,General education,0.08790,60,244,0.05230,0.12350
2015,17-29 y.,5th Quintile,University/ Technical university,0.22743,126,244,0.17473,0.28014
2015,17-29 y.,5th Quintile,Vocational training,0.12697,58,244,0.08511,0.16883
2015,30-45 y.,1st Quintile,Further training/ Retraining,0.04541,46,46,-0.01542,0.10625
2015,30-45 y.,3rd Quintile,Further training/ Retraining,0.03957,31,31,-0.03019,0.10933
2016,17-29 y.,1st Quintile,General education,0.05809,132,622,0.03969,0.07649
2016,17-29 y.,1st Quintile,University/ Technical university,0.27125,258,622,0.23628,0.30621
2016,17-29 y.,1st Quintile,Vocational training,0.15838,232,622,0.12967,0.18710
2016,17-29 y.,2nd Quintile,General education,0.07510,103,416,0.04974,0.10045
2016,17-29 y.,2nd Quintile,University/ Technical university,0.20240,124,416,0.16374,0.24105
2016,17-29 y.,2nd Quintile,Vocational training,0.17223,189,416,0.13590,0.20855
2016,17-29 y.,3rd Quintile,General education,0.06641,75,317,0.03896,0.09386
2016,17-29 y.,3rd Quintile,University/ Technical university,0.15832,102,317,0.11807,0.19856
2016,17-29 y.,3rd Quintile,Vocational training,0.16238,140,317,0.12171,0.20304
2016,17-29 y.,4th Quintile,General education,0.09543,69,282,0.06108,0.12979
2016,17-29 y.,4th Quintile,University/ Technical university,0.16326,118,282,0.12004,0.20647
2016,17-29 y.,4th Quintile,Vocational training,0.11525,95,282,0.07791,0.15258
2016,17-29 y.,5th Quintile,General education,0.08529,54,234,0.04942,0.12115
2016,17-29 y.,5th Quintile,University/ Technical university,0.21820,119,234,0.16516,0.27123
2016,17-29 y.,5th Quintile,Vocational training,0.13244,61,234,0.08892,0.17597
