year,sampreg,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,West,General education,0.01301,478,2327,0.00840,0.01761
2014,West,University/ Technical university,0.03713,803,2327,0.02944,0.04481
2014,West,Vocational training,0.02611,767,2327,0.01963,0.03259
2014,West,Further training/ Retraining,0.01041,279,2327,0.00629,0.01453
2014,East,General education,0.00660,66,480,-0.00065,0.01385
2014,East,University/ Technical university,0.03012,172,480,0.01481,0.04542
2014,East,Vocational training,0.02659,181,480,0.01218,0.04100
2014,East,Further training/ Retraining,0.00561,61,480,-0.00108,0.01229
2015,West,General education,0.01126,402,2110,0.00676,0.01576
2015,West,University/ Technical university,0.03424,786,2110,0.02648,0.04200
2015,West,Vocational training,0.02494,696,2110,0.01829,0.03160
2015,West,Further training/ Retraining,0.01095,226,2110,0.00651,0.01539
2015,East,General education,0.00711,70,426,-0.00088,0.01509
2015,East,University/ Technical university,0.02479,135,426,0.01001,0.03957
2015,East,Vocational training,0.02333,159,426,0.00898,0.03768
2015,East,Further training/ Retraining,0.00715,62,426,-0.00086,0.01516
2016,West,General education,0.01179,408,2167,0.00724,0.01633
2016,West,University/ Technical university,0.03849,767,2167,0.03038,0.04659
2016,West,Vocational training,0.02484,724,2167,0.01828,0.03139
2016,West,Further training/ Retraining,0.00974,268,2167,0.00560,0.01387
2016,East,General education,0.00604,58,400,-0.00156,0.01365
2016,East,University/ Technical university,0.02910,136,400,0.01261,0.04559
2016,East,Vocational training,0.02336,140,400,0.00854,0.03818
2016,East,Further training/ Retraining,0.00748,66,400,-0.00097,0.01594
2017,West,General education,0.01177,480,2552,0.00759,0.01596
2017,West,University/ Technical university,0.03695,917,2552,0.02963,0.04427
2017,West,Vocational training,0.02642,847,2552,0.02020,0.03265
2017,West,Further training/ Retraining,0.00910,308,2552,0.00542,0.01279
2017,East,General education,0.00936,95,494,0.00086,0.01785
2017,East,University/ Technical university,0.03464,178,494,0.01850,0.05078
2017,East,Vocational training,0.01931,157,494,0.00716,0.03145
2017,East,Further training/ Retraining,0.00702,64,494,-0.00035,0.01439
2018,West,General education,0.01100,449,2486,0.00690,0.01510
2018,West,University/ Technical university,0.03538,921,2486,0.02812,0.04265
2018,West,Vocational training,0.02514,840,2486,0.01899,0.03130
2018,West,Further training/ Retraining,0.00845,276,2486,0.00485,0.01205
2018,East,General education,0.00770,79,486,-0.00008,0.01548
2018,East,University/ Technical university,0.03435,177,486,0.01814,0.05056
2018,East,Vocational training,0.01527,156,486,0.00436,0.02619
2018,East,Further training/ Retraining,0.00589,74,486,-0.00092,0.01270
2019,West,General education,0.00938,382,2318,0.00545,0.01330
2019,West,University/ Technical university,0.03534,883,2318,0.02782,0.04286
2019,West,Vocational training,0.02429,822,2318,0.01802,0.03056
2019,West,Further training/ Retraining,0.00826,231,2318,0.00458,0.01195
2019,East,General education,0.00890,64,439,0.00011,0.01770
2019,East,University/ Technical university,0.03050,152,439,0.01440,0.04660
2019,East,Vocational training,0.01941,153,439,0.00649,0.03233
2019,East,Further training/ Retraining,0.00645,70,439,-0.00105,0.01394
2020,West,General education,0.00763,361,2495,0.00421,0.01104
2020,West,University/ Technical university,0.03839,923,2495,0.03085,0.04593
2020,West,Vocational training,0.02570,962,2495,0.01949,0.03191
2020,West,Further training/ Retraining,0.00756,249,2495,0.00416,0.01097
2020,East,General education,0.01056,78,437,0.00097,0.02016
2020,East,University/ Technical university,0.02656,155,437,0.01147,0.04165
2020,East,Vocational training,0.01795,156,437,0.00549,0.03042
2020,East,Further training/ Retraining,0.00616,48,437,-0.00118,0.01351
2021,West,General education,0.00759,228,1692,0.00346,0.01173
2021,West,University/ Technical university,0.04348,722,1692,0.03376,0.05320
2021,West,Vocational training,0.01947,562,1692,0.01288,0.02606
2021,West,Further training/ Retraining,0.00671,180,1692,0.00282,0.01060
2021,East,General education,0.00777,49,332,-0.00169,0.01724
2021,East,University/ Technical university,0.03207,139,332,0.01309,0.05105
2021,East,Vocational training,0.02380,105,332,0.00738,0.04022
2021,East,Further training/ Retraining,0.00518,39,332,-0.00255,0.01291
