"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2008","16-34 J.","Laendlicher Raum","7.35","7.5","1478","7.24","7.46"
"2008","16-34 J.","Staedtischer Raum","7.23","7.5","2857","7.15","7.31"
"2008","35-65 J.","Laendlicher Raum","6.58","6.5","3702","6.51","6.65"
"2008","35-65 J.","Staedtischer Raum","6.65","6.5","6963","6.6","6.7"
"2008","66 und älter","Laendlicher Raum","6.42","6.5","1494","6.3","6.54"
"2008","66 und älter","Staedtischer Raum","6.52","6.5","2791","6.43","6.61"
"2009","16-34 J.","Laendlicher Raum","7.4","7.5","1364","7.3","7.5"
"2009","16-34 J.","Staedtischer Raum","7.23","7.5","2601","7.15","7.31"
"2009","35-65 J.","Laendlicher Raum","6.52","6.5","3531","6.44","6.6"
"2009","35-65 J.","Staedtischer Raum","6.64","6.5","6341","6.58","6.7"
"2009","66 und älter","Laendlicher Raum","6.41","6.5","1458","6.29","6.53"
"2009","66 und älter","Staedtischer Raum","6.36","6.5","2692","6.27","6.45"
"2010","16-34 J.","Laendlicher Raum","7.28","7.5","2267","7.19","7.37"
"2010","16-34 J.","Staedtischer Raum","7.22","7.5","4278","7.15","7.29"
"2010","35-65 J.","Laendlicher Raum","6.51","6.5","4690","6.44","6.58"
"2010","35-65 J.","Staedtischer Raum","6.63","6.5","8674","6.58","6.68"
"2010","66 und älter","Laendlicher Raum","6.33","6.5","1405","6.21","6.45"
"2010","66 und älter","Staedtischer Raum","6.45","6.5","2610","6.36","6.54"
"2011","16-34 J.","Laendlicher Raum","7.27","7.5","2234","7.18","7.36"
"2011","16-34 J.","Staedtischer Raum","7.27","7.5","4063","7.2","7.34"
"2011","35-65 J.","Laendlicher Raum","6.56","6.5","5483","6.5","6.62"
"2011","35-65 J.","Staedtischer Raum","6.63","6.5","9548","6.58","6.68"
"2011","66 und älter","Laendlicher Raum","6.36","6.5","1547","6.24","6.48"
"2011","66 und älter","Staedtischer Raum","6.41","6.5","2905","6.32","6.5"
"2012","16-34 J.","Laendlicher Raum","7.24","7.5","2141","7.15","7.33"
"2012","16-34 J.","Staedtischer Raum","7.19","7.5","3923","7.12","7.26"
