"year","quintil_oecd","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","1 Einkommensschwächstes Quintil","männlich","6.65","6.5","1439","3","5","9","10","10","6.53","6.77","0","10","7","7"
"2008","1 Einkommensschwächstes Quintil","weiblich","6.23","5.5","1887","3","5","8","9","10","6.12","6.34","0","10","6","7"
"2008","2","männlich","6.87","6.5","1873","3","5","8","10","10","6.77","6.97","0","10","7","7"
"2008","2","weiblich","6.52","6.5","2173","3","5","8","9","10","6.42","6.62","0","10","7","7"
"2008","3","männlich","6.96","6.5","1774","4","5","9","10","10","6.86","7.06","0","10","7","8"
"2008","3","weiblich","6.63","6.5","1958","3","5","8","9","10","6.53","6.73","0","10","7","7"
"2008","4","männlich","6.95","6.5","2032","4","6","9","10","10","6.86","7.04","0","10","7","8"
"2008","4","weiblich","6.88","6.5","2069","4","5","8","10","10","6.78","6.98","0","10","7","7"
"2008","5 Einkommensstärkstes Quintil","männlich","7.08","6.5","2072","4","6","9","9","10","6.99","7.17","0","10","7","8"
"2008","5 Einkommensstärkstes Quintil","weiblich","6.89","6.5","2008","4","5","8","9","10","6.79","6.99","0","10","7","8"
"2009","1 Einkommensschwächstes Quintil","männlich","6.7","6.5","1310","3","5","8","10","10","6.57","6.83","0","10","7","7"
"2009","1 Einkommensschwächstes Quintil","weiblich","6.29","6.5","1664","3","5","8","9","10","6.18","6.4","0","10","6","7"
"2009","2","männlich","6.76","6.5","1669","3","5","8","10","10","6.65","6.87","0","10","7","7"
"2009","2","weiblich","6.47","6.5","1990","3","5","8","9","10","6.37","6.57","0","10","7","7"
"2009","3","männlich","6.86","6.5","1591","4","5","9","10","10","6.75","6.97","0","10","7","7"
"2009","3","weiblich","6.57","6.5","1782","3","5","8","9","10","6.46","6.68","0","10","7","7"
"2009","4","männlich","6.86","6.5","1967","4","5","8","9","10","6.76","6.96","0","10","7","8"
"2009","4","weiblich","6.79","6.5","1972","3","5","8","10","10","6.69","6.89","0","10","7","7"
"2009","5 Einkommensstärkstes Quintil","männlich","7.08","6.5","2052","4","6","9","10","10","6.99","7.17","0","10","7","8"
"2009","5 Einkommensstärkstes Quintil","weiblich","6.87","6.5","1990","4","5","9","10","10","6.77","6.97","0","10","7","7"
"2010","1 Einkommensschwächstes Quintil","männlich","6.7","6.5","1907","3","5","8","10","10","6.59","6.81","0","10","7","8"
"2010","1 Einkommensschwächstes Quintil","weiblich","6.09","5.5","2786","2","4","8","9","10","5.99","6.19","0","10","6","7"
"2010","2","männlich","6.79","6.5","2400","3","5","8","10","10","6.7","6.88","0","10","7","7"
"2010","2","weiblich","6.52","6.5","3123","3","5","8","10","10","6.44","6.6","0","10","7","7"
"2010","3","männlich","6.91","6.5","1959","4","5","8","10","10","6.81","7.01","0","10","7","8"
"2010","3","weiblich","6.61","6.5","2260","3","5","8","9","10","6.51","6.71","0","10","7","7"
"2010","4","männlich","6.87","6.5","2281","4","5","8","10","10","6.78","6.96","0","10","7","8"
"2010","4","weiblich","6.69","6.5","2451","3","5","8","9","10","6.6","6.78","0","10","7","7"
"2010","5 Einkommensstärkstes Quintil","männlich","7.01","6.5","2347","4","6","9","10","10","6.93","7.09","0","10","7","8"
"2010","5 Einkommensstärkstes Quintil","weiblich","6.81","6.5","2410","3","5","9","10","10","6.72","6.9","0","10","7","7"
"2011","1 Einkommensschwächstes Quintil","männlich","6.49","6.5","1862","3","5","8","10","10","6.38","6.6","0","10","7","7"
"2011","1 Einkommensschwächstes Quintil","weiblich","6.2","5.5","2811","3","4","8","9","10","6.11","6.29","0","10","6","7"
"2011","2","männlich","6.79","6.5","2379","3","5","8","10","10","6.7","6.88","0","10","7","8"
"2011","2","weiblich","6.41","6.5","3254","3","5","8","9","10","6.33","6.49","0","10","7","7"
"2011","3","männlich","6.93","6.5","2139","4","5","9","10","10","6.84","7.02","0","10","7","8"
"2011","3","weiblich","6.5","6.5","2536","3","5","8","10","10","6.41","6.59","0","10","7","7"
"2011","4","männlich","6.9","6.5","2537","4","5","9","10","10","6.82","6.98","0","10","7","8"
"2011","4","weiblich","6.68","6.5","2796","3","5","8","10","10","6.59","6.77","0","10","7","7"
"2011","5 Einkommensstärkstes Quintil","männlich","7.14","7.5","2712","4","6","9","10","10","7.06","7.22","0","10","8","8"
"2011","5 Einkommensstärkstes Quintil","weiblich","6.96","6.5","2754","4","5","9","10","10","6.88","7.04","0","10","7","8"
"2012","1 Einkommensschwächstes Quintil","männlich","6.43","6.5","1764","3","5","8","10","10","6.31","6.55","0","10","7","7"
"2012","1 Einkommensschwächstes Quintil","weiblich","6.11","5.5","2562","2","4","8","9","10","6.01","6.21","0","10","6","7"
"2012","2","männlich","6.75","6.5","2313","3","5","8","10","10","6.66","6.84","0","10","7","7"
"2012","2","weiblich","6.42","6.5","3176","3","5","8","10","10","6.34","6.5","0","10","7","7"
"2012","3","männlich","6.93","6.5","2291","4","5","8","10","10","6.84","7.02","0","10","7","8"
"2012","3","weiblich","6.56","6.5","2704","3","5","8","9","10","6.47","6.65","0","10","7","7"
"2012","4","männlich","6.98","6.5","2685","4","6","8","10","10","6.9","7.06","0","10","7","8"
"2012","4","weiblich","6.68","6.5","2968","3","5","8","9","10","6.6","6.76","0","10","7","7"
"2012","5 Einkommensstärkstes Quintil","männlich","7.08","6.5","2918","4","6","9","10","10","7.01","7.15","0","10","7","8"
"2012","5 Einkommensstärkstes Quintil","weiblich","6.93","6.5","3023","4","5","9","10","10","6.85","7.01","0","10","7","7"
"2013","1 Einkommensschwächstes Quintil","männlich","6.37","6.5","1526","2","5","8","10","10","6.25","6.49","0","10","7","7"
"2013","1 Einkommensschwächstes Quintil","weiblich","6.11","6.5","2284","3","4","8","9","10","6.01","6.21","0","10","6","7"
"2013","2","männlich","6.76","6.5","2145","3","5","8","10","10","6.66","6.86","0","10","7","7"
"2013","2","weiblich","6.44","6.5","2888","3","5","8","10","10","6.35","6.53","0","10","7","7"
"2013","3","männlich","6.89","6.5","2162","4","5","9","10","10","6.8","6.98","0","10","7","7"
"2013","3","weiblich","6.44","6.5","2644","3","5","8","9","10","6.35","6.53","0","10","7","7"
"2013","4","männlich","6.95","6.5","2692","4","6","8","10","10","6.87","7.03","0","10","7","8"
"2013","4","weiblich","6.67","6.5","3052","3","5","8","9","10","6.59","6.75","0","10","7","7"
"2013","5 Einkommensstärkstes Quintil","männlich","7.1","7.5","3086","4","6","9","10","10","7.03","7.17","0","10","8","8"
"2013","5 Einkommensstärkstes Quintil","weiblich","6.87","6.5","3174","4","5","8","10","10","6.79","6.95","0","10","7","7"
"2014","1 Einkommensschwächstes Quintil","männlich","6.49","6.5","1783","3","5","8","10","10","6.37","6.61","0","10","7","7"
"2014","1 Einkommensschwächstes Quintil","weiblich","6.08","5.5","2394","2","4","8","10","10","5.98","6.18","0","10","6","7"
"2014","2","männlich","6.65","6.5","2269","3","5","9","10","10","6.55","6.75","0","10","7","7"
"2014","2","weiblich","6.28","6.5","2962","3","4","8","9","10","6.19","6.37","0","10","7","7"
"2014","3","männlich","6.93","6.5","2178","4","5","9","10","10","6.84","7.02","0","10","7","7"
"2014","3","weiblich","6.52","6.5","2673","3","5","8","10","10","6.43","6.61","0","10","7","7"
"2014","4","männlich","6.96","6.5","2905","4","6","8","10","10","6.88","7.04","0","10","7","7"
"2014","4","weiblich","6.73","6.5","3248","3","5","8","10","10","6.65","6.81","0","10","7","7"
"2014","5 Einkommensstärkstes Quintil","männlich","7.04","6.5","3288","4","6","9","10","10","6.97","7.11","0","10","7","8"
"2014","5 Einkommensstärkstes Quintil","weiblich","6.84","6.5","3359","4","5","8","9","10","6.77","6.91","0","10","7","7"
"2015","1 Einkommensschwächstes Quintil","männlich","6.57","6.5","1556","3","5","8","10","10","6.45","6.69","0","10","7","7"
"2015","1 Einkommensschwächstes Quintil","weiblich","6.02","5.5","2023","2","4","8","9","10","5.91","6.13","0","10","6","7"
"2015","2","männlich","6.74","6.5","1780","3","5","8","10","10","6.64","6.84","0","10","7","7"
"2015","2","weiblich","6.42","6.5","2508","3","5","8","9","10","6.33","6.51","0","10","7","7"
"2015","3","männlich","6.82","6.5","2036","4","5","8","10","10","6.73","6.91","0","10","7","7"
"2015","3","weiblich","6.42","6.5","2482","3","5","8","9","10","6.33","6.51","0","10","7","7"
"2015","4","männlich","6.91","6.5","2720","4","5","8","9","10","6.83","6.99","0","10","7","8"
"2015","4","weiblich","6.66","6.5","3134","3","5","8","9","10","6.58","6.74","0","10","7","7"
"2015","5 Einkommensstärkstes Quintil","männlich","7.09","6.5","3348","4","6","9","10","10","7.02","7.16","0","10","7","8"
"2015","5 Einkommensstärkstes Quintil","weiblich","6.93","6.5","3417","4","6","8","9","10","6.86","7","0","10","7","7"
"2016","1 Einkommensschwächstes Quintil","männlich","6.42","6.5","1399","3","5","8","10","10","6.29","6.55","0","10","7","7"
"2016","1 Einkommensschwächstes Quintil","weiblich","6.05","5.5","1836","2","4","8","9","10","5.93","6.17","0","10","6","7"
"2016","2","männlich","6.57","6.5","1699","3","5","8","9","10","6.46","6.68","0","10","7","7"
"2016","2","weiblich","6.18","5.5","2314","3","5","8","9","10","6.08","6.28","0","10","7","7"
"2016","3","männlich","6.86","6.5","1842","4","5","9","10","10","6.76","6.96","0","10","7","8"
"2016","3","weiblich","6.45","6.5","2314","3","5","8","9","10","6.36","6.54","0","10","7","7"
"2016","4","männlich","6.97","6.5","2748","4","6","8","9","10","6.89","7.05","0","10","7","7"
"2016","4","weiblich","6.67","6.5","3168","4","5","8","9","10","6.59","6.75","0","10","7","7"
"2016","5 Einkommensstärkstes Quintil","männlich","7.1","6.5","3350","4","6","8","9","10","7.03","7.17","0","10","7","8"
"2016","5 Einkommensstärkstes Quintil","weiblich","6.81","6.5","3450","3","5","8","9","10","6.74","6.88","0","10","7","7"
"2017","1 Einkommensschwächstes Quintil","männlich","6.39","6.5","1349","3","5","8","10","10","6.26","6.52","0","10","7","7"
"2017","1 Einkommensschwächstes Quintil","weiblich","5.99","5.5","1704","2","4","8","9","10","5.87","6.11","0","10","6","7"
"2017","2","männlich","6.62","6.5","1670","3","5","8","10","10","6.51","6.73","0","10","7","7"
"2017","2","weiblich","6.24","6.5","2255","3","5","8","9","10","6.14","6.34","0","10","7","7"
"2017","3","männlich","6.7","6.5","2005","4","5","8","9","10","6.61","6.79","0","10","7","7"
"2017","3","weiblich","6.46","6.5","2486","3","5","8","9","10","6.37","6.55","0","10","7","7"
"2017","4","männlich","6.88","6.5","3010","4","6","8","9","10","6.8","6.96","0","10","7","7"
"2017","4","weiblich","6.48","6.5","3521","3","5","8","9","10","6.41","6.55","0","10","7","7"
"2017","5 Einkommensstärkstes Quintil","männlich","6.98","6.5","4163","4","6","8","9","10","6.92","7.04","0","10","7","7"
"2017","5 Einkommensstärkstes Quintil","weiblich","6.7","6.5","4237","3","5","8","9","10","6.64","6.76","0","10","7","7"
"2018","1 Einkommensschwächstes Quintil","männlich","6.3","6.5","1254","3","5","8","10","10","6.16","6.44","0","10","7","7"
"2018","1 Einkommensschwächstes Quintil","weiblich","5.9","5.5","1565","2","4","8","9","10","5.77","6.03","0","10","6","7"
"2018","2","männlich","6.5","6.5","1410","3","5","8","9","10","6.38","6.62","0","10","7","7"
"2018","2","weiblich","6.1","5.5","1998","3","4","8","9","10","5.99","6.21","0","10","6","7"
"2018","3","männlich","6.54","6.5","1848","3","5","8","9","10","6.44","6.64","0","10","7","7"
"2018","3","weiblich","6.13","5.5","2314","3","5","8","9","10","6.03","6.23","0","10","7","7"
"2018","4","männlich","6.89","6.5","3016","4","5","8","9","10","6.82","6.96","0","10","7","7"
"2018","4","weiblich","6.4","6.5","3568","3","5","8","9","10","6.33","6.47","0","10","7","7"
