"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2018","17-34","weiblich","6.77","6.5","3139","4","5","8","9","10","6.69","6.85","0","10","7","7"
"2018","35-65","maennlich","6.53","6.5","6511","3","5","8","9","10","6.48","6.58","0","10","7","7"
"2018","35-65","weiblich","6.26","6.5","8108","3","5","8","9","10","6.21","6.31","0","10","7","7"
"2018","66 +","maennlich","6.8","6.5","2441","3","5","8","10","10","6.71","6.89","0","10","7","7"
"2018","66 +","weiblich","6.18","5.5","2543","3","4","8","9","10","6.08","6.28","0","10","6","7"
"2019","17-34","maennlich","7.23","6.5","2577","5","6","8","10","10","7.15","7.31","0","10","7","8"
"2019","17-34","weiblich","6.85","6.5","2848","4","5","8","9","10","6.77","6.93","0","10","7","7"
"2019","35-65","maennlich","6.64","6.5","7103","3","5","8","9","10","6.59","6.69","0","10","7","7"
"2019","35-65","weiblich","6.39","6.5","8052","3","5","8","9","10","6.34","6.44","0","10","7","7"
"2019","66 +","maennlich","6.85","6.5","2640","3","5","8","9","10","6.77","6.93","0","10","7","8"
"2019","66 +","weiblich","6.32","6.5","2582","3","5","8","9","10","6.23","6.41","0","10","7","7"
"2020","17-34","maennlich","7.08","6.5","3115","4","6","9","10","10","7.01","7.15","0","10","7","8"
"2020","17-34","weiblich","6.83","6.5","3189","4","5","8","9","10","6.75","6.91","0","10","7","7"
"2020","35-65","maennlich","6.51","6.5","6733","3","5","8","9","10","6.46","6.56","0","10","7","7"
"2020","35-65","weiblich","6.27","6.5","7757","3","5","8","9","10","6.22","6.32","0","10","7","7"
"2020","66 +","maennlich","6.76","6.5","2450","3","5","8","9","10","6.68","6.84","0","10","7","7"
"2020","66 +","weiblich","6.27","6.5","2479","3","5","8","9","10","6.18","6.36","0","10","7","7"
