"year","bildungsniveau","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","(Fach-)Abitur","1 Einkommensschwächstes Quintil","6.7","6.5","367","3","5","8","9","10","6.47","6.93","0","10","7","8"
"2008","(Fach-)Abitur","2","6.81","6.5","370","3","5","9","10","10","6.58","7.04","0","10","7","8"
"2008","(Fach-)Abitur","3","7.08","7.5","425","4","6","9","10","10","6.88","7.28","0","10","7","8"
"2008","(Fach-)Abitur","4","7.07","7.5","512","4","6","9","10","10","6.88","7.26","0","10","7","8"
"2008","(Fach-)Abitur","5 Einkommensstärkstes Quintil","6.82","6.5","494","4","5","8","9","10","6.63","7.01","0","10","7","8"
"2008","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","6.43","6.5","162","2","5","8","10","10","6.06","6.8","0","10","7","7"
"2008","(noch) kein Abschluss","2","6.87","6.5","142","2","5","9","10","10","6.47","7.27","0","10","7","8"
"2008","(noch) kein Abschluss","3","7.84","7.5","91","5","7","9","10","10","7.46","8.22","3","10","8","9"
"2008","(noch) kein Abschluss","4","7.58","7.5","74","4","6","10","10","10","7.05","8.11","2","10","7","8"
"2008","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","7.5","7.5","74","4","6","9","10","10","7.08","7.92","2","10","7","8"
"2008","AkademikerIn","1 Einkommensschwächstes Quintil","6.69","6.5","242","4","5","8","10","10","6.4","6.98","0","10","7","8"
"2008","AkademikerIn","2","7.09","6.5","430","4","6","8","10","10","6.89","7.29","0","10","7","8"
"2008","AkademikerIn","3","6.75","6.5","599","4","5","8","9","10","6.57","6.93","0","10","7","7"
"2008","AkademikerIn","4","6.77","6.5","921","4","5","8","9","10","6.63","6.91","0","10","7","8"
"2008","AkademikerIn","5 Einkommensstärkstes Quintil","7.15","7.5","1995","4","6","9","9","10","7.06","7.24","0","10","8","8"
"2008","Hauptschule","1 Einkommensschwächstes Quintil","6.2","5.5","1554","3","5","8","9","10","6.08","6.32","0","10","6","7"
