"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"2008","16-34 Jahre alt","7.26","8","4367","7.2","7.32"
"2008","35-65 Jahre alt","","","","",""
"2008","66 und Ã¤lter","6.49","7","4349","6.42","6.56"
"2009","16-34 Jahre alt","7.28","8","4000","7.22","7.34"
"2009","35-65 Jahre alt","6.6","7","9889","6.56","6.64"
"2009","66 und Ã¤lter","6.37","7","4206","6.3","6.44"
"2010","16-34 Jahre alt","7.22","8","6583","7.17","7.27"
"2010","35-65 Jahre alt","","","","",""
"2010","66 und Ã¤lter","6.41","7","4066","6.34","6.48"
"2011","16-34 Jahre alt","7.26","8","6331","7.21","7.31"
"2011","35-65 Jahre alt","","","","",""
"2011","66 und Ã¤lter","6.41","7","4518","6.34","6.48"
"2012","16-34 Jahre alt","7.21","8","6097","7.16","7.26"
"2012","35-65 Jahre alt","","","","",""
"2012","66 und Ã¤lter","6.52","7","4957","6.45","6.59"
"2013","16-34 Jahre alt","7.19","8","5737","7.13","7.25"
"2013","35-65 Jahre alt","","","","",""
"2013","66 und Ã¤lter","6.58","7","5012","6.52","6.64"
"2014","16-34 Jahre alt","7.18","8","6587","7.13","7.23"
"2014","35-65 Jahre alt","","","","",""
"2014","66 und Ã¤lter","6.51","7","5002","6.44","6.58"
"2015","16-34 Jahre alt","7.18","8","5756","7.13","7.23"
"2015","35-65 Jahre alt","","","","",""
"2015","66 und Ã¤lter","6.58","7","4944","6.52","6.64"
"2016","16-34 Jahre alt","7.17","8","5595","7.11","7.23"
"2016","35-65 Jahre alt","","","","",""
"2016","66 und Ã¤lter","6.51","7","4769","6.44","6.58"
"2017","16-34 Jahre alt","7.06","7","6158","7.01","7.11"
"2017","35-65 Jahre alt","","","","",""
"2017","66 und Ã¤lter","6.48","7","5027","6.42","6.54"
"2018","16-34 Jahre alt","6.94","7","5987","6.89","6.99"
"2018","35-65 Jahre alt","","","","",""
"2018","66 und Ã¤lter","6.46","7","5053","6.4","6.52"
"2019","16-34 Jahre alt","7.04","7","5454","6.98","7.1"
"2019","35-65 Jahre alt","","","","",""
"2019","66 und Ã¤lter","6.57","7","5237","6.51","6.63"
