"year","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2008","maennlich","6.9","6.5","9190","4","5","9","10","10","6.86","6.94","0","10","7","8"
"2008","weiblich","6.6","6.5","10095","3","5","8","9","10","6.55","6.65","0","10","7","7"
"2009","maennlich","6.85","6.5","8589","4","5","8","10","10","6.8","6.9","0","10","7","7"
"2009","weiblich","6.58","6.5","9398","3","5","8","9","10","6.53","6.63","0","10","7","7"
"2010","maennlich","6.86","6.5","10894","4","5","8","10","10","6.82","6.9","0","10","7","7"
"2010","weiblich","6.55","6.5","13030","3","5","8","10","10","6.51","6.59","0","10","7","7"
"2011","maennlich","6.87","6.5","11629","4","5","9","10","10","6.83","6.91","0","10","7","8"
"2011","weiblich","6.55","6.5","14151","3","5","8","10","10","6.51","6.59","0","10","7","7"
"2012","maennlich","6.88","6.5","11971","4","5","8","10","10","6.84","6.92","0","10","7","7"
"2012","weiblich","6.57","6.5","14433","3","5","8","10","10","6.53","6.61","0","10","7","7"
"2013","maennlich","6.87","6.5","11611","4","5","9","10","10","6.83","6.91","0","10","7","7"
"2013","weiblich","6.55","6.5","14042","3","5","8","9","10","6.51","6.59","0","10","7","7"
"2014","maennlich","6.86","6.5","12423","4","5","9","10","10","6.82","6.9","0","10","7","7"
"2014","weiblich","6.54","6.5","14636","3","5","8","9","10","6.5","6.58","0","10","7","7"
"2015","maennlich","6.88","6.5","11440","4","5","8","10","10","6.84","6.92","0","10","7","7"
"2015","weiblich","6.56","6.5","13564","3","5","8","9","10","6.52","6.6","0","10","7","7"
"2016","maennlich","6.87","6.5","11038","4","5","8","10","10","6.83","6.91","0","10","7","7"
"2016","weiblich","6.52","6.5","13082","3","5","8","9","10","6.48","6.56","0","10","7","7"
"2017","maennlich","6.8","6.5","12197","4","5","8","9","10","6.76","6.84","0","10","7","7"
"2017","weiblich","6.45","6.5","14203","3","5","8","9","10","6.41","6.49","0","10","7","7"
"2018","maennlich","6.73","6.5","11753","4","5","8","9","10","6.69","6.77","0","10","7","7"
"2018","weiblich","6.35","6.5","13790","3","5","8","9","10","6.31","6.39","0","10","7","7"
"2019","maennlich","6.83","6.5","12320","4","5","8","9","10","6.79","6.87","0","10","7","7"
"2019","weiblich","6.47","6.5","13482","3","5","8","9","10","6.43","6.51","0","10","7","7"
"2020","maennlich","6.71","6.5","12298","4","5","8","9","10","6.67","6.75","0","10","7","7"
"2020","weiblich","6.39","6.5","13426","3","5","8","9","10","6.35","6.43","0","10","7","7"
