"plb0218","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","17-29","Städtischer Raum","568","0.41663300334718","0.390027378941872","0.443238627752488"
"Nein, nie","2005","17-29","Ländlicher Raum","269","0.355215282714207","0.319635042354107","0.390795523074306"
"Nein, nie","2005","30-45","Städtischer Raum","1228","0.355513481356982","0.339241046592031","0.371785916121934"
"Nein, nie","2005","30-45","Ländlicher Raum","466","0.291385158015305","0.268549037851694","0.314221278178916"
"Nein, nie","2005","46-65","Städtischer Raum","1166","0.395787779139962","0.378083994232766","0.413491564047157"
"Nein, nie","2005","46-65","Ländlicher Raum","522","0.369078026290799","0.344633360034091","0.393522692547507"
"Nein, nie","2005","66","Städtischer Raum","","","",""
"Nein, nie","2005","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2005","17-29","Städtischer Raum","207","0.166843835473719","0.146723093962481","0.186964576984957"
"Ja, jede Woche","2005","17-29","Ländlicher Raum","88","0.132056714825116","0.10688680804506","0.157226621605172"
"Ja, jede Woche","2005","30-45","Städtischer Raum","406","0.129423237761216","0.118012144654577","0.140834330867854"
"Ja, jede Woche","2005","30-45","Ländlicher Raum","232","0.179139132650472","0.159867722539228","0.198410542761717"
"Ja, jede Woche","2005","46-65","Städtischer Raum","390","0.13467864912617","0.122319793258534","0.147037504993805"
"Ja, jede Woche","2005","46-65","Ländlicher Raum","244","0.15827862179655","0.139788809614257","0.176768433978842"
"Ja, jede Woche","2005","66","Städtischer Raum","","","",""
"Ja, jede Woche","2005","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","17-29","Städtischer Raum","206","0.166741952565264","0.14662612551663","0.186857779613898"
"Ja, alle 2 Wochen","2005","17-29","Ländlicher Raum","125","0.191783246505635","0.162513096637152","0.221053396374119"
"Ja, alle 2 Wochen","2005","30-45","Städtischer Raum","453","0.141912013167564","0.130049052924538","0.153774973410589"
"Ja, alle 2 Wochen","2005","30-45","Ländlicher Raum","264","0.173378562409825","0.154353130935305","0.192403993884344"
"Ja, alle 2 Wochen","2005","46-65","Städtischer Raum","342","0.128277170718551","0.116171075709393","0.140383265727709"
"Ja, alle 2 Wochen","2005","46-65","Ländlicher Raum","191","0.126580644036345","0.109737147661021","0.14342414041167"
"Ja, alle 2 Wochen","2005","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2005","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2005","17-29","Städtischer Raum","106","0.0806386951080204","0.0659446777235499","0.0953327124924909"
"Ja, alle 3-4 Wochen","2005","17-29","Ländlicher Raum","61","0.0719159460467008","0.0527088396072623","0.0911230524861393"
"Ja, alle 3-4 Wochen","2005","30-45","Städtischer Raum","326","0.101171378172565","0.0909199384318135","0.111422817913317"
"Ja, alle 3-4 Wochen","2005","30-45","Ländlicher Raum","171","0.109950053470915","0.0942287556245684","0.125671351317262"
"Ja, alle 3-4 Wochen","2005","46-65","Städtischer Raum","234","0.073588037463859","0.0641355552386528","0.0830405196890652"
"Ja, alle 3-4 Wochen","2005","46-65","Ländlicher Raum","136","0.101540964236497","0.0862404166898844","0.116841511783109"
"Ja, alle 3-4 Wochen","2005","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2005","66","Ländlicher Raum","","","",""
"Seltener","2005","17-29","Städtischer Raum","232","0.169142513505817","0.148911606583679","0.189373420427954"
"Seltener","2005","17-29","Ländlicher Raum","152","0.249028809908341","0.216877984769173","0.28117963504751"
"Seltener","2005","30-45","Städtischer Raum","911","0.271979889541673","0.256852720219165","0.287107058864181"
"Seltener","2005","30-45","Ländlicher Raum","388","0.246147093453483","0.22449877605373","0.267795410853236"
"Seltener","2005","46-65","Städtischer Raum","799","0.267668363551459","0.251639873881825","0.283696853221092"
"Seltener","2005","46-65","Ländlicher Raum","404","0.244521743639809","0.2227493129097","0.266294174369919"
"Seltener","2005","66","Städtischer Raum","","","",""
"Seltener","2005","66","Ländlicher Raum","","","",""
"Nein, nie","2006","17-29","Städtischer Raum","","","",""
"Nein, nie","2006","17-29","Ländlicher Raum","","","",""
"Nein, nie","2006","30-45","Städtischer Raum","","","",""
"Nein, nie","2006","30-45","Ländlicher Raum","","","",""
"Nein, nie","2006","46-65","Städtischer Raum","","","",""
"Nein, nie","2006","46-65","Ländlicher Raum","","","",""
"Nein, nie","2006","66","Städtischer Raum","","","",""
"Nein, nie","2006","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2006","17-29","Städtischer Raum","","","",""
"Ja, jede Woche","2006","17-29","Ländlicher Raum","","","",""
"Ja, jede Woche","2006","30-45","Städtischer Raum","","","",""
"Ja, jede Woche","2006","30-45","Ländlicher Raum","","","",""
"Ja, jede Woche","2006","46-65","Städtischer Raum","","","",""
"Ja, jede Woche","2006","46-65","Ländlicher Raum","","","",""
"Ja, jede Woche","2006","66","Städtischer Raum","","","",""
"Ja, jede Woche","2006","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","17-29","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","17-29","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","30-45","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","30-45","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","46-65","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","46-65","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","17-29","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","17-29","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","30-45","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","30-45","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","46-65","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","46-65","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","66","Ländlicher Raum","","","",""
"Seltener","2006","17-29","Städtischer Raum","","","",""
"Seltener","2006","17-29","Ländlicher Raum","","","",""
"Seltener","2006","30-45","Städtischer Raum","","","",""
"Seltener","2006","30-45","Ländlicher Raum","","","",""
"Seltener","2006","46-65","Städtischer Raum","","","",""
"Seltener","2006","46-65","Ländlicher Raum","","","",""
"Seltener","2006","66","Städtischer Raum","","","",""
"Seltener","2006","66","Ländlicher Raum","","","",""
"Nein, nie","2007","17-29","Städtischer Raum","515","0.415554147191579","0.388288727996449","0.442819566386709"
"Nein, nie","2007","17-29","Ländlicher Raum","261","0.371077553322235","0.334900457921879","0.407254648722592"
"Nein, nie","2007","30-45","Städtischer Raum","1143","0.347696063795273","0.331038627782812","0.364353499807733"
"Nein, nie","2007","30-45","Ländlicher Raum","457","0.268796386529187","0.246880820210896","0.290711952847479"
"Nein, nie","2007","46-65","Städtischer Raum","1178","0.386323547843583","0.369012312488893","0.403634783198274"
"Nein, nie","2007","46-65","Ländlicher Raum","535","0.351982375518568","0.328653757025625","0.375310994011512"
"Nein, nie","2007","66","Städtischer Raum","","","",""
"Nein, nie","2007","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2007","17-29","Städtischer Raum","187","0.163603183000072","0.143137403615152","0.184068962384992"
"Ja, jede Woche","2007","17-29","Ländlicher Raum","108","0.152624814054351","0.125693766280981","0.179555861827722"
"Ja, jede Woche","2007","30-45","Städtischer Raum","408","0.131026424384016","0.119224142122729","0.142828706645303"
"Ja, jede Woche","2007","30-45","Ländlicher Raum","233","0.146374434083969","0.128900602664639","0.163848265503298"
"Ja, jede Woche","2007","46-65","Städtischer Raum","457","0.149153647809146","0.136488062885475","0.161819232732817"
"Ja, jede Woche","2007","46-65","Ländlicher Raum","249","0.156164429888747","0.1384325358611","0.173896323916395"
"Ja, jede Woche","2007","66","Städtischer Raum","","","",""
"Ja, jede Woche","2007","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2007","17-29","Städtischer Raum","215","0.168140747434049","0.147449453952849","0.18883204091525"
"Ja, alle 2 Wochen","2007","17-29","Ländlicher Raum","120","0.164243844059992","0.136498689541056","0.191988998578929"
"Ja, alle 2 Wochen","2007","30-45","Städtischer Raum","451","0.154536521661468","0.14189363457091","0.167179408752025"
"Ja, alle 2 Wochen","2007","30-45","Ländlicher Raum","302","0.200026394093809","0.180251994669262","0.219800793518356"
"Ja, alle 2 Wochen","2007","46-65","Städtischer Raum","361","0.125713528695509","0.113926600753624","0.137500456637393"
