"plb0218","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Schleswig-Holstein","Staedtischer Raum","61","0.414209604582158","0.335381031116588","0.493038178047729"
"Nein, nie","2005","Schleswig-Holstein","Laendlicher Raum","56","0.252986754829167","0.193622157806799","0.312351351851534"
"Nein, nie","2005","Hamburg","Staedtischer Raum","69","0.440779762241027","0.363119200450567","0.518440324031486"
"Nein, nie","2005","Hamburg","Laendlicher Raum","","","",""
"Nein, nie","2005","Niedersachsen","Staedtischer Raum","167","","",""
"Nein, nie","2005","Niedersachsen","Laendlicher Raum","164","","",""
"Nein, nie","2005","Bremen","Staedtischer Raum","20","","",""
"Nein, nie","2005","Bremen","Laendlicher Raum","","","",""
"Nein, nie","2005","Nordrhein-Westfalen","Staedtischer Raum","959","0.391879924115388","0.372163696945605","0.411596151285171"
"Nein, nie","2005","Nordrhein-Westfalen","Laendlicher Raum","13","","",""
"Nein, nie","2005","Hessen","Staedtischer Raum","238","","",""
"Nein, nie","2005","Hessen","Laendlicher Raum","51","0.35626569121942","0.27804760717298","0.43448377526586"
"Nein, nie","2005","Rheinland-Pfalz,Saarland","Staedtischer Raum","201","","",""
"Nein, nie","2005","Rheinland-Pfalz,Saarland","Laendlicher Raum","67","0.380529193550277","0.306892501949824","0.45416588515073"
"Nein, nie","2005","Baden-Wuerttemberg","Staedtischer Raum","558","0.390302113247704","0.363906061582961","0.416698164912446"
"Nein, nie","2005","Baden-Wuerttemberg","Laendlicher Raum","42","0.330152987098435","0.246705434551395","0.413600539645474"
"Nein, nie","2005","Bayern","Staedtischer Raum","353","0.402451706109981","0.369229478156046","0.435673934063917"
"Nein, nie","2005","Bayern","Laendlicher Raum","358","0.406935716352538","0.374624344470688","0.439247088234387"
"Nein, nie","2005","Saarland","Staedtischer Raum","","","",""
"Nein, nie","2005","Saarland","Laendlicher Raum","","","",""
"Nein, nie","2005","Berlin","Staedtischer Raum","148","","",""
"Nein, nie","2005","Berlin","Laendlicher Raum","","","",""
"Nein, nie","2005","Brandenburg","Staedtischer Raum","17","","",""
"Nein, nie","2005","Brandenburg","Laendlicher Raum","134","","",""
"Nein, nie","2005","Mecklenburg-Vorpommern","Staedtischer Raum","14","","",""
"Nein, nie","2005","Mecklenburg-Vorpommern","Laendlicher Raum","78","0.382369627214133","0.317561834260659","0.447177420167607"
"Nein, nie","2005","Sachsen","Staedtischer Raum","129","","",""
"Nein, nie","2005","Sachsen","Laendlicher Raum","127","","",""
"Nein, nie","2005","Sachsen-Anhalt","Staedtischer Raum","30","0.367336074668623","0.268827847427894","0.465844301909352"
"Nein, nie","2005","Sachsen-Anhalt","Laendlicher Raum","92","0.246747945668395","0.201710505884645","0.291785385452146"
"Nein, nie","2005","Thueringen","Staedtischer Raum","39","0.296367910801627","0.219336187316878","0.373399634286377"
"Nein, nie","2005","Thueringen","Laendlicher Raum","91","0.319758933381587","0.266628298893476","0.372889567869698"
"Ja, jede Woche","2005","Schleswig-Holstein","Staedtischer Raum","19","","",""
"Ja, jede Woche","2005","Schleswig-Holstein","Laendlicher Raum","40","0.213698657660582","0.157721623241356","0.269675692079808"
"Ja, jede Woche","2005","Hamburg","Staedtischer Raum","14","","",""
"Ja, jede Woche","2005","Hamburg","Laendlicher Raum","","","",""
"Ja, jede Woche","2005","Niedersachsen","Staedtischer Raum","63","0.134849798396801","0.10413326549104","0.165566331302563"
"Ja, jede Woche","2005","Niedersachsen","Laendlicher Raum","94","0.197190805085805","0.162454603868709","0.231927006302901"
"Ja, jede Woche","2005","Bremen","Staedtischer Raum","17","","",""
"Ja, jede Woche","2005","Bremen","Laendlicher Raum","","","",""
"Ja, jede Woche","2005","Nordrhein-Westfalen","Staedtischer Raum","302","0.132775308804455","0.119070369624398","0.146480247984513"
"Ja, jede Woche","2005","Nordrhein-Westfalen","Laendlicher Raum","10","","",""
"Ja, jede Woche","2005","Hessen","Staedtischer Raum","107","","",""
"Ja, jede Woche","2005","Hessen","Laendlicher Raum","23","","",""
"Ja, jede Woche","2005","Rheinland-Pfalz,Saarland","Staedtischer Raum","80","0.195952106209336","0.161367028178963","0.23053718423971"
"Ja, jede Woche","2005","Rheinland-Pfalz,Saarland","Laendlicher Raum","31","0.204195274375631","0.143056608746376","0.265333940004887"
"Ja, jede Woche","2005","Baden-Wuerttemberg","Staedtischer Raum","158","","",""
"Ja, jede Woche","2005","Baden-Wuerttemberg","Laendlicher Raum","14","","",""
"Ja, jede Woche","2005","Bayern","Staedtischer Raum","116","","",""
"Ja, jede Woche","2005","Bayern","Laendlicher Raum","130","","",""
"Ja, jede Woche","2005","Saarland","Staedtischer Raum","","","",""
"Ja, jede Woche","2005","Saarland","Laendlicher Raum","","","",""
"Ja, jede Woche","2005","Berlin","Staedtischer Raum","51","0.128168968532432","0.0956932706524577","0.160644666412406"
"Ja, jede Woche","2005","Berlin","Laendlicher Raum","","","",""
"Ja, jede Woche","2005","Brandenburg","Staedtischer Raum","7","0.101344583576288","0.0150673857280808","0.187621781424496"
"Ja, jede Woche","2005","Brandenburg","Laendlicher Raum","64","0.185401340155164","0.147173380604483","0.223629299705846"
"Ja, jede Woche","2005","Mecklenburg-Vorpommern","Staedtischer Raum","6","0.210063202348756","0.0868677690733937","0.333258635624117"
"Ja, jede Woche","2005","Mecklenburg-Vorpommern","Laendlicher Raum","21","","",""
"Ja, jede Woche","2005","Sachsen","Staedtischer Raum","46","0.125676644341348","0.0928200125910143","0.158533276091681"
"Ja, jede Woche","2005","Sachsen","Laendlicher Raum","56","0.14870747353144","0.11430948969701","0.183105457365869"
"Ja, jede Woche","2005","Sachsen-Anhalt","Staedtischer Raum","9","0.0519290340035689","0.00658922120394721","0.0972688468031905"
"Ja, jede Woche","2005","Sachsen-Anhalt","Laendlicher Raum","48","0.16068956041469","0.122324851877972","0.199054268951408"
"Ja, jede Woche","2005","Thueringen","Staedtischer Raum","29","","",""
"Ja, jede Woche","2005","Thueringen","Laendlicher Raum","47","0.155484191148014","0.114203282634045","0.196765099661983"
"Ja, alle 2 Wochen","2005","Schleswig-Holstein","Staedtischer Raum","13","","",""
"Ja, alle 2 Wochen","2005","Schleswig-Holstein","Laendlicher Raum","23","","",""
"Ja, alle 2 Wochen","2005","Hamburg","Staedtischer Raum","11","","",""
"Ja, alle 2 Wochen","2005","Hamburg","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","Niedersachsen","Staedtischer Raum","69","0.138894779202689","0.107793922071513","0.169995636333866"
"Ja, alle 2 Wochen","2005","Niedersachsen","Laendlicher Raum","73","0.13844892753708","0.108296787986555","0.168601067087604"
"Ja, alle 2 Wochen","2005","Bremen","Staedtischer Raum","14","","",""
"Ja, alle 2 Wochen","2005","Bremen","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","Nordrhein-Westfalen","Staedtischer Raum","328","0.148132079980761","0.133785006334259","0.162479153627263"
"Ja, alle 2 Wochen","2005","Nordrhein-Westfalen","Laendlicher Raum","10","","",""
"Ja, alle 2 Wochen","2005","Hessen","Staedtischer Raum","78","0.103831765822684","0.0810215383989365","0.126641993246431"
"Ja, alle 2 Wochen","2005","Hessen","Laendlicher Raum","23","","",""
"Ja, alle 2 Wochen","2005","Rheinland-Pfalz,Saarland","Staedtischer Raum","64","0.136741800013444","0.106805795542677","0.166677804484212"
"Ja, alle 2 Wochen","2005","Rheinland-Pfalz,Saarland","Laendlicher Raum","21","","",""
"Ja, alle 2 Wochen","2005","Baden-Wuerttemberg","Staedtischer Raum","154","","",""
"Ja, alle 2 Wochen","2005","Baden-Wuerttemberg","Laendlicher Raum","14","","",""
"Ja, alle 2 Wochen","2005","Bayern","Staedtischer Raum","101","","",""
"Ja, alle 2 Wochen","2005","Bayern","Laendlicher Raum","107","","",""
"Ja, alle 2 Wochen","2005","Saarland","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2005","Saarland","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","Berlin","Staedtischer Raum","65","0.190075719328086","0.151957165366486","0.228194273289686"
"Ja, alle 2 Wochen","2005","Berlin","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","Brandenburg","Staedtischer Raum","7","0.164467728596781","0.0584884098020701","0.270447047391492"
"Ja, alle 2 Wochen","2005","Brandenburg","Laendlicher Raum","69","0.201948010765722","0.162457912021526","0.241438109509918"
"Ja, alle 2 Wochen","2005","Mecklenburg-Vorpommern","Staedtischer Raum","8","0.130747773937106","0.0287916061526879","0.232703941721524"
"Ja, alle 2 Wochen","2005","Mecklenburg-Vorpommern","Laendlicher Raum","38","0.182987602699649","0.131423629680838","0.234551575718459"
"Ja, alle 2 Wochen","2005","Sachsen","Staedtischer Raum","57","0.156371086904469","0.120370161243563","0.192372012565374"
"Ja, alle 2 Wochen","2005","Sachsen","Laendlicher Raum","69","0.202909121434637","0.164028617522607","0.241789625346667"
"Ja, alle 2 Wochen","2005","Sachsen-Anhalt","Staedtischer Raum","13","","",""
"Ja, alle 2 Wochen","2005","Sachsen-Anhalt","Laendlicher Raum","86","0.239724575795418","0.195126254208621","0.284322897382214"
"Ja, alle 2 Wochen","2005","Thueringen","Staedtischer Raum","26","","",""
"Ja, alle 2 Wochen","2005","Thueringen","Laendlicher Raum","49","0.219796708837831","0.172621186544418","0.266972231131245"
"Ja, alle 3-4 Wochen","2005","Schleswig-Holstein","Staedtischer Raum","19","","",""
"Ja, alle 3-4 Wochen","2005","Schleswig-Holstein","Laendlicher Raum","25","","",""
"Ja, alle 3-4 Wochen","2005","Hamburg","Staedtischer Raum","11","","",""
"Ja, alle 3-4 Wochen","2005","Hamburg","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2005","Niedersachsen","Staedtischer Raum","46","0.095884495368541","0.0694063575596985","0.122362633177383"
"Ja, alle 3-4 Wochen","2005","Niedersachsen","Laendlicher Raum","51","0.0971996711864115","0.0713377326651921","0.123061609707631"
"Ja, alle 3-4 Wochen","2005","Bremen","Staedtischer Raum","6","0.0885316342538923","0.024666866736438","0.152396401771347"
"Ja, alle 3-4 Wochen","2005","Bremen","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2005","Nordrhein-Westfalen","Staedtischer Raum","191","","",""
"Ja, alle 3-4 Wochen","2005","Nordrhein-Westfalen","Laendlicher Raum","7","0.109021791565217","0.0226338179001381","0.195409765230296"
"Ja, alle 3-4 Wochen","2005","Hessen","Staedtischer Raum","64","0.0828480826663982","0.0622355388096169","0.10346062652318"
"Ja, alle 3-4 Wochen","2005","Hessen","Laendlicher Raum","14","","",""
"Ja, alle 3-4 Wochen","2005","Rheinland-Pfalz,Saarland","Staedtischer Raum","42","0.065585397015691","0.0440155921107633","0.0871552019206186"
"Ja, alle 3-4 Wochen","2005","Rheinland-Pfalz,Saarland","Laendlicher Raum","16","","",""
"Ja, alle 3-4 Wochen","2005","Baden-Wuerttemberg","Staedtischer Raum","118","","",""
"Ja, alle 3-4 Wochen","2005","Baden-Wuerttemberg","Laendlicher Raum","15","","",""
"Ja, alle 3-4 Wochen","2005","Bayern","Staedtischer Raum","70","0.0815559634913758","0.0630146894558139","0.100097237526938"
"Ja, alle 3-4 Wochen","2005","Bayern","Laendlicher Raum","64","0.0819221667820056","0.0638844287930322","0.0999599047709791"
"Ja, alle 3-4 Wochen","2005","Saarland","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2005","Saarland","Laendlicher Raum","","","",""
