"plb0218","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, jede Woche","2019","Staedtischer Raum","maennlich","885","0.125663611597095","0.116840690818067","0.134486532376123"
"Ja, jede Woche","2019","Staedtischer Raum","weiblich","653","0.11695263402919","0.108379716331997","0.125525551726383"
"Ja, jede Woche","2019","Laendlicher Raum","maennlich","456","0.139380660451102","0.126713983839792","0.152047337062413"
"Ja, jede Woche","2019","Laendlicher Raum","weiblich","378","0.13323599341354","0.120728905741386","0.145743081085695"
"Ja, alle 2 Wochen","2019","Staedtischer Raum","maennlich","728","0.129676450004941","0.120734355438018","0.138618544571865"
"Ja, alle 2 Wochen","2019","Staedtischer Raum","weiblich","785","0.152381629677919","0.142794289480907","0.161968969874931"
"Ja, alle 2 Wochen","2019","Laendlicher Raum","maennlich","429","0.142124122630116","0.129353796172397","0.154894449087836"
"Ja, alle 2 Wochen","2019","Laendlicher Raum","weiblich","488","0.175411023891722","0.161413791220944","0.1894082565625"
"Ja, alle 3-4 Wochen","2019","Staedtischer Raum","maennlich","520","0.0928666166198213","0.0851409898918884","0.100592243347754"
"Ja, alle 3-4 Wochen","2019","Staedtischer Raum","weiblich","414","0.0682096749245312","0.0614843427576296","0.0749350070914328"
"Ja, alle 3-4 Wochen","2019","Laendlicher Raum","maennlich","305","0.106741284795359","0.0954482486738874","0.118034320916831"
"Ja, alle 3-4 Wochen","2019","Laendlicher Raum","weiblich","236","0.0853298210208892","0.075047819704926","0.0956118223368525"
"Seltener","2019","Staedtischer Raum","maennlich","1392","0.267729446648067","0.255943833281294","0.27951506001484"
"Seltener","2019","Staedtischer Raum","weiblich","895","0.162092174142626","0.152260877554734","0.171923470730518"
"Seltener","2019","Laendlicher Raum","maennlich","694","0.248410457182254","0.232607761575123","0.264213152789385"
"Seltener","2019","Laendlicher Raum","weiblich","420","0.160719983899426","0.147202889118171","0.174237078680681"
