"plb0218","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Nein, nie","2005","17-34","maennlich","547","0.326521370251061","0.303678936099864","0.349363804402258"
"Nein, nie","2005","17-34","weiblich","671","0.424879153663722","0.400044790293778","0.449713517033666"
"Nein, nie","2005","35-65","maennlich","1247","0.287303408760689","0.273867190770561","0.300739626750818"
"Nein, nie","2005","35-65","weiblich","1754","0.460897398668367","0.445025691924446","0.476769105412287"
"Nein, nie","2005","66 +","maennlich","33","0.358950220499488","0.260392560289284","0.457507880709691"
"Nein, nie","2005","66 +","weiblich","","","",""
"Ja, jede Woche","2005","17-34","maennlich","252","0.162266863946664","0.144307438649915","0.180226289243413"
"Ja, jede Woche","2005","17-34","weiblich","213","0.146539206957228","0.128772396436115","0.164306017478342"
"Ja, jede Woche","2005","35-65","maennlich","641","0.146013663596773","0.135528468371626","0.15649885882192"
"Ja, jede Woche","2005","35-65","weiblich","461","0.135485816934759","0.124588520453202","0.146383113416316"
"Ja, jede Woche","2005","66 +","maennlich","","","",""
"Ja, jede Woche","2005","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2005","17-34","maennlich","216","0.134557945030792","0.11793536864732","0.151180521414263"
"Ja, alle 2 Wochen","2005","17-34","weiblich","304","0.21887199779831","0.198099105507849","0.239644890088772"
"Ja, alle 2 Wochen","2005","35-65","maennlich","554","0.132547752777802","0.122479287334922","0.142616218220682"
"Ja, alle 2 Wochen","2005","35-65","weiblich","507","0.140652288077011","0.129582389251635","0.151722186902387"
"Ja, alle 2 Wochen","2005","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2005","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2005","17-34","maennlich","168","0.0965630985019184","0.0821758025958355","0.110950394408001"
"Ja, alle 3-4 Wochen","2005","17-34","weiblich","100","0.0692485488910735","0.0564940628045327","0.0820030349776143"
"Ja, alle 3-4 Wochen","2005","35-65","maennlich","473","0.10820404380325","0.0989802665578164","0.117427821048684"
"Ja, alle 3-4 Wochen","2005","35-65","weiblich","293","0.0763915696188517","0.0679338662504317","0.0848492729872718"
"Ja, alle 3-4 Wochen","2005","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2005","66 +","weiblich","","","",""
"Seltener","2005","17-34","maennlich","436","0.280090722269565","0.258217492572004","0.301963951967126"
"Seltener","2005","17-34","weiblich","234","0.140461092689666","0.123004818450994","0.157917366928338"
"Seltener","2005","35-65","maennlich","1442","0.325931131061485","0.312013370264768","0.339848891858203"
"Seltener","2005","35-65","weiblich","774","0.186572926701011","0.174168708080093","0.198977145321929"
"Seltener","2005","66 +","maennlich","","","",""
"Seltener","2005","66 +","weiblich","","","",""
"Nein, nie","2006","17-34","maennlich","","","",""
"Nein, nie","2006","17-34","weiblich","","","",""
"Nein, nie","2006","35-65","maennlich","","","",""
"Nein, nie","2006","35-65","weiblich","","","",""
"Nein, nie","2006","66 +","maennlich","","","",""
"Nein, nie","2006","66 +","weiblich","","","",""
"Ja, jede Woche","2006","17-34","maennlich","","","",""
"Ja, jede Woche","2006","17-34","weiblich","","","",""
"Ja, jede Woche","2006","35-65","maennlich","","","",""
"Ja, jede Woche","2006","35-65","weiblich","","","",""
"Ja, jede Woche","2006","66 +","maennlich","","","",""
"Ja, jede Woche","2006","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2006","17-34","maennlich","","","",""
"Ja, alle 2 Wochen","2006","17-34","weiblich","","","",""
"Ja, alle 2 Wochen","2006","35-65","maennlich","","","",""
"Ja, alle 2 Wochen","2006","35-65","weiblich","","","",""
"Ja, alle 2 Wochen","2006","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2006","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","weiblich","","","",""
"Seltener","2006","17-34","maennlich","","","",""
"Seltener","2006","17-34","weiblich","","","",""
"Seltener","2006","35-65","maennlich","","","",""
