"plb0218","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja, alle 3-4 Wochen","2015","17-34","Westdeutschland","241","0.0853673895309925","0.0753550253491988","0.0953797537127862"
"Ja, alle 3-4 Wochen","2015","17-34","Ostdeutschland","57","0.0800807815863051","0.0595900652904317","0.100571497882179"
"Ja, alle 3-4 Wochen","2015","35-65","Westdeutschland","779","0.0861868478302992","0.0804049155304539","0.0919687801301445"
"Ja, alle 3-4 Wochen","2015","35-65","Ostdeutschland","205","0.0996058052567288","0.0872261484234334","0.111985462090024"
"Ja, alle 3-4 Wochen","2015","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2015","66 +","Ostdeutschland","","","",""
"Seltener","2015","17-34","Westdeutschland","527","0.191364618055736","0.177269312726326","0.205459923385146"
"Seltener","2015","17-34","Ostdeutschland","146","0.236037382702376","0.203978779816338","0.268095985588413"
"Seltener","2015","35-65","Westdeutschland","2191","0.251049004117255","0.242115337241831","0.259982670992679"
"Seltener","2015","35-65","Ostdeutschland","569","0.255483686626485","0.237454811368117","0.273512561884852"
"Seltener","2015","66 +","Westdeutschland","69","0.209867949330753","0.162255795301102","0.257480103360404"
"Seltener","2015","66 +","Ostdeutschland","","","",""
"Nein, nie","2016","17-34","Westdeutschland","","","",""
"Nein, nie","2016","17-34","Ostdeutschland","","","",""
"Nein, nie","2016","35-65","Westdeutschland","","","",""
"Nein, nie","2016","35-65","Ostdeutschland","","","",""
"Nein, nie","2016","66 +","Westdeutschland","","","",""
"Nein, nie","2016","66 +","Ostdeutschland","","","",""
"Ja, jede Woche","2016","17-34","Westdeutschland","","","",""
"Ja, jede Woche","2016","17-34","Ostdeutschland","","","",""
"Ja, jede Woche","2016","35-65","Westdeutschland","","","",""
"Ja, jede Woche","2016","35-65","Ostdeutschland","","","",""
"Ja, jede Woche","2016","66 +","Westdeutschland","","","",""
"Ja, jede Woche","2016","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2016","17-34","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2016","17-34","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2016","35-65","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2016","35-65","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2016","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2016","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","17-34","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","17-34","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","35-65","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","35-65","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","66 +","Ostdeutschland","","","",""
"Seltener","2016","17-34","Westdeutschland","","","",""
"Seltener","2016","17-34","Ostdeutschland","","","",""
"Seltener","2016","35-65","Westdeutschland","","","",""
"Seltener","2016","35-65","Ostdeutschland","","","",""
"Seltener","2016","66 +","Westdeutschland","","","",""
"Seltener","2016","66 +","Ostdeutschland","","","",""
"Nein, nie","2017","17-34","Westdeutschland","1483","0.462711924786306","0.445769302165007","0.479654547407605"
"Nein, nie","2017","17-34","Ostdeutschland","277","0.395974725467189","0.360001431594209","0.431948019340169"
"Nein, nie","2017","35-65","Westdeutschland","4134","0.401703342524298","0.391985306478935","0.411421378569661"
"Nein, nie","2017","35-65","Ostdeutschland","1048","0.409713527190436","0.390599751816111","0.428827302564761"
"Nein, nie","2017","66 +","Westdeutschland","164","0.495499773987378","0.442817749658998","0.548181798315757"
"Nein, nie","2017","66 +","Ostdeutschland","32","0.626533166432901","0.497515475825616","0.755550857040187"
"Ja, jede Woche","2017","17-34","Westdeutschland","501","0.144176613555443","0.132240548537322","0.156112678573563"
"Ja, jede Woche","2017","17-34","Ostdeutschland","86","0.117996658278861","0.0942671419632304","0.141726174594491"
"Ja, jede Woche","2017","35-65","Westdeutschland","1294","0.128755223171863","0.122115957975486","0.135394488368241"
"Ja, jede Woche","2017","35-65","Ostdeutschland","304","0.126964576524402","0.114024640535884","0.139904512512921"
"Ja, jede Woche","2017","66 +","Westdeutschland","60","0.163379409461498","0.12442353324999","0.202335285673006"
"Ja, jede Woche","2017","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2017","17-34","Westdeutschland","541","0.144799054828013","0.132841602993143","0.156756506662883"
"Ja, alle 2 Wochen","2017","17-34","Ostdeutschland","127","0.175966855988243","0.147957269712919","0.203976442263566"
"Ja, alle 2 Wochen","2017","35-65","Westdeutschland","1376","0.148475749721583","0.141427297368024","0.155524202075142"
"Ja, alle 2 Wochen","2017","35-65","Ostdeutschland","426","0.163746515186778","0.149364163164997","0.17812886720856"
"Ja, alle 2 Wochen","2017","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2017","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2017","17-34","Westdeutschland","270","0.0822679182467747","0.072931186066927","0.0916046504266223"
"Ja, alle 3-4 Wochen","2017","17-34","Ostdeutschland","99","0.1208479572533","0.0968722974152161","0.144823617091385"
"Ja, alle 3-4 Wochen","2017","35-65","Westdeutschland","965","0.0939866600409736","0.0882021324228543","0.0997711876590929"
"Ja, alle 3-4 Wochen","2017","35-65","Ostdeutschland","256","0.0873981247854157","0.0764215549050917","0.0983746946657396"
"Ja, alle 3-4 Wochen","2017","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2017","66 +","Ostdeutschland","","","",""
"Seltener","2017","17-34","Westdeutschland","532","0.166044488583464","0.153399880745043","0.178689096421884"
"Seltener","2017","17-34","Ostdeutschland","121","0.189213803012408","0.160403455467963","0.218024150556852"
"Seltener","2017","35-65","Westdeutschland","2007","0.227079024541282","0.218774332139673","0.235383716942891"
"Seltener","2017","35-65","Ostdeutschland","509","0.212177256312968","0.19628671899021","0.228067793635725"
"Seltener","2017","66 +","Westdeutschland","79","0.226276419163359","0.182188194928897","0.27036464339782"
"Seltener","2017","66 +","Ostdeutschland","","","",""
"Nein, nie","2018","17-34","Westdeutschland","","","",""
"Nein, nie","2018","17-34","Ostdeutschland","","","",""
"Nein, nie","2018","35-65","Westdeutschland","","","",""
"Nein, nie","2018","35-65","Ostdeutschland","","","",""
"Nein, nie","2018","66 +","Westdeutschland","","","",""
"Nein, nie","2018","66 +","Ostdeutschland","","","",""
"Ja, jede Woche","2018","17-34","Westdeutschland","","","",""
"Ja, jede Woche","2018","17-34","Ostdeutschland","","","",""
"Ja, jede Woche","2018","35-65","Westdeutschland","","","",""
"Ja, jede Woche","2018","35-65","Ostdeutschland","","","",""
"Ja, jede Woche","2018","66 +","Westdeutschland","","","",""
"Ja, jede Woche","2018","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2018","17-34","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2018","17-34","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2018","35-65","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2018","35-65","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2018","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2018","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","17-34","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","17-34","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","35-65","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","35-65","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","66 +","Ostdeutschland","","","",""
"Seltener","2018","17-34","Westdeutschland","","","",""
"Seltener","2018","17-34","Ostdeutschland","","","",""
"Seltener","2018","35-65","Westdeutschland","","","",""
"Seltener","2018","35-65","Ostdeutschland","","","",""
"Seltener","2018","66 +","Westdeutschland","","","",""
"Seltener","2018","66 +","Ostdeutschland","","","",""
"Nein, nie","2019","17-34","Westdeutschland","1381","0.459905083909087","0.442194306044148","0.477615861774026"
"Nein, nie","2019","17-34","Ostdeutschland","252","0.389893491129108","0.351988591158195","0.427798391100021"
"Nein, nie","2019","35-65","Westdeutschland","3976","0.417193853088538","0.407453082820738","0.426934623356337"
"Nein, nie","2019","35-65","Ostdeutschland","1072","0.402541785022812","0.383936640125248","0.421146929920377"
"Nein, nie","2019","66 +","Westdeutschland","220","0.483355121019477","0.440608906008229","0.526101336030726"
"Nein, nie","2019","66 +","Ostdeutschland","52","0.482362342793623","0.395112943038613","0.569611742548634"
"Ja, jede Woche","2019","17-34","Westdeutschland","436","0.127983482780555","0.116111922450035","0.139855043111075"
"Ja, jede Woche","2019","17-34","Ostdeutschland","91","0.151128292865147","0.123291868357063","0.178964717373232"
"Ja, jede Woche","2019","35-65","Westdeutschland","1460","0.127099202243833","0.120519349927903","0.133679054559764"
"Ja, jede Woche","2019","35-65","Ostdeutschland","326","0.113190741281654","0.101171020875825","0.125210461687484"
"Ja, jede Woche","2019","66 +","Westdeutschland","97","0.12366281259335","0.0955033981328902","0.15182222705381"
"Ja, jede Woche","2019","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2019","17-34","Westdeutschland","474","0.155147838072819","0.142282188737321","0.168013487408318"
"Ja, alle 2 Wochen","2019","17-34","Ostdeutschland","115","0.184162372374141","0.154037733493098","0.214287011255184"
"Ja, alle 2 Wochen","2019","35-65","Westdeutschland","1379","0.138212346678921","0.131394678769644","0.145030014588197"
"Ja, alle 2 Wochen","2019","35-65","Ostdeutschland","458","0.170910621067299","0.156629608342541","0.185191633792057"
"Ja, alle 2 Wochen","2019","66 +","Westdeutschland","46","0.0876038584459384","0.0634202124633134","0.111787504428563"
"Ja, alle 2 Wochen","2019","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2019","17-34","Westdeutschland","273","0.0867348380323953","0.0767333707725413","0.0967363052922493"
"Ja, alle 3-4 Wochen","2019","17-34","Ostdeutschland","66","0.0923902418271802","0.0698850787952117","0.114895404859149"
"Ja, alle 3-4 Wochen","2019","35-65","Westdeutschland","893","0.0866787472869279","0.0811205957470985","0.0922368988267573"
"Ja, alle 3-4 Wochen","2019","35-65","Ostdeutschland","225","0.0907716276832435","0.0798726602380526","0.101670595128434"
"Ja, alle 3-4 Wochen","2019","66 +","Westdeutschland","37","0.0550461846051181","0.0355370797962918","0.0745552894139445"
"Ja, alle 3-4 Wochen","2019","66 +","Ostdeutschland","","","",""
"Seltener","2019","17-34","Westdeutschland","478","0.170228757205143","0.156873134550036","0.18358437986025"
"Seltener","2019","17-34","Ostdeutschland","112","0.182425601804424","0.152411450420206","0.212439753188641"
"Seltener","2019","35-65","Westdeutschland","2136","0.230815850701781","0.222492268625332","0.239139432778229"
"Seltener","2019","35-65","Ostdeutschland","588","0.222585224944991","0.206803721819455","0.238366728070527"
"Seltener","2019","66 +","Westdeutschland","125","0.250332023336116","0.213275802667252","0.28738824400498"
"Seltener","2019","66 +","Ostdeutschland","32","0.185385706397894","0.117531472013963","0.253239940781824"
