"plb0218","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Städtischer Raum","3003","0.382305994262503","0.371429949926861","0.393182038598146"
"Nein, nie","2005","Ländlicher Raum","1273","0.333524807495961","0.318440864784793","0.348608750207128"
"Ja, jede Woche","2005","Städtischer Raum","1024","0.139877142929971","0.132114093650272","0.14764019220967"
"Ja, jede Woche","2005","Ländlicher Raum","578","0.165285141562511","0.153401630139035","0.177168652985987"
"Ja, alle 2 Wochen","2005","Städtischer Raum","1008","0.140763833693428","0.132980233151163","0.148547434235693"
"Ja, alle 2 Wochen","2005","Ländlicher Raum","582","0.15792727498411","0.146260194870762","0.169594355097459"
"Ja, alle 3-4 Wochen","2005","Städtischer Raum","673","0.0868692677280428","0.0805658181640878","0.0931727172919979"
"Ja, alle 3-4 Wochen","2005","Ländlicher Raum","371","0.0988814219168238","0.0893313392252374","0.10843150460841"
"Seltener","2005","Städtischer Raum","1961","0.250183761386055","0.240490147840387","0.259877374931723"
"Seltener","2005","Ländlicher Raum","949","0.244381354040594","0.230633206781504","0.258129501299685"
"Nein, nie","2006","Städtischer Raum","","","",""
"Nein, nie","2006","Ländlicher Raum","","","",""
"Ja, jede Woche","2006","Städtischer Raum","","","",""
"Ja, jede Woche","2006","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","Ländlicher Raum","","","",""
"Seltener","2006","Städtischer Raum","","","",""
"Seltener","2006","Ländlicher Raum","","","",""
"Nein, nie","2007","Städtischer Raum","2872","0.374453900065075","0.363534726847163","0.385373073282987"
"Nein, nie","2007","Ländlicher Raum","1280","0.324204704658657","0.309568640148607","0.338840769168707"
"Ja, jede Woche","2007","Städtischer Raum","1078","0.145142993290381","0.137195947937043","0.15309003864372"
"Ja, jede Woche","2007","Ländlicher Raum","611","0.154958088316199","0.143643120416263","0.166273056216135"
"Ja, alle 2 Wochen","2007","Städtischer Raum","1038","0.145436633742337","0.137482919960279","0.153390347524394"
"Ja, alle 2 Wochen","2007","Ländlicher Raum","652","0.170513755367184","0.158754187021469","0.1822733237129"
"Ja, alle 3-4 Wochen","2007","Städtischer Raum","708","0.0959333068416131","0.0892890584748916","0.102577555208335"
"Ja, alle 3-4 Wochen","2007","Ländlicher Raum","403","0.104120469666618","0.0945705450671366","0.113670394266099"
"Seltener","2007","Städtischer Raum","1851","0.239033166060594","0.229410999675657","0.24865533244553"
"Seltener","2007","Ländlicher Raum","983","0.246202981991342","0.232732568146842","0.259673395835841"
"Nein, nie","2008","Städtischer Raum","","","",""
"Nein, nie","2008","Ländlicher Raum","","","",""
"Ja, jede Woche","2008","Städtischer Raum","","","",""
"Ja, jede Woche","2008","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","Ländlicher Raum","","","",""
"Seltener","2008","Städtischer Raum","","","",""
"Seltener","2008","Ländlicher Raum","","","",""
"Nein, nie","2009","Städtischer Raum","2488","0.370585691817315","0.358975273138131","0.382196110496499"
"Nein, nie","2009","Ländlicher Raum","1189","0.335533024016632","0.319976514969862","0.351089533063402"
"Ja, jede Woche","2009","Städtischer Raum","992","0.152910880350447","0.144258830805101","0.161562929895793"
"Ja, jede Woche","2009","Ländlicher Raum","568","0.16405603671096","0.151855118932307","0.176256954489612"
"Ja, alle 2 Wochen","2009","Städtischer Raum","908","0.14631764252654","0.137821305089849","0.15481397996323"
"Ja, alle 2 Wochen","2009","Ländlicher Raum","548","0.155957513158184","0.144004067414526","0.167910958901841"
"Ja, alle 3-4 Wochen","2009","Städtischer Raum","563","0.0848293975457685","0.0781311765300533","0.0915276185614837"
"Ja, alle 3-4 Wochen","2009","Ländlicher Raum","348","0.0913483541798213","0.0818563727033837","0.100840335656259"
"Seltener","2009","Städtischer Raum","1696","0.24535638775993","0.2350119977464","0.25570077777346"
