"plb0218","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Westdeutschland","maennlich","1518","0.312158420615807","0.298958670669995","0.325358170561619"
"Nein, nie","2005","Westdeutschland","weiblich","1946","0.462028821459578","0.446807203335672","0.477250439583484"
"Nein, nie","2005","Ostdeutschland","maennlich","309","0.236897876960557","0.214073184658604","0.259722569262509"
"Nein, nie","2005","Ostdeutschland","weiblich","503","0.394051683292723","0.366787976884148","0.421315389701298"
"Ja, jede Woche","2005","Westdeutschland","maennlich","724","0.155534952687638","0.145211171186839","0.165858734188437"
"Ja, jede Woche","2005","Westdeutschland","weiblich","524","0.140099993899963","0.129502825934768","0.150697161865157"
"Ja, jede Woche","2005","Ostdeutschland","maennlich","192","0.139360320003153","0.120768869851559","0.157951770154748"
"Ja, jede Woche","2005","Ostdeutschland","weiblich","162","0.146954487167286","0.127199896353503","0.166709077981069"
"Ja, alle 2 Wochen","2005","Westdeutschland","maennlich","557","0.122868614780439","0.113516996509703","0.132220233051176"
"Ja, alle 2 Wochen","2005","Westdeutschland","weiblich","571","0.149513130944131","0.138625829236435","0.160400432651827"
"Ja, alle 2 Wochen","2005","Ostdeutschland","maennlich","219","0.180103988508527","0.159475183607881","0.200732793409173"
"Ja, alle 2 Wochen","2005","Ostdeutschland","weiblich","243","0.232447620495912","0.208880470021307","0.256014770970517"
"Ja, alle 3-4 Wochen","2005","Westdeutschland","maennlich","481","0.100219590447385","0.0916654073335821","0.108773773561187"
"Ja, alle 3-4 Wochen","2005","Westdeutschland","weiblich","293","0.0723119682610629","0.0644042196963774","0.0802197168257484"
"Ja, alle 3-4 Wochen","2005","Ostdeutschland","maennlich","168","0.124686306992421","0.106951590160385","0.142421023824457"
"Ja, alle 3-4 Wochen","2005","Ostdeutschland","weiblich","102","0.0803755457970024","0.0652065184479354","0.0955445731460693"
"Seltener","2005","Westdeutschland","maennlich","1454","0.309218421468731","0.296052931777297","0.322383911160164"
"Seltener","2005","Westdeutschland","weiblich","787","0.176046085435266","0.16441791387338","0.187674256997151"
"Seltener","2005","Ostdeutschland","maennlich","445","0.318951507535342","0.293931676995222","0.343971338075463"
"Seltener","2005","Ostdeutschland","weiblich","224","0.146170663247076","0.126459776787345","0.165881549706808"
"Nein, nie","2006","Westdeutschland","maennlich","","","",""
"Nein, nie","2006","Westdeutschland","weiblich","","","",""
"Nein, nie","2006","Ostdeutschland","maennlich","","","",""
"Nein, nie","2006","Ostdeutschland","weiblich","","","",""
"Ja, jede Woche","2006","Westdeutschland","maennlich","","","",""
"Ja, jede Woche","2006","Westdeutschland","weiblich","","","",""
"Ja, jede Woche","2006","Ostdeutschland","maennlich","","","",""
"Ja, jede Woche","2006","Ostdeutschland","weiblich","","","",""
"Ja, alle 2 Wochen","2006","Westdeutschland","maennlich","","","",""
"Ja, alle 2 Wochen","2006","Westdeutschland","weiblich","","","",""
"Ja, alle 2 Wochen","2006","Ostdeutschland","maennlich","","","",""
"Ja, alle 2 Wochen","2006","Ostdeutschland","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","Westdeutschland","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","Westdeutschland","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","Ostdeutschland","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","Ostdeutschland","weiblich","","","",""
"Seltener","2006","Westdeutschland","maennlich","","","",""
"Seltener","2006","Westdeutschland","weiblich","","","",""
"Seltener","2006","Ostdeutschland","maennlich","","","",""
"Seltener","2006","Ostdeutschland","weiblich","","","",""
"Nein, nie","2007","Westdeutschland","maennlich","1469","0.312708647844724","0.299450642294908","0.325966653394539"
"Nein, nie","2007","Westdeutschland","weiblich","1878","0.441359195477786","0.426253729007295","0.456464661948277"
"Nein, nie","2007","Ostdeutschland","maennlich","315","0.245628704518285","0.222623871510135","0.268633537526436"
"Nein, nie","2007","Ostdeutschland","weiblich","490","0.368826859489698","0.342425864919919","0.395227854059478"
"Ja, jede Woche","2007","Westdeutschland","maennlich","749","0.15321757477367","0.142916607185069","0.163518542362271"
"Ja, jede Woche","2007","Westdeutschland","weiblich","560","0.142481351800059","0.131847942661745","0.153114760938372"
"Ja, jede Woche","2007","Ostdeutschland","maennlich","195","0.143084970958375","0.124371565019219","0.161798376897532"
"Ja, jede Woche","2007","Ostdeutschland","weiblich","185","0.153405479581916","0.133686114580435","0.173124844583396"
"Ja, alle 2 Wochen","2007","Westdeutschland","maennlich","619","0.142899972317909","0.132891457469412","0.152908487166406"
"Ja, alle 2 Wochen","2007","Westdeutschland","weiblich","577","0.145667947744995","0.134936283535096","0.156399611954893"
"Ja, alle 2 Wochen","2007","Ostdeutschland","maennlich","242","0.192757754305878","0.171676579046733","0.213838929565022"
"Ja, alle 2 Wochen","2007","Ostdeutschland","weiblich","252","0.205707334220787","0.183589126766813","0.227825541674762"
"Ja, alle 3-4 Wochen","2007","Westdeutschland","maennlich","520","0.111413310522839","0.102415097877797","0.120411523167882"
"Ja, alle 3-4 Wochen","2007","Westdeutschland","weiblich","327","0.0812415912248027","0.0729304320817042","0.0895527503679013"
"Ja, alle 3-4 Wochen","2007","Ostdeutschland","maennlich","159","0.12242820994073","0.104910834997374","0.139945584884086"
"Ja, alle 3-4 Wochen","2007","Ostdeutschland","weiblich","105","0.0762893518240124","0.0617637310942026","0.0908149725538222"
"Seltener","2007","Westdeutschland","maennlich","1340","0.279760494540857","0.266923319179192","0.292597669902523"
"Seltener","2007","Westdeutschland","weiblich","809","0.189249913752358","0.177333843054081","0.201165984450635"
"Seltener","2007","Ostdeutschland","maennlich","434","0.296100360276731","0.271701935493847","0.320498785059615"
"Seltener","2007","Ostdeutschland","weiblich","251","0.195770974883586","0.174059027088752","0.217482922678421"
"Nein, nie","2008","Westdeutschland","maennlich","","","",""
"Nein, nie","2008","Westdeutschland","weiblich","","","",""
"Nein, nie","2008","Ostdeutschland","maennlich","","","",""
"Nein, nie","2008","Ostdeutschland","weiblich","","","",""
"Ja, jede Woche","2008","Westdeutschland","maennlich","","","",""
"Ja, jede Woche","2008","Westdeutschland","weiblich","","","",""
"Ja, jede Woche","2008","Ostdeutschland","maennlich","","","",""
"Ja, jede Woche","2008","Ostdeutschland","weiblich","","","",""
"Ja, alle 2 Wochen","2008","Westdeutschland","maennlich","","","",""
"Ja, alle 2 Wochen","2008","Westdeutschland","weiblich","","","",""
"Ja, alle 2 Wochen","2008","Ostdeutschland","maennlich","","","",""
"Ja, alle 2 Wochen","2008","Ostdeutschland","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","Westdeutschland","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","Westdeutschland","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","Ostdeutschland","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","Ostdeutschland","weiblich","","","",""
"Seltener","2008","Westdeutschland","maennlich","","","",""
"Seltener","2008","Westdeutschland","weiblich","","","",""
"Seltener","2008","Ostdeutschland","maennlich","","","",""
"Seltener","2008","Ostdeutschland","weiblich","","","",""
"Nein, nie","2009","Westdeutschland","maennlich","1276","0.312671323990262","0.298335474485028","0.327007173495496"
"Nein, nie","2009","Westdeutschland","weiblich","1653","0.441702450439068","0.42583603772052","0.457568863157616"
"Nein, nie","2009","Ostdeutschland","maennlich","293","0.240705629823148","0.216794663844133","0.264616595802163"
"Nein, nie","2009","Ostdeutschland","weiblich","455","0.367205262022498","0.339678107336507","0.394732416708489"
"Ja, jede Woche","2009","Westdeutschland","maennlich","662","0.163111690687826","0.15168623657643","0.174537144799223"
"Ja, jede Woche","2009","Westdeutschland","weiblich","555","0.153377841081347","0.141864347910998","0.164891334251697"
"Ja, jede Woche","2009","Ostdeutschland","maennlich","177","0.150420703085422","0.130426473477316","0.170414932693528"
