"plb0218","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Städtischer Raum","Westdeutschland","2713","0.388362952712729","0.376756719749763","0.399969185675695"
"Nein, nie","2005","Städtischer Raum","Ostdeutschland","290","0.316429403582682","0.285959808950895","0.346898998214468"
"Nein, nie","2005","Ländlicher Raum","Westdeutschland","751","0.350035964300783","0.329542610009986","0.37052931859158"
"Nein, nie","2005","Ländlicher Raum","Ostdeutschland","522","0.301976432036244","0.279969904358654","0.323982959713835"
"Ja, jede Woche","2005","Städtischer Raum","Westdeutschland","906","0.141083251848078","0.132793552857068","0.149372950839087"
"Ja, jede Woche","2005","Städtischer Raum","Ostdeutschland","118","0.126759281190232","0.104962445696142","0.148556116684322"
"Ja, jede Woche","2005","Ländlicher Raum","Westdeutschland","342","0.172442850681433","0.156212285422075","0.188673415940791"
"Ja, jede Woche","2005","Ländlicher Raum","Ostdeutschland","236","0.151608686460999","0.13441812333002","0.168799249591978"
"Ja, alle 2 Wochen","2005","Städtischer Raum","Westdeutschland","857","0.135923789263171","0.127762678808532","0.144084899717809"
"Ja, alle 2 Wochen","2005","Städtischer Raum","Ostdeutschland","151","0.193405044364487","0.167528980000141","0.219281108728834"
"Ja, alle 2 Wochen","2005","Ländlicher Raum","Westdeutschland","271","0.131155373599559","0.116651762198547","0.14565898500057"
"Ja, alle 2 Wochen","2005","Ländlicher Raum","Ostdeutschland","311","0.209081170900333","0.189589306850972","0.228573034949695"
"Ja, alle 3-4 Wochen","2005","Städtischer Raum","Westdeutschland","582","0.0854891986571966","0.0788307119415265","0.0921476853728667"
"Ja, alle 3-4 Wochen","2005","Städtischer Raum","Ostdeutschland","91","0.101879151985484","0.0820617543799112","0.121696549591056"
"Ja, alle 3-4 Wochen","2005","Ländlicher Raum","Westdeutschland","192","0.0948686720586371","0.0822785697272473","0.107458774390027"
"Ja, alle 3-4 Wochen","2005","Ländlicher Raum","Ostdeutschland","179","0.106548706568558","0.0917596834981182","0.121337729638998"
"Seltener","2005","Städtischer Raum","Westdeutschland","1716","0.249140807518826","0.238841045748249","0.259440569289402"
"Seltener","2005","Städtischer Raum","Ostdeutschland","245","0.261527118877115","0.232735756630374","0.290318481123857"
"Seltener","2005","Ländlicher Raum","Westdeutschland","525","0.251497139359588","0.232855877467053","0.270138401252124"
"Seltener","2005","Ländlicher Raum","Ostdeutschland","424","0.230785004033866","0.210589364127692","0.250980643940039"
"Nein, nie","2006","Städtischer Raum","Westdeutschland","","","",""
"Nein, nie","2006","Städtischer Raum","Ostdeutschland","","","",""
"Nein, nie","2006","Ländlicher Raum","Westdeutschland","","","",""
"Nein, nie","2006","Ländlicher Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Städtischer Raum","Westdeutschland","","","",""
"Ja, jede Woche","2006","Städtischer Raum","Ostdeutschland","","","",""
