"plb0218","year","bula_h","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Schleswig-Holstein","Westdeutschland","117","","",""
"Nein, nie","2005","Schleswig-Holstein","Ostdeutschland","","","",""
"Nein, nie","2005","Hamburg","Westdeutschland","69","0.440779762241027","0.363119200450567","0.518440324031486"
"Nein, nie","2005","Hamburg","Ostdeutschland","","","",""
"Nein, nie","2005","Niedersachsen","Westdeutschland","331","0.330012102693388","0.300557365131602","0.359466840255175"
"Nein, nie","2005","Niedersachsen","Ostdeutschland","","","",""
"Nein, nie","2005","Bremen","Westdeutschland","20","","",""
"Nein, nie","2005","Bremen","Ostdeutschland","","","",""
"Nein, nie","2005","Nordrhein-Westfalen","Westdeutschland","972","0.387082315554406","0.367615572707659","0.406549058401152"
"Nein, nie","2005","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Nein, nie","2005","Hessen","Westdeutschland","289","","",""
"Nein, nie","2005","Hessen","Ostdeutschland","","","",""
"Nein, nie","2005","Rheinland-Pfalz,Saarland","Westdeutschland","268","","",""
"Nein, nie","2005","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Nein, nie","2005","Baden-Wuerttemberg","Westdeutschland","600","0.384375659591789","0.359198348516543","0.409552970667034"
"Nein, nie","2005","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nein, nie","2005","Bayern","Westdeutschland","711","0.404755848649297","0.381592695628342","0.427919001670252"
"Nein, nie","2005","Bayern","Ostdeutschland","","","",""
"Nein, nie","2005","Saarland","Westdeutschland","","","",""
"Nein, nie","2005","Saarland","Ostdeutschland","","","",""
"Nein, nie","2005","Berlin","Westdeutschland","87","0.424074387142277","0.358621282435502","0.489527491849051"
"Nein, nie","2005","Berlin","Ostdeutschland","61","0.310752378246412","0.244597170887179","0.376907585605645"
"Nein, nie","2005","Brandenburg","Westdeutschland","","","",""
"Nein, nie","2005","Brandenburg","Ostdeutschland","151","","",""
"Nein, nie","2005","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nein, nie","2005","Mecklenburg-Vorpommern","Ostdeutschland","92","0.384660687696378","0.325295141104471","0.444026234288284"
"Nein, nie","2005","Sachsen","Westdeutschland","","","",""
"Nein, nie","2005","Sachsen","Ostdeutschland","256","","",""
"Nein, nie","2005","Sachsen-Anhalt","Westdeutschland","","","",""
"Nein, nie","2005","Sachsen-Anhalt","Ostdeutschland","122","","",""
"Nein, nie","2005","Thueringen","Westdeutschland","","","",""
"Nein, nie","2005","Thueringen","Ostdeutschland","130","","",""
"Ja, jede Woche","2005","Schleswig-Holstein","Westdeutschland","59","0.193565764088502","0.152524394651492","0.234607133525513"
"Ja, jede Woche","2005","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Hamburg","Westdeutschland","14","","",""
"Ja, jede Woche","2005","Hamburg","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Niedersachsen","Westdeutschland","157","","",""
"Ja, jede Woche","2005","Niedersachsen","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Bremen","Westdeutschland","17","","",""
"Ja, jede Woche","2005","Bremen","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Nordrhein-Westfalen","Westdeutschland","312","0.1349297673084","0.12127544593349","0.14858408868331"
"Ja, jede Woche","2005","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Hessen","Westdeutschland","130","","",""
"Ja, jede Woche","2005","Hessen","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Rheinland-Pfalz,Saarland","Westdeutschland","111","","",""
"Ja, jede Woche","2005","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Baden-Wuerttemberg","Westdeutschland","172","","",""
"Ja, jede Woche","2005","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Bayern","Westdeutschland","246","","",""
"Ja, jede Woche","2005","Bayern","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Saarland","Westdeutschland","","","",""
"Ja, jede Woche","2005","Saarland","Ostdeutschland","","","",""
"Ja, jede Woche","2005","Berlin","Westdeutschland","30","0.140305238993784","0.0943076447804548","0.186302833207112"
"Ja, jede Woche","2005","Berlin","Ostdeutschland","21","","",""
"Ja, jede Woche","2005","Brandenburg","Westdeutschland","","","",""
"Ja, jede Woche","2005","Brandenburg","Ostdeutschland","71","0.175939773031425","0.140522257222602","0.211357288840249"
"Ja, jede Woche","2005","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja, jede Woche","2005","Mecklenburg-Vorpommern","Ostdeutschland","27","","",""
"Ja, jede Woche","2005","Sachsen","Westdeutschland","","","",""
"Ja, jede Woche","2005","Sachsen","Ostdeutschland","102","","",""
"Ja, jede Woche","2005","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja, jede Woche","2005","Sachsen-Anhalt","Ostdeutschland","57","0.137038790828275","0.105051754611466","0.169025827045084"
"Ja, jede Woche","2005","Thueringen","Westdeutschland","","","",""
"Ja, jede Woche","2005","Thueringen","Ostdeutschland","76","0.170612413569012","0.135098908753878","0.206125918384146"
"Ja, alle 2 Wochen","2005","Schleswig-Holstein","Westdeutschland","36","0.0839514912991862","0.0551445905914484","0.112758392006924"
"Ja, alle 2 Wochen","2005","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Hamburg","Westdeutschland","11","","",""
"Ja, alle 2 Wochen","2005","Hamburg","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Niedersachsen","Westdeutschland","142","","",""
"Ja, alle 2 Wochen","2005","Niedersachsen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Bremen","Westdeutschland","14","","",""
"Ja, alle 2 Wochen","2005","Bremen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Nordrhein-Westfalen","Westdeutschland","338","0.151076761516365","0.136763994723463","0.165389528309267"
"Ja, alle 2 Wochen","2005","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Hessen","Westdeutschland","101","","",""
"Ja, alle 2 Wochen","2005","Hessen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Rheinland-Pfalz,Saarland","Westdeutschland","85","0.141202423349275","0.11489325989418","0.167511586804371"
"Ja, alle 2 Wochen","2005","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Baden-Wuerttemberg","Westdeutschland","168","","",""
"Ja, alle 2 Wochen","2005","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Bayern","Westdeutschland","208","","",""
"Ja, alle 2 Wochen","2005","Bayern","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Saarland","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Saarland","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Berlin","Westdeutschland","25","","",""
"Ja, alle 2 Wochen","2005","Berlin","Ostdeutschland","40","0.256349423450164","0.19393717935074","0.318761667549589"
"Ja, alle 2 Wochen","2005","Brandenburg","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Brandenburg","Ostdeutschland","76","0.197729168402641","0.160682216864549","0.234776119940734"
"Ja, alle 2 Wochen","2005","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Mecklenburg-Vorpommern","Ostdeutschland","46","0.174803935873489","0.128460053258973","0.221147818488006"
"Ja, alle 2 Wochen","2005","Sachsen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Sachsen","Ostdeutschland","126","","",""
"Ja, alle 2 Wochen","2005","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Sachsen-Anhalt","Ostdeutschland","99","0.217363521898218","0.178998983231614","0.255728060564821"
"Ja, alle 2 Wochen","2005","Thueringen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Thueringen","Ostdeutschland","75","0.221275267891414","0.182085934379851","0.260464601402976"
"Ja, alle 3-4 Wochen","2005","Schleswig-Holstein","Westdeutschland","44","0.122812557760943","0.088717558682011","0.156907556839875"
"Ja, alle 3-4 Wochen","2005","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Hamburg","Westdeutschland","11","","",""
"Ja, alle 3-4 Wochen","2005","Hamburg","Ostdeutschland","","","",""
