"plb0218","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Westdeutschland","3464","0.379130178267885","0.369024900370224","0.389235456165546"
"Nein, nie","2005","Ostdeutschland","812","0.307126522443935","0.289281348460704","0.324971696427166"
"Ja, jede Woche","2005","Westdeutschland","1248","","",""
"Ja, jede Woche","2005","Ostdeutschland","354","0.142753989465948","0.129221365315968","0.156286613615928"
"Ja, alle 2 Wochen","2005","Westdeutschland","1128","","",""
"Ja, alle 2 Wochen","2005","Ostdeutschland","462","0.203495228338791","0.187921002691259","0.219069453986322"
"Ja, alle 3-4 Wochen","2005","Westdeutschland","774","0.0877486655737239","0.0818557350313244","0.0936415961161234"
"Ja, alle 3-4 Wochen","2005","Ostdeutschland","270","","",""
"Seltener","2005","Westdeutschland","2241","","",""
"Seltener","2005","Ostdeutschland","669","0.241739475940051","0.225177270470394","0.258301681409708"
"Nein, nie","2006","Westdeutschland","","","",""
"Nein, nie","2006","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Westdeutschland","","","",""
"Ja, jede Woche","2006","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Ostdeutschland","","","",""
"Seltener","2006","Westdeutschland","","","",""
"Seltener","2006","Ostdeutschland","","","",""
"Nein, nie","2007","Westdeutschland","3347","0.370074414544218","0.360014027516182","0.380134801572255"
"Nein, nie","2007","Ostdeutschland","805","0.301392326412651","0.283848748021072","0.318935904804229"
"Ja, jede Woche","2007","Westdeutschland","1309","","",""
"Ja, jede Woche","2007","Ostdeutschland","380","0.14775637972074","0.134189173983553","0.161323585457928"
"Ja, alle 2 Wochen","2007","Westdeutschland","1196","","",""
"Ja, alle 2 Wochen","2007","Ostdeutschland","494","0.198619169018082","0.183365810932705","0.213872527103459"
"Ja, alle 3-4 Wochen","2007","Westdeutschland","847","0.0979596265547736","0.091765756603726","0.104153496505821"
"Ja, alle 3-4 Wochen","2007","Ostdeutschland","264","","",""
"Seltener","2007","Westdeutschland","2149","","",""
"Seltener","2007","Ostdeutschland","685","0.250687911419396","0.234117492952888","0.267258329885903"
"Nein, nie","2008","Westdeutschland","","","",""
"Nein, nie","2008","Ostdeutschland","","","",""
"Ja, jede Woche","2008","Westdeutschland","","","",""
"Ja, jede Woche","2008","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Ostdeutschland","","","",""
"Seltener","2008","Westdeutschland","","","",""
"Seltener","2008","Ostdeutschland","","","",""
"Nein, nie","2009","Westdeutschland","2929","","",""
"Nein, nie","2009","Ostdeutschland","748","0.29892194716984","0.280629897722618","0.317213996617061"
"Ja, jede Woche","2009","Westdeutschland","1217","","",""
"Ja, jede Woche","2009","Ostdeutschland","343","0.146314136542831","0.132192258103543","0.160436014982119"
"Ja, alle 2 Wochen","2009","Westdeutschland","1054","","",""
"Ja, alle 2 Wochen","2009","Ostdeutschland","402","0.179543038932861","0.164207025953283","0.19487905191244"
"Ja, alle 3-4 Wochen","2009","Westdeutschland","651","0.0829722333574265","0.0768428621275717","0.0891016045872813"
"Ja, alle 3-4 Wochen","2009","Ostdeutschland","260","","",""
"Seltener","2009","Westdeutschland","1929","","",""
"Seltener","2009","Ostdeutschland","653","0.269551762899199","0.251821462637894","0.287282063160504"
"Nein, nie","2010","Westdeutschland","1279","","",""
"Nein, nie","2010","Ostdeutschland","255","","",""
"Ja, jede Woche","2010","Westdeutschland","528","0.135321742623161","0.124310207757247","0.146333277489076"
"Ja, jede Woche","2010","Ostdeutschland","105","","",""
"Ja, alle 2 Wochen","2010","Westdeutschland","598","0.162982390110003","0.15109259319232","0.174872187027687"
"Ja, alle 2 Wochen","2010","Ostdeutschland","161","","",""
"Ja, alle 3-4 Wochen","2010","Westdeutschland","352","0.0961631467123212","0.0866727109531803","0.105653582471462"
"Ja, alle 3-4 Wochen","2010","Ostdeutschland","81","0.101849126564841","0.0810845734238359","0.122613679705846"
