"plb0218","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","17-29","837","0.396701523297539","0.375335858705964","0.418067187889115"
"Nein, nie","2005","30-45","1694","0.336878877758184","0.323570211880696","0.350187543635672"
"Nein, nie","2005","46-65","1688","0.387320103257072","0.372971946273962","0.401668260240182"
"Nein, nie","2005","66","","","",""
"Ja, jede Woche","2005","17-29","295","0.155554605035886","0.139725892936581","0.171383317135191"
"Ja, jede Woche","2005","30-45","638","0.143869833984927","0.133987580912002","0.153752087057852"
"Ja, jede Woche","2005","46-65","634","0.142160445028452","0.131874677465793","0.15244621259111"
"Ja, jede Woche","2005","66","","","",""
"Ja, alle 2 Wochen","2005","17-29","331","0.174868435369345","0.15827884469611","0.19145802604258"
"Ja, alle 2 Wochen","2005","30-45","717","0.151055658926512","0.140972205213893","0.161139112639132"
"Ja, alle 2 Wochen","2005","46-65","533","0.127739328299989","0.117907602796863","0.137571053803115"
"Ja, alle 2 Wochen","2005","66","","","",""
"Ja, alle 3-4 Wochen","2005","17-29","167","0.0778079599862684","0.0661091669755214","0.0895067529970154"
"Ja, alle 3-4 Wochen","2005","30-45","497","0.103722312389818","0.0951369508601935","0.112307673919442"
"Ja, alle 3-4 Wochen","2005","46-65","370","0.0824498313271542","0.0743485431630463","0.090551119491262"
"Ja, alle 3-4 Wochen","2005","66","","","",""
"Seltener","2005","17-29","384","0.195067476310961","0.177761722214464","0.212373230407459"
"Seltener","2005","30-45","1299","0.264473316940559","0.252054181953462","0.276892451927656"
"Seltener","2005","46-65","1203","0.260330292087333","0.247405440814835","0.273255143359831"
"Seltener","2005","66","","","",""
"Nein, nie","2006","17-29","","","",""
"Nein, nie","2006","30-45","","","",""
"Nein, nie","2006","46-65","","","",""
"Nein, nie","2006","66","","","",""
"Ja, jede Woche","2006","17-29","","","",""
"Ja, jede Woche","2006","30-45","","","",""
"Ja, jede Woche","2006","46-65","","","",""
"Ja, jede Woche","2006","66","","","",""
"Ja, alle 2 Wochen","2006","17-29","","","",""
"Ja, alle 2 Wochen","2006","30-45","","","",""
"Ja, alle 2 Wochen","2006","46-65","","","",""
"Ja, alle 2 Wochen","2006","66","","","",""
"Ja, alle 3-4 Wochen","2006","17-29","","","",""
"Ja, alle 3-4 Wochen","2006","30-45","","","",""
"Ja, alle 3-4 Wochen","2006","46-65","","","",""
"Ja, alle 3-4 Wochen","2006","66","","","",""
"Seltener","2006","17-29","","","",""
"Seltener","2006","30-45","","","",""
"Seltener","2006","46-65","","","",""
"Seltener","2006","66","","","",""
"Nein, nie","2007","17-29","776","0.400674296832082","0.378868376574665","0.422480217089499"
"Nein, nie","2007","30-45","1600","0.323537633379614","0.31017999528718","0.336895271472048"
"Nein, nie","2007","46-65","1713","0.374888179504928","0.360972704132065","0.388803654877791"
"Nein, nie","2007","66","","","",""
"Ja, jede Woche","2007","17-29","295","0.159930318850817","0.143619705863087","0.176240931838548"
"Ja, jede Woche","2007","30-45","641","0.135725858364014","0.125946676826034","0.145505039901995"
"Ja, jede Woche","2007","46-65","706","0.151488188827825","0.141182271588837","0.161794106066813"
"Ja, jede Woche","2007","66","","","",""
"Ja, alle 2 Wochen","2007","17-29","335","0.166837020371637","0.150246560639502","0.183427480103771"
"Ja, alle 2 Wochen","2007","30-45","753","0.168465145400544","0.157778516965435","0.179151773835654"
"Ja, alle 2 Wochen","2007","46-65","589","0.133826958932822","0.12404011971054","0.143613798155104"
"Ja, alle 2 Wochen","2007","66","","","",""
"Ja, alle 3-4 Wochen","2007","17-29","169","0.0896231757728456","0.07691251913004","0.102333832415651"
"Ja, alle 3-4 Wochen","2007","30-45","498","0.113294240471003","0.104244437355367","0.122344043586638"
"Ja, alle 3-4 Wochen","2007","46-65","432","0.0880628962570332","0.0799168430332958","0.0962089494807705"
"Ja, alle 3-4 Wochen","2007","66","","","",""
"Seltener","2007","17-29","365","0.182935188172618","0.165731399250185","0.200138977095052"
"Seltener","2007","30-45","1220","0.258977122384824","0.246469004701583","0.271485240068065"
