"pli0096_h","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Taeglich","1985","16-34 J.","West","","","",""
"Taeglich","1985","16-34 J.","Ost","","","",""
"Taeglich","1985","35-65 J.","West","","","",""
"Taeglich","1985","35-65 J.","Ost","","","",""
"Taeglich","1985","66 und älter","West","","","",""
"Taeglich","1985","66 und älter","Ost","","","",""
"Min 1x pro Woche","1985","16-34 J.","West","319","0.0892685935479304","0.0805610290913246","0.0979761580045363"
"Min 1x pro Woche","1985","16-34 J.","Ost","","","",""
"Min 1x pro Woche","1985","35-65 J.","West","451","0.0940493396119424","0.0864468653528046","0.10165181387108"
"Min 1x pro Woche","1985","35-65 J.","Ost","","","",""
"Min 1x pro Woche","1985","66 und älter","West","45","0.0403086003151363","0.0286001852378211","0.0520170153924515"
"Min 1x pro Woche","1985","66 und älter","Ost","","","",""
"Min 1x pro Monat","1985","16-34 J.","West","196","0.0531984823180269","0.0463446844976989","0.0600522801383548"
"Min 1x pro Monat","1985","16-34 J.","Ost","","","",""
"Min 1x pro Monat","1985","35-65 J.","West","388","0.0796496192022894","0.0725979284180181","0.0867013099865607"
"Min 1x pro Monat","1985","35-65 J.","Ost","","","",""
"Min 1x pro Monat","1985","66 und älter","West","36","0.0300595885581599","0.0198948200405142","0.0402243570758055"
"Min 1x pro Monat","1985","66 und älter","Ost","","","",""
"Seltener","1985","16-34 J.","West","353","0.0950044314458993","0.0860498074826743","0.103959055409124"
"Seltener","1985","16-34 J.","Ost","","","",""
"Seltener","1985","35-65 J.","West","444","0.0880477608504592","0.0806675288348314","0.095427992866087"
"Seltener","1985","35-65 J.","Ost","","","",""
"Seltener","1985","66 und älter","West","50","0.0446966299547157","0.032395599477873","0.0569976604315583"
"Seltener","1985","66 und älter","Ost","","","",""
"Nie","1985","16-34 J.","West","3251","0.762528492688143","0.74953320232876","0.775523783047527"
"Nie","1985","16-34 J.","Ost","","","",""
"Nie","1985","35-65 J.","West","4380","0.738253280335309","0.726804265273919","0.749702295396699"
"Nie","1985","35-65 J.","Ost","","","",""
"Nie","1985","66 und älter","West","953","0.884935181171988","0.865939255592699","0.903931106751277"
"Nie","1985","66 und älter","Ost","","","",""
"Taeglich","1986","16-34 J.","West","","","",""
"Taeglich","1986","16-34 J.","Ost","","","",""
"Taeglich","1986","35-65 J.","West","","","",""
"Taeglich","1986","35-65 J.","Ost","","","",""
"Taeglich","1986","66 und älter","West","","","",""
"Taeglich","1986","66 und älter","Ost","","","",""
"Min 1x pro Woche","1986","16-34 J.","West","314","0.0880747180578046","0.079348649283602","0.0968007868320072"
"Min 1x pro Woche","1986","16-34 J.","Ost","","","",""
"Min 1x pro Woche","1986","35-65 J.","West","408","0.0883704160701159","0.0807895662659418","0.0959512658742901"
"Min 1x pro Woche","1986","35-65 J.","Ost","","","",""
"Min 1x pro Woche","1986","66 und älter","West","49","0.0460471007912817","0.0331278560649459","0.0589663455176174"
"Min 1x pro Woche","1986","66 und älter","Ost","","","",""
"Min 1x pro Monat","1986","16-34 J.","West","195","0.0524268520145261","0.0455641263898208","0.0592895776392313"
"Min 1x pro Monat","1986","16-34 J.","Ost","","","",""
"Min 1x pro Monat","1986","35-65 J.","West","380","0.0833877424434941","0.0760036151348977","0.0907718697520905"
"Min 1x pro Monat","1986","35-65 J.","Ost","","","",""
"Min 1x pro Monat","1986","66 und älter","West","40","0.0381882324524432","0.0263746304608784","0.050001834444008"
"Min 1x pro Monat","1986","66 und älter","Ost","","","",""
"Seltener","1986","16-34 J.","West","354","0.0966486973280594","0.0875508276259473","0.105746567030172"
"Seltener","1986","16-34 J.","Ost","","","",""
"Seltener","1986","35-65 J.","West","376","0.0781227982510988","0.0709550842203568","0.0852905122818408"
"Seltener","1986","35-65 J.","Ost","","","",""
"Seltener","1986","66 und älter","West","37","0.0348937491035869","0.023581892411186","0.0462056057959877"
"Seltener","1986","66 und älter","Ost","","","",""
"Nie","1986","16-34 J.","West","3189","0.76284973259961","0.749753551224754","0.775945913974465"
"Nie","1986","16-34 J.","Ost","","","",""
"Nie","1986","35-65 J.","West","4221","0.750119043235291","0.738555606922941","0.761682479547642"
"Nie","1986","35-65 J.","Ost","","","",""
"Nie","1986","66 und älter","West","885","0.880870917652688","0.86090278066848","0.900839054636896"
