year,bula_h,pgisced97,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Lower Secondary Level,Never,0.91517,72,72,0.85035,0.97998
1985,Schleswig-Holstein,Upper Secondary Level,Never,0.80809,155,155,0.74589,0.87028
1985,Hamburg,Lower Secondary Level,Never,0.92339,53,53,0.85110,0.99568
1985,Hamburg,Upper Secondary Level,Never,0.85543,121,121,0.79251,0.91835
1985,Lower Saxony,Primary Level,Never,0.80609,43,43,0.68652,0.92566
1985,Lower Saxony,Lower Secondary Level,Never,0.84947,257,257,0.80566,0.89327
1985,Lower Saxony,Upper Secondary Level,At least once per week,0.08603,47,504,0.06152,0.11053
1985,Lower Saxony,Upper Secondary Level,At least once per month,0.06238,34,504,0.04125,0.08352
1985,Lower Saxony,Upper Secondary Level,Never,0.80205,423,504,0.76723,0.83687
1985,Lower Saxony,First Stage of Tertiary Education,Never,0.64122,45,45,0.49949,0.78294
1985,Lower Saxony,Second Stage of Tertiary Education,Never,0.58651,40,40,0.43195,0.74107
1985,Bremen,Lower Secondary Level,Never,0.92833,33,33,0.83895,1.01770
1985,Bremen,Upper Secondary Level,Never,0.77204,52,52,0.65690,0.88718
1985,North Rhine-Westphalia,No answer / don't know,Never,0.93499,33,33,0.84957,1.02041
1985,North Rhine-Westphalia,Pre-primary Level,Never,0.74674,44,44,0.61675,0.87672
1985,North Rhine-Westphalia,Primary Level,Never,0.93971,242,242,0.90966,0.96976
1985,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.04335,31,712,0.02838,0.05832
1985,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.06919,50,712,0.05054,0.08784
1985,North Rhine-Westphalia,Lower Secondary Level,Never,0.84277,631,712,0.81601,0.86953
1985,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.08282,107,1383,0.06829,0.09735
1985,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.06175,81,1383,0.04906,0.07444
1985,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.08731,123,1383,0.07243,0.10220
1985,North Rhine-Westphalia,Upper Secondary Level,Never,0.76812,1072,1383,0.74587,0.79037
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.70000,61,61,0.58405,0.81596
1985,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.69159,100,100,0.60062,0.78257
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.71464,153,153,0.64285,0.78644
1985,Hesse,Primary Level,Never,0.96690,83,83,0.92818,1.00562
1985,Hesse,Lower Secondary Level,Never,0.83237,276,276,0.78822,0.87652
1985,Hesse,Upper Secondary Level,At least once per week,0.10510,46,508,0.07840,0.13179
1985,Hesse,Upper Secondary Level,At least once per month,0.07364,32,508,0.05090,0.09637
1985,Hesse,Upper Secondary Level,Seldom,0.09098,42,508,0.06595,0.11601
1985,Hesse,Upper Secondary Level,Never,0.73029,388,508,0.69165,0.76892
1985,Hesse,First Stage of Tertiary Education,Never,0.69695,37,37,0.54682,0.84708
1985,Hesse,Second Stage of Tertiary Education,Never,0.62701,58,58,0.50146,0.75255
1985,"Rhineland-Palatinate, Saarland",Primary Level,Never,0.81965,49,49,0.71088,0.92842
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.80810,213,213,0.75509,0.86111
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.09380,34,317,0.06165,0.12594
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.09803,33,317,0.06524,0.13081
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.72429,250,317,0.67502,0.77356
1985,Baden-Wuerttemberg,Primary Level,Never,0.97034,235,235,0.94861,0.99208
1985,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.05561,31,557,0.03656,0.07465
1985,Baden-Wuerttemberg,Lower Secondary Level,Never,0.86148,526,557,0.83277,0.89020
1985,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.10565,84,856,0.08504,0.12625
1985,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.05992,46,856,0.04401,0.07583
1985,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.11158,89,856,0.09047,0.13268
1985,Baden-Wuerttemberg,Upper Secondary Level,Never,0.72286,637,856,0.69286,0.75286
1985,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.70459,36,36,0.55344,0.85574
1985,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.67769,72,72,0.56898,0.78640
1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.64003,71,71,0.52759,0.75248
1985,Bavaria,Primary Level,Never,0.96176,76,76,0.91836,1.00516
1985,Bavaria,Lower Secondary Level,At least once per week,0.06983,36,502,0.04751,0.09215
1985,Bavaria,Lower Secondary Level,Seldom,0.07256,42,502,0.04984,0.09528
1985,Bavaria,Lower Secondary Level,Never,0.80704,424,502,0.77248,0.84159
1985,Bavaria,Upper Secondary Level,At least once per week,0.09593,89,927,0.07696,0.11489
1985,Bavaria,Upper Secondary Level,At least once per month,0.07225,67,927,0.05557,0.08892
1985,Bavaria,Upper Secondary Level,Seldom,0.09487,82,927,0.07599,0.11374
1985,Bavaria,Upper Secondary Level,Never,0.73696,689,927,0.70860,0.76532
1985,Bavaria,Post-secondary Non-tertiary Level,Never,0.80683,35,35,0.67412,0.93953
1985,Bavaria,First Stage of Tertiary Education,Never,0.67073,78,78,0.56576,0.77570
1985,Bavaria,Second Stage of Tertiary Education,Never,0.60498,89,89,0.50284,0.70712
1985,Berlin,Lower Secondary Level,Never,0.88436,75,75,0.81150,0.95722
1985,Berlin,Upper Secondary Level,Never,0.80134,130,130,0.73248,0.87019
1986,Schleswig-Holstein,Lower Secondary Level,Never,0.91542,68,68,0.84879,0.98205
1986,Schleswig-Holstein,Upper Secondary Level,Never,0.79621,139,139,0.72900,0.86342
1986,Hamburg,Lower Secondary Level,Never,0.96392,54,54,0.91371,1.01413
1986,Hamburg,Upper Secondary Level,Never,0.86153,108,108,0.79608,0.92697
1986,Lower Saxony,Primary Level,Never,0.92791,49,49,0.85475,1.00108
1986,Lower Saxony,Lower Secondary Level,Never,0.85935,266,266,0.81749,0.90121
1986,Lower Saxony,Upper Secondary Level,At least once per week,0.09116,47,501,0.06593,0.11639
1986,Lower Saxony,Upper Secondary Level,Seldom,0.07014,39,501,0.04776,0.09253
1986,Lower Saxony,Upper Secondary Level,Never,0.79200,415,501,0.75642,0.82757
1986,Lower Saxony,First Stage of Tertiary Education,Never,0.67970,47,47,0.54486,0.81454
1986,Lower Saxony,Second Stage of Tertiary Education,Never,0.63335,52,52,0.50109,0.76561
1986,Bremen,Lower Secondary Level,Never,0.96845,31,31,0.90589,1.03100
1986,Bremen,Upper Secondary Level,Never,0.83648,53,53,0.73596,0.93700
1986,North Rhine-Westphalia,Pre-primary Level,Never,0.88603,61,61,0.80562,0.96644
1986,North Rhine-Westphalia,Primary Level,Never,0.94383,226,226,0.91374,0.97392
1986,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.05822,34,692,0.04076,0.07568
1986,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.05601,31,692,0.03887,0.07316
1986,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.06452,46,692,0.04621,0.08284
1986,North Rhine-Westphalia,Lower Secondary Level,Never,0.82124,581,692,0.79268,0.84981
1986,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.08499,107,1338,0.07004,0.09994
1986,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.06596,89,1338,0.05265,0.07926
1986,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.06757,93,1338,0.05412,0.08103
1986,North Rhine-Westphalia,Upper Secondary Level,Never,0.78148,1049,1338,0.75933,0.80363
1986,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.70735,63,63,0.59410,0.82060
1986,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.75336,105,105,0.67052,0.83621
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.72694,154,154,0.65635,0.79754
1986,Hesse,Primary Level,Never,0.99212,76,76,0.97211,1.01213
1986,Hesse,Lower Secondary Level,Never,0.84755,258,258,0.80360,0.89150
1986,Hesse,Upper Secondary Level,At least once per week,0.09294,40,434,0.06559,0.12029
1986,Hesse,Upper Secondary Level,Seldom,0.08768,35,434,0.06104,0.11432
1986,Hesse,Upper Secondary Level,Never,0.75017,359,434,0.70939,0.79094
1986,Hesse,First Stage of Tertiary Education,Never,0.72615,35,35,0.57626,0.87605
1986,Hesse,Second Stage of Tertiary Education,Never,0.70042,64,64,0.58731,0.81354
1986,"Rhineland-Palatinate, Saarland",Primary Level,Never,0.93147,44,44,0.85595,1.00699
1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.85162,218,218,0.80432,0.89892
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.08573,33,342,0.05602,0.11545
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.09221,32,342,0.06150,0.12292
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.75529,277,342,0.70966,0.80092
1986,Baden-Wuerttemberg,Primary Level,Never,0.89496,200,200,0.85236,0.93756
1986,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.08982,47,542,0.06573,0.11392
1986,Baden-Wuerttemberg,Lower Secondary Level,Never,0.81054,495,542,0.77752,0.84356
1986,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.10406,80,846,0.08348,0.12465
1986,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.07489,62,846,0.05714,0.09264
1986,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.10478,82,846,0.08413,0.12543
1986,Baden-Wuerttemberg,Upper Secondary Level,Never,0.71627,622,846,0.68587,0.74667
1986,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.65730,37,37,0.50226,0.81234
1986,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.64111,62,62,0.52073,0.76148
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.64501,70,70,0.53210,0.75792
1986,Bavaria,Primary Level,Never,0.95354,69,69,0.90351,1.00357
1986,Bavaria,Lower Secondary Level,Seldom,0.06391,31,431,0.04079,0.08703
1986,Bavaria,Lower Secondary Level,Never,0.80942,400,431,0.77229,0.84654
1986,Bavaria,Upper Secondary Level,At least once per week,0.09840,83,872,0.07862,0.11818
1986,Bavaria,Upper Secondary Level,At least once per month,0.09566,80,872,0.07613,0.11520
1986,Bavaria,Upper Secondary Level,Seldom,0.08484,74,872,0.06633,0.10334
1986,Bavaria,Upper Secondary Level,Never,0.72109,635,872,0.69131,0.75088
1986,Bavaria,Post-secondary Non-tertiary Level,Never,0.86562,33,33,0.74745,0.98379
1986,Bavaria,First Stage of Tertiary Education,Never,0.71368,74,74,0.60998,0.81738
1986,Bavaria,Second Stage of Tertiary Education,Never,0.61893,89,89,0.51745,0.72040
1986,Berlin,Lower Secondary Level,Never,0.90605,70,70,0.83721,0.97489
1986,Berlin,Upper Secondary Level,Never,0.78501,129,129,0.71384,0.85618
1988,Schleswig-Holstein,Lower Secondary Level,Never,0.88842,63,63,0.81005,0.96679
1988,Schleswig-Holstein,Upper Secondary Level,Never,0.77405,135,135,0.70325,0.84486
1988,Hamburg,Lower Secondary Level,Never,0.91756,41,41,0.83233,1.00279
1988,Hamburg,Upper Secondary Level,Never,0.80033,79,79,0.71162,0.88905
1988,Lower Saxony,Primary Level,Never,0.85033,41,41,0.73977,0.96089
1988,Lower Saxony,Lower Secondary Level,Never,0.84777,229,229,0.80113,0.89440
1988,Lower Saxony,Upper Secondary Level,At least once per week,0.07902,40,517,0.05574,0.10230
1988,Lower Saxony,Upper Secondary Level,At least once per month,0.07208,40,517,0.04977,0.09440
1988,Lower Saxony,Upper Secondary Level,Seldom,0.07559,42,517,0.05278,0.09839
1988,Lower Saxony,Upper Secondary Level,Never,0.77331,395,517,0.73718,0.80944
1988,Lower Saxony,First Stage of Tertiary Education,Never,0.74154,49,49,0.61768,0.86539
1988,Lower Saxony,Second Stage of Tertiary Education,Never,0.62794,48,48,0.48975,0.76613
1988,Bremen,Lower Secondary Level,Never,0.99481,32,32,0.96950,1.02011
1988,Bremen,Upper Secondary Level,Never,0.78722,40,40,0.65877,0.91567
1988,North Rhine-Westphalia,No answer / don't know,Never,0.85555,43,43,0.74923,0.96187
1988,North Rhine-Westphalia,Pre-primary Level,Never,0.78402,51,51,0.66996,0.89809
1988,North Rhine-Westphalia,Primary Level,Never,0.95709,196,196,0.92865,0.98554
1988,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.06638,40,599,0.04643,0.08634
1988,North Rhine-Westphalia,Lower Secondary Level,Never,0.84731,559,599,0.81848,0.87614
1988,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.08664,104,1263,0.07112,0.10216
1988,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.06203,78,1263,0.04872,0.07534
1988,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.08833,111,1263,0.07268,0.10399
1988,North Rhine-Westphalia,Upper Secondary Level,Never,0.76299,970,1263,0.73953,0.78646
1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.79389,70,70,0.69845,0.88934
1988,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.70941,101,101,0.62041,0.79840
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.73894,148,148,0.66794,0.80994
1988,Hesse,Primary Level,Never,0.98339,76,76,0.95447,1.01232
1988,Hesse,Lower Secondary Level,Never,0.86725,250,250,0.82510,0.90939
1988,Hesse,Upper Secondary Level,At least once per week,0.07930,32,451,0.05434,0.10427
1988,Hesse,Upper Secondary Level,At least once per month,0.08887,37,451,0.06258,0.11516
1988,Hesse,Upper Secondary Level,Seldom,0.08437,36,451,0.05869,0.11005
1988,Hesse,Upper Secondary Level,Never,0.74746,346,451,0.70732,0.78760
1988,Hesse,Second Stage of Tertiary Education,Never,0.55217,46,46,0.40688,0.69746
1988,"Rhineland-Palatinate, Saarland",Primary Level,Never,0.96437,43,43,0.90831,1.02043
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.79285,192,192,0.73538,0.85033
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per month,0.08744,32,309,0.05589,0.11899
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.76273,277,309,0.71522,0.81024
1988,Baden-Wuerttemberg,Primary Level,Never,0.85236,189,189,0.80166,0.90307
1988,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.07209,36,546,0.05038,0.09381
1988,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.12081,55,546,0.09345,0.14817
1988,Baden-Wuerttemberg,Lower Secondary Level,Never,0.74980,455,546,0.71344,0.78617
1988,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.11757,83,799,0.09523,0.13992
1988,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.07360,56,799,0.05548,0.09171
1988,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.17695,120,799,0.15047,0.20343
1988,Baden-Wuerttemberg,Upper Secondary Level,Never,0.63188,540,799,0.59842,0.66534
1988,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.66723,38,38,0.51540,0.81906
1988,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.47058,49,49,0.32937,0.61178
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.54290,55,55,0.41003,0.67577
1988,Bavaria,Primary Level,Never,0.90361,54,54,0.82415,0.98307
1988,Bavaria,Lower Secondary Level,At least once per week,0.06230,33,412,0.03893,0.08566
1988,Bavaria,Lower Secondary Level,Seldom,0.07870,32,412,0.05267,0.10473
1988,Bavaria,Lower Secondary Level,Never,0.78744,347,412,0.74789,0.82700
1988,Bavaria,Upper Secondary Level,At least once per week,0.09855,84,817,0.07810,0.11900
1988,Bavaria,Upper Secondary Level,At least once per month,0.08322,66,817,0.06427,0.10218
1988,Bavaria,Upper Secondary Level,Seldom,0.09769,80,817,0.07732,0.11806
1988,Bavaria,Upper Secondary Level,Never,0.72054,587,817,0.68975,0.75133
1988,Bavaria,Post-secondary Non-tertiary Level,Never,0.84909,32,32,0.72308,0.97510
1988,Bavaria,First Stage of Tertiary Education,Never,0.63034,54,54,0.50039,0.76030
1988,Bavaria,Second Stage of Tertiary Education,Never,0.57731,76,76,0.46551,0.68911
1988,Berlin,Lower Secondary Level,Never,0.90559,79,79,0.84070,0.97048
1988,Berlin,Upper Secondary Level,Never,0.82742,118,118,0.75895,0.89589
1990,Schleswig-Holstein,Lower Secondary Level,Never,0.89428,60,60,0.81582,0.97274
1990,Schleswig-Holstein,Upper Secondary Level,Never,0.76432,119,119,0.68774,0.84090
1990,Hamburg,Upper Secondary Level,Never,0.78155,71,71,0.68476,0.87835
1990,Lower Saxony,Primary Level,Never,0.88232,40,40,0.78119,0.98345
1990,Lower Saxony,Lower Secondary Level,Never,0.81389,201,201,0.75995,0.86783
1990,Lower Saxony,Upper Secondary Level,At least once per week,0.09145,40,468,0.06530,0.11759
1990,Lower Saxony,Upper Secondary Level,Seldom,0.09718,46,468,0.07032,0.12405
1990,Lower Saxony,Upper Secondary Level,Never,0.75168,382,468,0.71249,0.79086
