"pli0096_h","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Taeglich","1984","16-34 Jahre alt","","","",""
"Taeglich","1984","35-65 Jahre alt","","","",""
"Taeglich","1984","66 und älter","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","","","",""
"Min 1x pro Woche","1984","66 und älter","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","","","",""
"Min 1x pro Monat","1984","66 und älter","","","",""
"Seltener","1984","16-34 Jahre alt","","","",""
"Seltener","1984","35-65 Jahre alt","","","",""
"Seltener","1984","66 und älter","","","",""
"Nie","1984","16-34 Jahre alt","","","",""
"Nie","1984","35-65 Jahre alt","","","",""
"Nie","1984","66 und älter","","","",""
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","3695","0.784590491690555","0.772645211317058","0.796535772064052"
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","4892","0.756813088639375","0.746136152977971","0.76749002430078"
"Nie, sehr selten (1984)","1984","66 und älter","1095","0.894800300520209","0.877675052776794","0.911925548263624"
"Gelegentlich (1984)","1984","16-34 Jahre alt","454","0.110461426401211","0.101353277772682","0.119569575029741"
"Gelegentlich (1984)","1984","35-65 Jahre alt","657","0.117792146003411","0.109769348382868","0.125814943623954"
"Gelegentlich (1984)","1984","66 und älter","63","0.0502860921312505","0.0380881408323918","0.0624840434301091"
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","401","0.104948081908234","0.0960426751820421","0.113853488634425"
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","653","0.125394765357213","0.11715285380125","0.133636676913176"
"Haeufig,regelmaessig (1984)","1984","66 und älter","75","0.0549136073485401","0.0421978481534952","0.0676293665435851"
"Taeglich","1985","16-34 Jahre alt","","","",""
"Taeglich","1985","35-65 Jahre alt","","","",""
"Taeglich","1985","66 und älter","","","",""
"Min 1x pro Woche","1985","16-34 Jahre alt","320","0.0895163530791654","0.0808158354521114","0.0982168707062194"
"Min 1x pro Woche","1985","35-65 Jahre alt","452","0.0940248244625585","0.086446620617462","0.101603028307655"
"Min 1x pro Woche","1985","66 und älter","46","0.040802478308715","0.0290848875316658","0.0525200690857642"
"Min 1x pro Monat","1985","16-34 Jahre alt","198","0.0536684330401835","0.0468002960763224","0.0605365700040447"
"Min 1x pro Monat","1985","35-65 Jahre alt","388","0.0795648395035782","0.072538258386586","0.0865914206205704"
"Min 1x pro Monat","1985","66 und älter","37","0.0304959802598528","0.0203115406480288","0.0406804198716768"
"Seltener","1985","16-34 Jahre alt","354","0.0949982276837466","0.0860622866902819","0.103934168677211"
"Seltener","1985","35-65 Jahre alt","444","0.0878593170769027","0.080508904893511","0.0952097292602944"
"Seltener","1985","66 und älter","51","0.045080743449766","0.0327916487231068","0.0573698381764253"
"Nie","1985","16-34 Jahre alt","3264","0.761816986196905","0.748835077659702","0.774798894734107"
"Nie","1985","35-65 Jahre alt","4414","0.738551018956961","0.727141414304749","0.749960623609172"
"Nie","1985","66 und älter","961","0.883620797981666","0.864627005724099","0.902614590239234"
"Nie, sehr selten (1984)","1985","16-34 Jahre alt","","","",""
"Nie, sehr selten (1984)","1985","35-65 Jahre alt","","","",""
"Nie, sehr selten (1984)","1985","66 und älter","","","",""
"Gelegentlich (1984)","1985","16-34 Jahre alt","","","",""
"Gelegentlich (1984)","1985","35-65 Jahre alt","","","",""
"Gelegentlich (1984)","1985","66 und älter","","","",""
"Haeufig,regelmaessig (1984)","1985","16-34 Jahre alt","","","",""
"Haeufig,regelmaessig (1984)","1985","35-65 Jahre alt","","","",""
"Haeufig,regelmaessig (1984)","1985","66 und älter","","","",""
"Taeglich","1986","16-34 Jahre alt","","","",""
"Taeglich","1986","35-65 Jahre alt","","","",""
"Taeglich","1986","66 und älter","","","",""
"Min 1x pro Woche","1986","16-34 Jahre alt","315","0.0879056776229816","0.0792043412437589","0.0966070140022044"
"Min 1x pro Woche","1986","35-65 Jahre alt","410","0.0884037765800053","0.0808426670661648","0.0959648860938457"
"Min 1x pro Woche","1986","66 und älter","51","0.0472873932360358","0.0343061432882671","0.0602686431838045"
"Min 1x pro Monat","1986","16-34 Jahre alt","196","0.0525283784419772","0.0456729007571571","0.0593838561267972"
"Min 1x pro Monat","1986","35-65 Jahre alt","382","0.0830387671769882","0.075689148712067","0.0903883856419094"
"Min 1x pro Monat","1986","66 und älter","41","0.0382647055341824","0.026532225219555","0.0499971858488098"
"Seltener","1986","16-34 Jahre alt","354","0.0961435994230437","0.0870848650238389","0.105202333822248"
"Seltener","1986","35-65 Jahre alt","376","0.0778946023431711","0.0707563347409371","0.0850328699454051"
"Seltener","1986","66 und älter","37","0.0342838165061354","0.0231554298988261","0.0454122031134447"
"Nie","1986","16-34 Jahre alt","3203","0.763422344511998","0.75036283355102","0.776481855472976"
"Nie","1986","35-65 Jahre alt","4247","0.750662853899835","0.739139873704293","0.762185834095378"
"Nie","1986","66 und älter","898","0.880164084723646","0.860301389013443","0.90002678043385"
"Nie, sehr selten (1984)","1986","16-34 Jahre alt","","","",""
