"pli0096_h","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Taeglich","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Taeglich","1984","16-34 Jahre alt","Hamburg","","","",""
"Taeglich","1984","16-34 Jahre alt","Niedersachsen","","","",""
"Taeglich","1984","16-34 Jahre alt","Bremen","","","",""
"Taeglich","1984","16-34 Jahre alt","Nordrhein-Westfalen","","","",""
"Taeglich","1984","16-34 Jahre alt","Hessen","","","",""
"Taeglich","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1984","16-34 Jahre alt","Baden-Wuerttemberg","","","",""
"Taeglich","1984","16-34 Jahre alt","Bayern","","","",""
"Taeglich","1984","16-34 Jahre alt","Saarland","","","",""
"Taeglich","1984","16-34 Jahre alt","Berlin","","","",""
"Taeglich","1984","16-34 Jahre alt","Brandenburg","","","",""
"Taeglich","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Taeglich","1984","16-34 Jahre alt","Sachsen","","","",""
"Taeglich","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Taeglich","1984","16-34 Jahre alt","Thueringen","","","",""
"Taeglich","1984","35-65 Jahre alt","Schleswig-Holstein","","","",""
"Taeglich","1984","35-65 Jahre alt","Hamburg","","","",""
"Taeglich","1984","35-65 Jahre alt","Niedersachsen","","","",""
"Taeglich","1984","35-65 Jahre alt","Bremen","","","",""
"Taeglich","1984","35-65 Jahre alt","Nordrhein-Westfalen","","","",""
"Taeglich","1984","35-65 Jahre alt","Hessen","","","",""
"Taeglich","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1984","35-65 Jahre alt","Baden-Wuerttemberg","","","",""
"Taeglich","1984","35-65 Jahre alt","Bayern","","","",""
"Taeglich","1984","35-65 Jahre alt","Saarland","","","",""
"Taeglich","1984","35-65 Jahre alt","Berlin","","","",""
"Taeglich","1984","35-65 Jahre alt","Brandenburg","","","",""
"Taeglich","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Taeglich","1984","35-65 Jahre alt","Sachsen","","","",""
"Taeglich","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Taeglich","1984","35-65 Jahre alt","Thueringen","","","",""
"Taeglich","1984","66 und älter","Schleswig-Holstein","","","",""
"Taeglich","1984","66 und älter","Hamburg","","","",""
"Taeglich","1984","66 und älter","Niedersachsen","","","",""
"Taeglich","1984","66 und älter","Bremen","","","",""
"Taeglich","1984","66 und älter","Nordrhein-Westfalen","","","",""
"Taeglich","1984","66 und älter","Hessen","","","",""
"Taeglich","1984","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1984","66 und älter","Baden-Wuerttemberg","","","",""
