year,sampreg,pli0096_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,West,Never,0.7902526395173454,14443,0.783612784517565,0.7968924945171257
1985,West,Seldom,0.07796003016591252,14443,0.07358744538452454,0.0823326149473005
1985,West,At least once per week,0.07409502262443439,14443,0.06982327985899449,0.07836676538987429
1985,West,At least once per month,0.057692307692307696,14443,0.05388968978130245,0.06149492560331294
1986,West,Never,0.7940310229727077,13742,0.7872694032736149,0.8007926426718004
1986,West,Seldom,0.07304142941291969,13742,0.06869086209306541,0.07739199673277397
1986,West,At least once per week,0.07304142941291969,13742,0.06869086209306541,0.07739199673277397
1986,West,At least once per month,0.059886118201452974,13742,0.055918915293516926,0.06385332110938902
1988,West,Never,0.7717605560742815,12817,0.7644944870575218,0.7790266250910413
1988,West,Seldom,0.08517481066500675,12817,0.08034213638664119,0.09000748494337231
1988,West,At least once per week,0.08164747380433655,12817,0.07690681206996768,0.08638813553870543
1988,West,At least once per month,0.061417159456375145,12817,0.05726050380898927,0.06557381510376102
1990,West,Never,0.7495133030499675,18165,0.7432121449569828,0.7558144611429523
1990,West,Seldom,0.11161583387410773,18165,0.10703650663813359,0.11619516111008187
1990,West,At least once per week,0.07527579493835172,18165,0.07143896846192205,0.0791126214147814
1990,West,At least once per month,0.063595068137573,18165,0.06004626478351144,0.06714387149163456
1990,East,Never,0.7095024758311719,18165,0.7029003082217393,0.7161046434406044
1990,East,At least once per month,0.11648196180146192,18165,0.11181670645983308,0.12114721714309076
1990,East,Seldom,0.10822919122848385,18165,0.10371128510244038,0.11274709735452731
1990,East,At least once per week,0.06578637113888233,18165,0.062181170535868836,0.06939157174189584
1992,West,Never,0.7658940397350993,17350,0.7595932220690838,0.7721948574011148
1992,West,Seldom,0.10673289183222959,17350,0.10213830840906346,0.11132747525539571
1992,West,At least once per week,0.06721854304635762,17350,0.06349256037054873,0.0709445257221665
1992,West,At least once per month,0.06015452538631347,17350,0.05661643672772562,0.06369261404490131
1992,East,Never,0.8028497409326425,17350,0.7969297349770782,0.8087697468882068
1992,East,Seldom,0.09689119170984456,17350,0.09248951117022755,0.10129287224946157
1992,East,At least once per month,0.06062176165803109,17350,0.05707084192231764,0.06417268139374453
1992,East,At least once per week,0.039637305699481866,17350,0.036734111847195744,0.04254049955176799
1994,West,Never,0.7486787360845609,16642,0.7420882768300979,0.7552691953390239
1994,West,Seldom,0.11930732036433149,16642,0.11438240182373478,0.1242322389049282
1994,West,At least once per week,0.07005509951647364,16642,0.06617715315009585,0.07393304588285142
1994,West,At least once per month,0.06195884403463398,16642,0.0582960212050696,0.06562166686419836
1994,East,Never,0.8065217391304348,16642,0.8005199955174171,0.8125234827434524
1994,East,Seldom,0.09266304347826088,16642,0.08825758722633126,0.0970684997301905
1994,East,At least once per month,0.06521739130434782,16642,0.06146601754701713,0.06896876506167852
1994,East,At least once per week,0.035597826086956524,16642,0.03278272404793425,0.038412928125978796
1995,West,Never,0.7840751414238446,17246,0.7779340997450822,0.790216183102607
1995,West,Seldom,0.08592165652684385,17246,0.0817389739140606,0.0901043391396271
1995,West,At least once per week,0.07706265343152952,17246,0.0730823152757777,0.08104299158728133
1995,West,At least once per month,0.052940548617782045,17246,0.04959863884346511,0.05628245839209898
1995,East,Never,0.8211200891613263,17246,0.8154000894865486,0.8268400888361039
1995,East,Seldom,0.0716076901643912,17246,0.06775949153855616,0.07545588879022623
1995,East,At least once per month,0.061019782669267206,17246,0.05744725640743599,0.06459230893109842
