year,bula_h,regtyp,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Never,0.80473,130,130,0.73632,0.87314
1985,Schleswig-Holstein,Rural regions,Never,0.81911,149,149,0.75709,0.88113
1985,Hamburg,Urban regions,Never,0.87407,234,234,0.83147,0.91667
1985,Lower Saxony,Urban regions,At least once per week,0.08864,44,474,0.06303,0.11426
1985,Lower Saxony,Urban regions,Seldom,0.08229,44,474,0.05752,0.10705
1985,Lower Saxony,Urban regions,Never,0.78270,386,474,0.74553,0.81987
1985,Lower Saxony,Rural regions,At least once per week,0.09230,52,584,0.06880,0.11579
1985,Lower Saxony,Rural regions,At least once per month,0.05919,36,584,0.04004,0.07835
1985,Lower Saxony,Rural regions,Seldom,0.05769,33,584,0.03876,0.07661
1985,Lower Saxony,Rural regions,Never,0.79082,463,584,0.75781,0.82384
1985,Bremen,Urban regions,Never,0.83266,95,95,0.75720,0.90812
1985,North Rhine-Westphalia,Urban regions,At least once per week,0.07515,184,2849,0.06547,0.08483
1985,North Rhine-Westphalia,Urban regions,At least once per month,0.05813,152,2849,0.04954,0.06673
1985,North Rhine-Westphalia,Urban regions,Seldom,0.08425,230,2849,0.07405,0.09445
1985,North Rhine-Westphalia,Urban regions,Never,0.78246,2283,2849,0.76731,0.79762
1985,North Rhine-Westphalia,Rural regions,Never,0.75480,53,53,0.63787,0.87173
1985,Hesse,Urban regions,At least once per week,0.11079,82,961,0.09093,0.13064
1985,Hesse,Urban regions,At least once per month,0.06896,55,961,0.05293,0.08499
1985,Hesse,Urban regions,Seldom,0.08394,67,961,0.06640,0.10148
1985,Hesse,Urban regions,Never,0.73631,757,961,0.70844,0.76419
1985,Hesse,Rural regions,Never,0.81810,128,128,0.75100,0.88519
1985,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.09619,56,618,0.07293,0.11946
1985,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.05961,34,618,0.04093,0.07829
1985,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.09127,50,618,0.06854,0.11399
1985,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.75293,478,618,0.71890,0.78696
1985,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.67007,91,91,0.57293,0.76721
1985,Baden-Wuerttemberg,Urban regions,At least once per week,0.09297,133,1726,0.07927,0.10668
1985,Baden-Wuerttemberg,Urban regions,At least once per month,0.05414,74,1726,0.04346,0.06482
1985,Baden-Wuerttemberg,Urban regions,Seldom,0.09310,133,1726,0.07939,0.10681
1985,Baden-Wuerttemberg,Urban regions,Never,0.75979,1386,1726,0.73962,0.77995
1985,Baden-Wuerttemberg,Rural regions,Never,0.77295,235,235,0.71927,0.82663
1985,Bavaria,Urban regions,At least once per week,0.07428,69,995,0.05798,0.09058
1985,Bavaria,Urban regions,At least once per month,0.06731,65,995,0.05173,0.08288
1985,Bavaria,Urban regions,Seldom,0.05500,55,995,0.04083,0.06917
1985,Bavaria,Urban regions,Never,0.80341,806,995,0.77871,0.82812
1985,Bavaria,Rural regions,At least once per week,0.10770,96,875,0.08714,0.12825
1985,Bavaria,Rural regions,At least once per month,0.08105,68,875,0.06295,0.09914
1985,Bavaria,Rural regions,Seldom,0.11924,103,875,0.09776,0.14073
1985,Bavaria,Rural regions,Never,0.69202,608,875,0.66141,0.72262
1985,Berlin,Urban regions,Never,0.80806,297,297,0.76319,0.85292
1986,Schleswig-Holstein,Urban regions,Never,0.83164,126,126,0.76605,0.89724
1986,Schleswig-Holstein,Rural regions,Never,0.81897,133,133,0.75328,0.88466
1986,Hamburg,Urban regions,Never,0.87142,214,214,0.82646,0.91637
1986,Lower Saxony,Urban regions,At least once per week,0.07653,37,505,0.05332,0.09974
1986,Lower Saxony,Urban regions,Seldom,0.07196,36,505,0.04940,0.09452
1986,Lower Saxony,Urban regions,Never,0.81203,432,505,0.77793,0.84614
1986,Lower Saxony,Rural regions,At least once per week,0.09667,54,570,0.07239,0.12095
1986,Lower Saxony,Rural regions,At least once per month,0.06071,39,570,0.04109,0.08034
1986,Lower Saxony,Rural regions,Seldom,0.06079,36,570,0.04116,0.08042
1986,Lower Saxony,Rural regions,Never,0.78183,441,570,0.74789,0.81577
1986,Bremen,Urban regions,Never,0.88179,96,96,0.81687,0.94671
1986,North Rhine-Westphalia,Urban regions,At least once per week,0.07580,184,2752,0.06591,0.08569
1986,North Rhine-Westphalia,Urban regions,At least once per month,0.05894,152,2752,0.05014,0.06775
1986,North Rhine-Westphalia,Urban regions,Seldom,0.07340,199,2752,0.06366,0.08315
1986,North Rhine-Westphalia,Urban regions,Never,0.79186,2217,2752,0.77668,0.80703
1986,North Rhine-Westphalia,Rural regions,Never,0.75356,51,51,0.63411,0.87301
1986,Hesse,Urban regions,At least once per week,0.09038,69,896,0.07160,0.10917
1986,Hesse,Urban regions,At least once per month,0.06349,44,896,0.04752,0.07947
1986,Hesse,Urban regions,Seldom,0.08292,59,896,0.06486,0.10099
1986,Hesse,Urban regions,Never,0.76320,724,896,0.73535,0.79105
1986,Hesse,Rural regions,Never,0.82412,117,117,0.75484,0.89341
1986,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.08297,48,616,0.06117,0.10477
1986,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.05389,32,616,0.03604,0.07174
1986,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.07567,46,616,0.05477,0.09657
1986,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.78747,490,616,0.75514,0.81980
1986,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.77961,113,113,0.70285,0.85638
1986,Baden-Wuerttemberg,Urban regions,At least once per week,0.09170,128,1670,0.07786,0.10555
1986,Baden-Wuerttemberg,Urban regions,At least once per month,0.06605,95,1670,0.05413,0.07797
1986,Baden-Wuerttemberg,Urban regions,Seldom,0.09478,135,1670,0.08073,0.10883
1986,Baden-Wuerttemberg,Urban regions,Never,0.74747,1312,1670,0.72663,0.76831
1986,Baden-Wuerttemberg,Rural regions,Seldom,0.17251,49,267,0.12710,0.21791
1986,Baden-Wuerttemberg,Rural regions,Never,0.70363,218,267,0.64875,0.75851
1986,Bavaria,Urban regions,At least once per week,0.08336,75,943,0.06571,0.10102
1986,Bavaria,Urban regions,At least once per month,0.08678,73,943,0.06880,0.10476
1986,Bavaria,Urban regions,Seldom,0.06054,55,943,0.04531,0.07577
1986,Bavaria,Urban regions,Never,0.76932,740,943,0.74241,0.79622
1986,Bavaria,Rural regions,At least once per week,0.10190,82,807,0.08102,0.12279
1986,Bavaria,Rural regions,At least once per month,0.09480,68,807,0.07458,0.11503
1986,Bavaria,Rural regions,Seldom,0.09114,75,807,0.07127,0.11101
1986,Bavaria,Rural regions,Never,0.71216,582,807,0.68090,0.74342
1986,Berlin,Urban regions,Never,0.79675,284,284,0.74986,0.84364
1988,Schleswig-Holstein,Urban regions,Never,0.89384,129,129,0.84048,0.94721
1988,Schleswig-Holstein,Rural regions,Never,0.70582,119,119,0.62360,0.78804
