year,bula_h,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Never,0.81277,279,279,0.76691,0.85863
1985,Hamburg,Never,0.87371,239,239,0.83151,0.91592
1985,Lower Saxony,At least once per week,0.09071,96,1085,0.07362,0.10781
1985,Lower Saxony,At least once per month,0.05363,63,1085,0.04022,0.06704
1985,Lower Saxony,Seldom,0.06835,77,1085,0.05333,0.08338
1985,Lower Saxony,Never,0.78730,849,1085,0.76294,0.81166
1985,Bremen,Never,0.83266,95,95,0.75720,0.90812
1985,North Rhine-Westphalia,At least once per week,0.07664,194,2922,0.06699,0.08629
1985,North Rhine-Westphalia,At least once per month,0.05957,160,2922,0.05099,0.06815
1985,North Rhine-Westphalia,Seldom,0.08220,232,2922,0.07224,0.09217
1985,North Rhine-Westphalia,Never,0.78158,2336,2922,0.76660,0.79657
1985,Hesse,At least once per week,0.10012,89,1115,0.08249,0.11774
1985,Hesse,At least once per month,0.06602,63,1115,0.05144,0.08060
1985,Hesse,Seldom,0.08404,78,1115,0.06775,0.10033
1985,Hesse,Never,0.74982,885,1115,0.72439,0.77526
1985,"Rhineland-Palatinate, Saarland",At least once per week,0.08369,62,756,0.06393,0.10344
1985,"Rhineland-Palatinate, Saarland",At least once per month,0.07303,52,756,0.05447,0.09159
1985,"Rhineland-Palatinate, Saarland",Seldom,0.10736,73,756,0.08528,0.12945
1985,"Rhineland-Palatinate, Saarland",Never,0.73591,569,756,0.70447,0.76736
1985,Baden-Wuerttemberg,At least once per week,0.09014,151,2021,0.07765,0.10263
1985,Baden-Wuerttemberg,At least once per month,0.05440,90,2021,0.04451,0.06429
1985,Baden-Wuerttemberg,Seldom,0.09362,159,2021,0.08091,0.10632
1985,Baden-Wuerttemberg,Never,0.76184,1621,2021,0.74326,0.78041
1985,Bavaria,At least once per week,0.09084,165,1870,0.07781,0.10387
1985,Bavaria,At least once per month,0.07412,133,1870,0.06224,0.08599
1985,Bavaria,Seldom,0.08684,158,1870,0.07407,0.09960
1985,Bavaria,Never,0.74821,1414,1870,0.72853,0.76789
1985,Berlin,Never,0.80806,297,297,0.76319,0.85292
1986,Schleswig-Holstein,Never,0.82452,259,259,0.77810,0.87093
1986,Hamburg,Never,0.87080,219,219,0.82627,0.91532
1986,Lower Saxony,At least once per week,0.08753,91,1095,0.07078,0.10428
1986,Lower Saxony,At least once per month,0.05108,59,1095,0.03803,0.06412
1986,Lower Saxony,Seldom,0.06586,72,1095,0.05116,0.08056
1986,Lower Saxony,Never,0.79553,873,1095,0.77164,0.81943
1986,Bremen,Never,0.88179,96,96,0.81687,0.94671
1986,North Rhine-Westphalia,At least once per week,0.07588,190,2821,0.06611,0.08566
1986,North Rhine-Westphalia,At least once per month,0.06106,161,2821,0.05222,0.06989
1986,North Rhine-Westphalia,Seldom,0.07236,202,2821,0.06280,0.08193
1986,North Rhine-Westphalia,Never,0.79070,2268,2821,0.77568,0.80571
1986,Hesse,At least once per week,0.09108,83,1037,0.07356,0.10860
1986,Hesse,At least once per month,0.05560,46,1037,0.04164,0.06955
1986,Hesse,Seldom,0.08020,67,1037,0.06366,0.09674
1986,Hesse,Never,0.77313,841,1037,0.74762,0.79863
1986,"Rhineland-Palatinate, Saarland",At least once per week,0.07486,54,761,0.05615,0.09357
1986,"Rhineland-Palatinate, Saarland",At least once per month,0.05606,42,761,0.03970,0.07241
1986,"Rhineland-Palatinate, Saarland",Seldom,0.08329,62,761,0.06365,0.10294
