year,age_gr,pgisced97,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Pre-primary Level,Never,1.0,131,10224,1.0,1.0
1985,17-29 y.,Primary Level,Never,1.0,147,10224,1.0,1.0
1985,17-29 y.,Lower Secondary Level,At least once per week,0.08745483432716945,66,10224,0.08716049044470571,0.0877491782096332
1985,17-29 y.,Lower Secondary Level,At least once per month,0.04606736986154546,34,10224,0.045848950325616235,0.04628578939747468
1985,17-29 y.,Lower Secondary Level,Seldom,0.0921398150734492,77,10224,0.091838466547004,0.0924411635998944
1985,17-29 y.,Lower Secondary Level,Never,0.7743379807378359,772,10224,0.7739024383430043,0.7747735231326675
1985,17-29 y.,Upper Secondary Level,At least once per week,0.09154475883931722,119,10224,0.09131691762547174,0.09177260005316269
1985,17-29 y.,Upper Secondary Level,At least once per month,0.05497876139191386,72,10224,0.05479867452764012,0.05515884825618761
1985,17-29 y.,Upper Secondary Level,Seldom,0.0993108569447229,134,10224,0.09907456462579342,0.09954714926365238
1985,17-29 y.,Upper Secondary Level,Never,0.754165622824046,1093,10224,0.753825435247919,0.754505810400173
1985,17-29 y.,Post-secondary Non-tertiary Level,Never,1.0,80,10224,1.0,1.0
1985,17-29 y.,First Stage of Tertiary Education,Never,1.0,82,10224,1.0,1.0
1985,17-29 y.,Second Stage of Tertiary Education,Never,1.0,89,10224,1.0,1.0
1985,30-45 y.,Primary Level,Never,1.0,303,10224,1.0,1.0
1985,30-45 y.,Lower Secondary Level,At least once per month,0.0640058910412218,33,10224,0.0636530091565573,0.06435877292588629
1985,30-45 y.,Lower Secondary Level,Seldom,0.08127526820965823,40,10224,0.08088130583902191,0.08166923058029456
1985,30-45 y.,Lower Secondary Level,Never,0.8547188407491201,567,10224,0.8542107993310437,0.8552268821671964
1985,30-45 y.,Upper Secondary Level,At least once per week,0.09893457611407866,162,10224,0.09872055012137702,0.0991486021067803
1985,30-45 y.,Upper Secondary Level,At least once per month,0.08219371355540113,128,10224,0.08199683014473616,0.0823905969660661
1985,30-45 y.,Upper Secondary Level,Seldom,0.09170336445635476,151,10224,0.09149648336602907,0.09191024554668044
1985,30-45 y.,Upper Secondary Level,Never,0.7271683458741655,1303,10224,0.7268490603935215,0.7274876313548094
1985,30-45 y.,Post-secondary Non-tertiary Level,Never,1.0,64,10224,1.0,1.0
1985,30-45 y.,First Stage of Tertiary Education,At least once per month,0.18563655584237193,34,10224,0.1848018055589366,0.18647130612580726
1985,30-45 y.,First Stage of Tertiary Education,Never,0.8143634441576281,143,10224,0.8135286938741928,0.8151981944410633
1985,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.12318630361269257,45,10224,0.12268641520767083,0.12368619201771432
1985,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.11869641895474238,42,10224,0.1182044703144061,0.11918836759507866
1985,30-45 y.,Second Stage of Tertiary Education,Seldom,0.13579291014366746,50,10224,0.1352718526463701,0.13631396764096482
1985,30-45 y.,Second Stage of Tertiary Education,Never,0.6223243672888975,220,10224,0.6215869622944887,0.6230617722833063
1985,46-65 y.,Primary Level,Never,1.0,325,10224,1.0,1.0
1985,46-65 y.,Lower Secondary Level,At least once per week,0.04680908186431971,39,10224,0.0466224695594918,0.04699569416914762
1985,46-65 y.,Lower Secondary Level,At least once per month,0.04041293799436382,37,10224,0.04023896266325594,0.04058691332547171
1985,46-65 y.,Lower Secondary Level,Seldom,0.06405422415300376,60,10224,0.06383791021713446,0.06427053808887305
1985,46-65 y.,Lower Secondary Level,Never,0.8487237559883126,841,10224,0.8484071976094081,0.8490403143672172
1985,46-65 y.,Upper Secondary Level,At least once per week,0.09717619103153834,133,10224,0.096967336828989,0.09738504523408767
1985,46-65 y.,Upper Secondary Level,At least once per month,0.07920745556129087,107,10224,0.07901702979632774,0.079397881326254
1985,46-65 y.,Upper Secondary Level,Seldom,0.09025792797654783,126,10224,0.0900558757688482,0.09045998018424746
1985,46-65 y.,Upper Secondary Level,Never,0.733358425430623,1083,10224,0.7330466198698521,0.733670230991394
1985,46-65 y.,Post-secondary Non-tertiary Level,Never,1.0,45,10224,1.0,1.0
1985,46-65 y.,First Stage of Tertiary Education,At least once per week,0.250073843372354,40,10224,0.24920374122408367,0.2509439455206243
1985,46-65 y.,First Stage of Tertiary Education,Never,0.7499261566276461,122,10224,0.7490560544793757,0.7507962587759164
1985,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.20926322483907245,34,10224,0.20839472242868884,0.21013172724945606
1985,46-65 y.,Second Stage of Tertiary Education,Never,0.7907367751609277,125,10224,0.789868272750544,0.7916052775713113
1985,66 and older,Lower Secondary Level,Never,1.0,380,10224,1.0,1.0
1985,66 and older,Upper Secondary Level,Never,1.0,438,10224,1.0,1.0
