"pli0096_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1985","17-29","(noch) kein Abschluss","","","",""
"Täglich","1985","17-29","Hauptschule","","","",""
"Täglich","1985","17-29","Realschule","","","",""
"Täglich","1985","17-29","(Fach-)Abitur","","","",""
"Täglich","1985","17-29","AkademikerIn","","","",""
"Täglich","1985","30-45","(noch) kein Abschluss","","","",""
"Täglich","1985","30-45","Hauptschule","","","",""
"Täglich","1985","30-45","Realschule","","","",""
"Täglich","1985","30-45","(Fach-)Abitur","","","",""
"Täglich","1985","30-45","AkademikerIn","","","",""
"Täglich","1985","46-65","(noch) kein Abschluss","","","",""
"Täglich","1985","46-65","Hauptschule","","","",""
"Täglich","1985","46-65","Realschule","","","",""
"Täglich","1985","46-65","(Fach-)Abitur","","","",""
"Täglich","1985","46-65","AkademikerIn","","","",""
"Täglich","1985","66","(noch) kein Abschluss","","","",""
"Täglich","1985","66","Hauptschule","","","",""
"Täglich","1985","66","Realschule","","","",""
"Täglich","1985","66","(Fach-)Abitur","","","",""
"Täglich","1985","66","AkademikerIn","","","",""
"Min 1x pro Woche","1985","17-29","(noch) kein Abschluss","26","","",""
"Min 1x pro Woche","1985","17-29","Hauptschule","69","0.0612856529666954","0.0484910343958542","0.0740802715375367"
"Min 1x pro Woche","1985","17-29","Realschule","94","0.117063142542056","0.0946302899849464","0.139495995099165"
"Min 1x pro Woche","1985","17-29","(Fach-)Abitur","45","0.118058269154615","0.0877353076397858","0.148381230669444"
"Min 1x pro Woche","1985","17-29","AkademikerIn","14","","",""
"Min 1x pro Woche","1985","30-45","(noch) kein Abschluss","6","","",""
"Min 1x pro Woche","1985","30-45","Hauptschule","144","0.0807927595529695","0.0688583604898343","0.0927271586161046"
"Min 1x pro Woche","1985","30-45","Realschule","59","0.118964422472099","0.0904154889072545","0.147513356036943"
"Min 1x pro Woche","1985","30-45","(Fach-)Abitur","18","","",""
"Min 1x pro Woche","1985","30-45","AkademikerIn","45","0.123186317840126","0.0890946005001071","0.157278035180144"
"Min 1x pro Woche","1985","46-65","(noch) kein Abschluss","5","","",""
"Min 1x pro Woche","1985","46-65","Hauptschule","157","0.079573671916383","0.0682105231681806","0.0909368206645853"
"Min 1x pro Woche","1985","46-65","Realschule","42","0.12091816130458","0.0867126726718748","0.155123649937285"
"Min 1x pro Woche","1985","46-65","(Fach-)Abitur","16","","",""
"Min 1x pro Woche","1985","46-65","AkademikerIn","25","","",""
"Min 1x pro Woche","1985","66","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1985","66","Hauptschule","","","",""
"Min 1x pro Woche","1985","66","Realschule","","","",""
