year,bula_h,sampreg,pli0096_h,proportion,n,lower_confidence,upper_confidence
1985,Nordrhein-Westfalen,Westdeutschland,Nie,0.21512066365007543,14443,0.20841919673261605,0.2218221305675348
1985,Baden-Wuerttemberg,Westdeutschland,Nie,0.14922699849170437,14443,0.1434159042673396,0.15503809271606914
1985,Bayern,Westdeutschland,Nie,0.13037330316742082,14443,0.12488183927782007,0.13586476705702158
1985,Hessen,Westdeutschland,Nie,0.08163650075414781,14443,0.07717093114730704,0.08610207036098859
1985,Niedersachsen,Westdeutschland,Nie,0.07833710407239819,14443,0.07395485382564079,0.08271935431915559
1985,"Rheinland-Pfalz,Saarland",Westdeutschland,Nie,0.05175339366515837,14443,0.04814048127065783,0.05536630605965891
1985,Berlin,Westdeutschland,Nie,0.027149321266968326,14443,0.024498808214844837,0.029799834319091816
1985,Schleswig-Holstein,Westdeutschland,Nie,0.025829562594268475,14443,0.023242521277835843,0.028416603910701107
1985,Hamburg,Westdeutschland,Nie,0.021964555052790345,14443,0.01957418098938777,0.02435492911619292
1985,Nordrhein-Westfalen,Westdeutschland,Seltener,0.021493212669683258,14443,0.01912805577713953,0.023858369562226985
1985,Nordrhein-Westfalen,Westdeutschland,Min 1x pro Woche,0.017722473604826545,14443,0.015570650141171637,0.019874297068481456
1985,Bayern,Westdeutschland,Min 1x pro Woche,0.014894419306184013,14443,0.012918903342915969,0.016869935269452057
1985,Nordrhein-Westfalen,Westdeutschland,Min 1x pro Monat,0.014800150829562594,14443,0.012830802201896476,0.016769499457228713
1985,Bayern,Westdeutschland,Seltener,0.014705882352941176,14443,0.012742721639676838,0.016669043066205515
1985,Baden-Wuerttemberg,Westdeutschland,Seltener,0.014423076923076924,14443,0.012478605393727537,0.01636754845242631
1985,Baden-Wuerttemberg,Westdeutschland,Min 1x pro Woche,0.013480392156862746,14443,0.011599640341260774,0.015361143972464717
1985,Bayern,Westdeutschland,Min 1x pro Monat,0.012443438914027148,14443,0.01063552159489588,0.014251356233158418
1985,Bremen,Westdeutschland,Nie,0.008861236802413273,14443,0.0073328201252125455,0.010389653479614
1985,Niedersachsen,Westdeutschland,Min 1x pro Woche,0.00857843137254902,14443,0.007074387558527198,0.010082475186570843
1985,Baden-Wuerttemberg,Westdeutschland,Min 1x pro Monat,0.008295625942684766,14443,0.006816370892429927,0.009774880992939605
1985,Hessen,Westdeutschland,Min 1x pro Woche,0.008107088989441931,14443,0.006644601266497886,0.009569576712385976
1985,Hessen,Westdeutschland,Seltener,0.007352941176470588,14443,0.005959606833961458,0.008746275518979718
1985,"Rheinland-Pfalz,Saarland",Westdeutschland,Seltener,0.006787330316742082,14443,0.005448276647530389,0.008126383985953774
1985,Niedersachsen,Westdeutschland,Seltener,0.006787330316742082,14443,0.005448276647530389,0.008126383985953774
1985,Niedersachsen,Westdeutschland,Min 1x pro Monat,0.005938914027149321,14443,0.0046858091466769145,0.0071920189076217274
1985,Hessen,Westdeutschland,Min 1x pro Monat,0.0058446455505279035,14443,0.0046014667864591316,0.0070878243145966755
1985,"Rheinland-Pfalz,Saarland",Westdeutschland,Min 1x pro Woche,0.0058446455505279035,14443,0.0046014667864591316,0.0070878243145966755
1985,"Rheinland-Pfalz,Saarland",Westdeutschland,Min 1x pro Monat,0.004807692307692308,14443,0.003679588140509599,0.005935796474875017
1985,Berlin,Westdeutschland,Min 1x pro Woche,0.0021681749622926095,14443,0.0014095917910971595,0.0029267581334880594
1985,Berlin,Westdeutschland,Min 1x pro Monat,0.0021681749622926095,14443,0.0014095917910971595,0.0029267581334880594
1985,Schleswig-Holstein,Westdeutschland,Seltener,0.0020739064856711916,14443,0.0013319624637857263,0.002815850507556657
1985,Schleswig-Holstein,Westdeutschland,Min 1x pro Monat,0.0020739064856711916,14443,0.0013319624637857263,0.002815850507556657
