year,regtyp,sex,pli0096_h,proportion,n,lower_confidence,upper_confidence
1985,Staedtischer Raum,weiblich,Nie,0.33927224736048267,14443,0.33155054943383994,0.3469939452871254
1985,Staedtischer Raum,maennlich,Nie,0.28996983408748117,14443,0.28256965592116406,0.2973700122537983
1985,Laendlicher Raum,weiblich,Nie,0.0916289592760181,14443,0.08692378858818513,0.09633412996385106
1985,Laendlicher Raum,maennlich,Nie,0.0693815987933635,14443,0.06523745004708442,0.07352574753964258
1985,Staedtischer Raum,maennlich,Min 1x pro Woche,0.03751885369532428,14443,0.03441966326936025,0.04061804412128831
1985,Staedtischer Raum,maennlich,Seltener,0.03120286576168929,14443,0.028367291472664903,0.03403844005071368
1985,Staedtischer Raum,maennlich,Min 1x pro Monat,0.027243589743589744,14443,0.024588607736016392,0.029898571751163096
1985,Staedtischer Raum,weiblich,Seltener,0.02696078431372549,14443,0.024319234538440877,0.029602334089010106
1985,Staedtischer Raum,weiblich,Min 1x pro Woche,0.01847662141779789,14443,0.01628033502914431,0.02067290780645147
1985,Staedtischer Raum,weiblich,Min 1x pro Monat,0.01498868778280543,14443,0.013007024870599147,0.016970350695011713
1985,Laendlicher Raum,maennlich,Min 1x pro Woche,0.012443438914027148,14443,0.01063552159489588,0.014251356233158418
1985,Laendlicher Raum,maennlich,Seltener,0.011689291101055807,14443,0.009936346450572522,0.013442235751539092
1985,Laendlicher Raum,maennlich,Min 1x pro Monat,0.010746606334841629,14443,0.009065029134781128,0.01242818353490213
1985,Laendlicher Raum,weiblich,Seltener,0.008107088989441931,14443,0.006644601266497886,0.009569576712385976
1985,Laendlicher Raum,weiblich,Min 1x pro Woche,0.005656108597285068,14443,0.004433029510177916,0.006879187684392219
1985,Laendlicher Raum,weiblich,Min 1x pro Monat,0.00471342383107089,14443,0.00359638136017301,0.005830466301968769
1986,Staedtischer Raum,weiblich,Nie,0.33899469860592973,13742,0.331080079414178,0.34690931779768147
1986,Staedtischer Raum,maennlich,Nie,0.29314745729432556,13742,0.28553651240346756,0.30075840218518357
1986,Laendlicher Raum,weiblich,Nie,0.08992735126644413,13742,0.08514418991446288,0.09471051261842539
1986,Laendlicher Raum,maennlich,Nie,0.07196151580600825,13742,0.06764071501597593,0.07628231659604057
1986,Staedtischer Raum,maennlich,Min 1x pro Woche,0.03897506381307677,13742,0.03573918800590587,0.04221093962024767
1986,Staedtischer Raum,maennlich,Seltener,0.02984488513646181,13742,0.02699985648770195,0.032689913785221666
1986,Staedtischer Raum,maennlich,Min 1x pro Monat,0.027390536029844884,13742,0.024661554410538127,0.03011951764915164
1986,Staedtischer Raum,weiblich,Seltener,0.024150795209110544,13742,0.021584018007630365,0.026717572410590723
1986,Staedtischer Raum,weiblich,Min 1x pro Monat,0.017180443746318476,13742,0.015007816695892899,0.019353070796744053
1986,Staedtischer Raum,weiblich,Min 1x pro Woche,0.016198704103671708,13742,0.014088011780401298,0.01830939642694212
1986,Laendlicher Raum,maennlich,Min 1x pro Woche,0.012271745533084626,13742,0.010430960780289354,0.014112530285879898
1986,Laendlicher Raum,maennlich,Min 1x pro Monat,0.01021009228352641,13742,0.008529286848940219,0.0118908977181126
1986,Laendlicher Raum,maennlich,Seltener,0.010111918319261733,13742,0.008439130246009476,0.011784706392513989
1986,Laendlicher Raum,weiblich,Seltener,0.008933830748085608,13742,0.007360567906865439,0.010507093589305776
1986,Laendlicher Raum,weiblich,Min 1x pro Woche,0.0055959159630865896,13742,0.004348681390243684,0.006843150535929495
1986,Laendlicher Raum,weiblich,Min 1x pro Monat,0.005105046141763205,13742,0.003913476172759854,0.006296616110766555
1988,Staedtischer Raum,weiblich,Nie,0.33239962651727356,12817,0.32424411081455295,0.34055514221999417
