"plh0035","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1999","(Fach-)Abitur","516","0.447803738893772","0.41886149811083","0.476745979676714"
"Einige Sorgen","1999","(noch) kein Abschluss","288","","",""
"Einige Sorgen","1999","AkademikerIn","1079","","",""
"Einige Sorgen","1999","Hauptschule","2904","","",""
"Einige Sorgen","1999","Realschule","1714","","",""
"Grosse Sorgen","1999","(Fach-)Abitur","119","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","211","","",""
"Grosse Sorgen","1999","AkademikerIn","210","","",""
"Grosse Sorgen","1999","Hauptschule","1632","","",""
"Grosse Sorgen","1999","Realschule","420","0.132987203995131","0.121533009500751","0.144441398489511"
"Keine Sorgen","1999","(Fach-)Abitur","499","0.448445966763896","0.419499826828539","0.477392106699254"
"Keine Sorgen","1999","(noch) kein Abschluss","283","","",""
"Keine Sorgen","1999","AkademikerIn","666","0.344487759399605","0.323423217901334","0.365552300897875"
"Keine Sorgen","1999","Hauptschule","1474","","",""
"Keine Sorgen","1999","Realschule","1242","","",""
"Einige Sorgen","2000","(Fach-)Abitur","1054","","",""
"Einige Sorgen","2000","(noch) kein Abschluss","309","0.337911981231227","0.307095470640972","0.368728491821482"
"Einige Sorgen","2000","AkademikerIn","1984","","",""
"Einige Sorgen","2000","Hauptschule","5145","0.48585962712291","0.476345905239882","0.495373349005939"
"Einige Sorgen","2000","Realschule","3041","0.488864360860934","0.476470543295407","0.501258178426461"
"Grosse Sorgen","2000","(Fach-)Abitur","259","","",""
"Grosse Sorgen","2000","(noch) kein Abschluss","163","","",""
"Grosse Sorgen","2000","AkademikerIn","416","0.11414406046648","0.104024424749023","0.124263696183936"
"Grosse Sorgen","2000","Hauptschule","2558","","",""
"Grosse Sorgen","2000","Realschule","826","0.138387326228479","0.129825882093528","0.14694877036343"
"Keine Sorgen","2000","(Fach-)Abitur","1022","","",""
"Keine Sorgen","2000","(noch) kein Abschluss","433","0.478299539497573","0.445754530734035","0.510844548261112"
"Keine Sorgen","2000","AkademikerIn","1393","","",""
"Keine Sorgen","2000","Hauptschule","2899","","",""
"Keine Sorgen","2000","Realschule","2382","","",""
"Einige Sorgen","2001","(Fach-)Abitur","991","0.446069780384517","0.425340741624285","0.466798819144749"
"Einige Sorgen","2001","(noch) kein Abschluss","320","0.351636762395142","0.31970610671888","0.383567418071404"
"Einige Sorgen","2001","AkademikerIn","1877","","",""
"Einige Sorgen","2001","Hauptschule","4561","0.492601290324917","0.482454092609604","0.502748488040229"
