"plh0035","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1999","16-34 J.","männlich","853","0.376201786692607","0.356203001054701","0.396200572330513"
"Einige Sorgen","1999","16-34 J.","weiblich","1026","0.433034675643036","0.412906881164731","0.453162470121342"
"Einige Sorgen","1999","35-65 J.","männlich","1875","0.514305350192023","0.497958556960907","0.530652143423138"
"Einige Sorgen","1999","35-65 J.","weiblich","1988","0.538222667995612","0.522097878557036","0.554347457434188"
"Einige Sorgen","1999","66 und älter","männlich","404","0.543806775623048","0.508136710297989","0.579476840948106"
"Einige Sorgen","1999","66 und älter","weiblich","498","0.477107762277089","0.44678082380753","0.507434700746648"
"Große Sorgen","1999","16-34 J.","männlich","232","0.0936409975513887","0.0816140815624874","0.10566791354029"
"Große Sorgen","1999","16-34 J.","weiblich","285","0.116885419498909","0.103834374095633","0.129936464902184"
"Große Sorgen","1999","35-65 J.","männlich","664","0.175577309899187","0.163133609339645","0.188021010458729"
"Große Sorgen","1999","35-65 J.","weiblich","780","0.204863195736404","0.191809014005872","0.217917377466935"
"Große Sorgen","1999","66 und älter","männlich","252","0.321215929550368","0.287775523648151","0.354656335452584"
"Große Sorgen","1999","66 und älter","weiblich","445","0.420179672107263","0.390210243070879","0.450149101143647"
"Keine Sorgen","1999","16-34 J.","männlich","1169","0.530157215756004","0.509553300532328","0.550761130979681"
"Keine Sorgen","1999","16-34 J.","weiblich","1017","0.450079904858055","0.429870607714669","0.470289202001441"
"Keine Sorgen","1999","35-65 J.","männlich","1052","0.310117339908791","0.294989008558655","0.325245671258927"
"Keine Sorgen","1999","35-65 J.","weiblich","904","0.256914136267984","0.242781920643812","0.271046351892156"
"Keine Sorgen","1999","66 und älter","männlich","93","0.134977294826585","0.110506318571346","0.159448271081823"
"Keine Sorgen","1999","66 und älter","weiblich","99","0.102712565615648","0.0842797442967153","0.121145386934581"
"Einige Sorgen","2000","16-34 J.","männlich","1248","0.366789007605759","0.350563634764059","0.383014380447459"
"Einige Sorgen","2000","16-34 J.","weiblich","1508","0.402893910648953","0.386940407279058","0.418847414018849"
"Einige Sorgen","2000","35-65 J.","männlich","3373","0.510147844403639","0.49806651544379","0.522229173363489"
"Einige Sorgen","2000","35-65 J.","weiblich","3573","0.521806799921755","0.509901647432008","0.533711952411503"
"Einige Sorgen","2000","66 und älter","männlich","837","0.55540729954897","0.53047526156814","0.5803393375298"
"Einige Sorgen","2000","66 und älter","weiblich","1014","0.497916285775778","0.476235244276613","0.519597327274943"
"Große Sorgen","2000","16-34 J.","männlich","309","0.089761174497894","0.0801376479679472","0.0993847010278408"
"Große Sorgen","2000","16-34 J.","weiblich","404","0.113403422048606","0.103089803333637","0.123717040763575"
"Große Sorgen","2000","35-65 J.","männlich","1103","0.165435965114213","0.156455910719732","0.174416019508695"
"Große Sorgen","2000","35-65 J.","weiblich","1257","0.187948309189026","0.178637456697553","0.197259161680498"
"Große Sorgen","2000","66 und älter","männlich","414","0.267734872910545","0.245519302359981","0.289950443461109"
"Große Sorgen","2000","66 und älter","weiblich","753","0.363853723888242","0.342991729974154","0.38471571780233"
"Keine Sorgen","2000","16-34 J.","männlich","1832","0.543449817896347","0.526679693250739","0.560219942541956"
"Keine Sorgen","2000","16-34 J.","weiblich","1719","0.483702667302441","0.46744814733294","0.499957187271941"
"Keine Sorgen","2000","35-65 J.","männlich","2101","0.324416190482147","0.313101959342759","0.335730421621536"
