"plh0035","year","age_gr","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1999","17-34","(Fach-)Abitur","269","0.348862757342027","0.313755651002128","0.383969863681926"
"Einige Sorgen","1999","17-34","(noch) kein Abschluss","114","0.259511767049666","0.216498814854636","0.302524719244696"
"Einige Sorgen","1999","17-34","AkademikerIn","206","0.487951692727789","0.43986023687143","0.536043148584148"
"Einige Sorgen","1999","17-34","Hauptschule","509","0.411508686394294","0.384433166041014","0.438584206747573"
"Einige Sorgen","1999","17-34","Realschule","687","0.449650383291741","0.424633913604778","0.474666852978703"
"Einige Sorgen","1999","35-65","(Fach-)Abitur","215","0.572713205273822","0.522578250907785","0.62284815963986"
"Einige Sorgen","1999","35-65","(noch) kein Abschluss","146","0.453130720494943","0.398674299901043","0.507587141088843"
"Einige Sorgen","1999","35-65","AkademikerIn","755","0.548748863407294","0.522145017240396","0.575352709574193"
"Einige Sorgen","1999","35-65","Hauptschule","1774","0.517134552175819","0.500498562017194","0.533770542334445"
"Einige Sorgen","1999","35-65","Realschule","932","0.529612488357831","0.505645272203898","0.553579704511765"
"Einige Sorgen","1999","66 +","(Fach-)Abitur","32","0.622558892638341","0.490805672477799","0.754312112798883"
"Einige Sorgen","1999","66 +","(noch) kein Abschluss","28","","",""
"Einige Sorgen","1999","66 +","AkademikerIn","118","0.611982668642704","0.543762124502849","0.680203212782558"
"Einige Sorgen","1999","66 +","Hauptschule","621","0.482646139317036","0.455217689439043","0.510074589195029"
"Einige Sorgen","1999","66 +","Realschule","95","0.516232894666812","0.445361266215789","0.587104523117836"
"Grosse Sorgen","1999","17-34","(Fach-)Abitur","52","0.0586991013916597","0.0413845427652841","0.0760136600180353"
"Grosse Sorgen","1999","17-34","(noch) kein Abschluss","54","0.1217346807718","0.0896511858592259","0.153818175684374"
"Grosse Sorgen","1999","17-34","AkademikerIn","19","","",""
"Grosse Sorgen","1999","17-34","Hauptschule","202","0.165849285774503","0.145385011598526","0.186313559950479"
"Grosse Sorgen","1999","17-34","Realschule","150","0.0893330713095209","0.0749895719138262","0.103676570705216"
"Grosse Sorgen","1999","35-65","(Fach-)Abitur","54","0.14602006114876","0.110231652537002","0.181808469760518"
"Grosse Sorgen","1999","35-65","(noch) kein Abschluss","127","0.37963794687293","0.326549136320502","0.432726757425358"
"Grosse Sorgen","1999","35-65","AkademikerIn","132","0.0891789862105692","0.0739420993405266","0.104415873080612"
"Grosse Sorgen","1999","35-65","Hauptschule","904","0.24635243030203","0.232007567832195","0.260697292771865"
"Grosse Sorgen","1999","35-65","Realschule","207","0.126743186165421","0.110768074804201","0.14271829752664"
"Grosse Sorgen","1999","66 +","(Fach-)Abitur","13","","",""
"Grosse Sorgen","1999","66 +","(noch) kein Abschluss","30","0.493100385551678","0.36865439819057","0.617546372912786"
"Grosse Sorgen","1999","66 +","AkademikerIn","59","0.292716013800306","0.229015899867743","0.35641612773287"
"Grosse Sorgen","1999","66 +","Hauptschule","526","0.406182754074732","0.379225221304105","0.433140286845358"
"Grosse Sorgen","1999","66 +","Realschule","63","0.321767580650803","0.255516674536837","0.388018486764769"
"Keine Sorgen","1999","17-34","(Fach-)Abitur","387","0.592438141266313","0.55624304511669","0.628633237415937"
"Keine Sorgen","1999","17-34","(noch) kein Abschluss","231","0.618753552178535","0.571096914451567","0.666410189905502"
"Keine Sorgen","1999","17-34","AkademikerIn","190","0.472203731890414","0.42417270102817","0.520234762752658"
"Keine Sorgen","1999","17-34","Hauptschule","558","0.422642027831204","0.395463482766431","0.449820572895976"
"Keine Sorgen","1999","17-34","Realschule","682","0.461016545398738","0.435948805667013","0.486084285130463"
"Keine Sorgen","1999","35-65","(Fach-)Abitur","105","0.281266733577418","0.235699218283052","0.326834248871784"
"Keine Sorgen","1999","35-65","(noch) kein Abschluss","48","0.167231332632127","0.126407235519893","0.208055429744361"
