"plj0589","year","sex","n","percent","lower_confidence","upper_confidence","NA"
"Sehr oft","2013","maennlich","95","0.0100387180534245","0.0082172763848168","0.0118601597220322",""
"Sehr oft","2013","weiblich","191","0.0122122779334119","0.0103879780289756","0.0140365778378481",""
"Oft","2013","maennlich","343","0.0332206550828721","0.0299462318571326","0.0364950783086116",""
"Oft","2013","weiblich","574","0.0463871578083044","0.0428937361289701","0.0498805794876387",""
"Manchmal","2013","maennlich","1037","0.0963634933829499","0.0909718620773003","0.1017551246886",""
"Manchmal","2013","weiblich","1517","0.10792208821761","0.102768346536077","0.113075829899143",""
"Selten","2013","maennlich","3330","0.297342203616084","0.288990650511288","0.305693756720879",""
"Selten","2013","weiblich","3607","0.266526633241689","0.259182702631296","0.273870563852082",""
"Nie","2013","maennlich","6702","0.56303492986467","0.553972220246816","0.572097639482523",""
"Nie","2013","weiblich","8035","0.566951842798985","0.558721701967968","0.575181983630003",""
"Sehr oft","2014","maennlich","","","","",""
"Sehr oft","2014","weiblich","","","","",""
"Oft","2014","maennlich","","","","",""
"Oft","2014","weiblich","","","","",""
"Manchmal","2014","maennlich","","","","",""
"Manchmal","2014","weiblich","","","","",""
"Selten","2014","maennlich","","","","",""
"Selten","2014","weiblich","","","","",""
"Nie","2014","maennlich","","","","",""
"Nie","2014","weiblich","","","","",""
"Sehr oft","2015","maennlich","","","","",""
"Sehr oft","2015","weiblich","","","","",""
"Oft","2015","maennlich","","","","",""
"Oft","2015","weiblich","","","","",""
"Manchmal","2015","maennlich","","","","",""
"Manchmal","2015","weiblich","","","","",""
"Selten","2015","maennlich","","","","",""
"Selten","2015","weiblich","","","","",""
"Nie","2015","maennlich","","","","",""
"Nie","2015","weiblich","","","","",""
"Sehr oft","2016","maennlich","97","0.0636522271958696","0.0519921227548778","0.0753123316368614",""
"Sehr oft","2016","weiblich","74","0.0755688511523921","0.060443419404637","0.0906942829001472",""
"Oft","2016","maennlich","200","0.141252112377262","0.124617703820527","0.157886520933997",""
"Oft","2016","weiblich","149","0.135674068120927","0.116077217591277","0.155270918650576",""
"Manchmal","2016","maennlich","367","0.230418087603311","0.210305740420785","0.250530434785838",""
"Manchmal","2016","weiblich","272","0.236648050093209","0.21232528419707","0.260970815989348",""
"Selten","2016","maennlich","309","0.176733913193074","0.158515644329173","0.194952182056974",""
"Selten","2016","weiblich","197","0.167042409963294","0.145696046324222","0.188388773602366",""
"Nie","2016","maennlich","711","0.387943659630483","0.364670407352184","0.411216911908782",""
"Nie","2016","weiblich","481","0.385066620670178","0.357219451340352","0.412913790000003",""
"Sehr oft","2017","maennlich","165","0.0104880186608059","0.00874803393318123","0.0122280033884305",""
"Sehr oft","2017","weiblich","226","0.0122905009450373","0.0105334387533509","0.0140475631367236",""
"Oft","2017","maennlich","501","0.0354472395090639","0.0322890194609062","0.0386054595572217",""
"Oft","2017","weiblich","684","0.0400333396820121","0.0369070680334941","0.04315961133053",""
"Manchmal","2017","maennlich","1331","0.093516290743185","0.0885433667649553","0.0984892147214147",""
"Manchmal","2017","weiblich","1793","0.113878713235096","0.108812825203892","0.118944601266299",""
"Selten","2017","maennlich","3568","0.28540134349736","0.277687918048786","0.293114768945935",""
"Selten","2017","weiblich","3839","0.252156322270687","0.245231190041707","0.259081454499667",""
"Nie","2017","maennlich","7603","0.575147107589585","0.566704104625039","0.583590110554131",""
"Nie","2017","weiblich","8563","0.581641123867168","0.573774474874794","0.589507772859542",""
"Sehr oft","2018","maennlich","11","","","",""
"Sehr oft","2018","weiblich","14","","","",""
"Oft","2018","maennlich","16","","","",""
"Oft","2018","weiblich","17","","","",""
"Manchmal","2018","maennlich","40","0.254171605580475","0.189103698109567","0.319239513051383",""
"Manchmal","2018","weiblich","43","0.215922473409382","0.159180970778383","0.272663976040381",""
"Selten","2018","maennlich","29","","","",""
"Selten","2018","weiblich","32","0.151324649904183","0.101905184931083","0.200744114877283",""
"Nie","2018","maennlich","76","0.420903117698225","0.347121095802799","0.49468513959365",""
"Nie","2018","weiblich","96","0.51965616555388","0.450758174502161","0.588554156605598",""
"Sehr oft","2019","maennlich","5","","","",""
"Sehr oft","2019","weiblich","3","","","",""
"Oft","2019","maennlich","7","","","",""
"Oft","2019","weiblich","11","","","",""
"Manchmal","2019","maennlich","23","","","",""
"Manchmal","2019","weiblich","31","0.202550697542708","0.133728132324452","0.271373262760964",""
"Selten","2019","maennlich","25","","","",""
"Selten","2019","weiblich","25","","","",""
"Nie","2019","maennlich","64","0.569629355305057","0.482481892055247","0.656776818554866",""
"Nie","2019","weiblich","61","0.472698961487783","0.387205267844924","0.558192655130642",""
"Sehr oft","2020","maennlich","22","","","",""
"Sehr oft","2020","weiblich","12","","","",""
"Oft","2020","maennlich","59","0.0943676607162651","0.0716477254785869","0.117087595953943",""
"Oft","2020","weiblich","35","0.110207044404183","0.0771634180432128","0.143250670765154",""
"Manchmal","2020","maennlich","148","0.232388405497575","0.199563950481563","0.265212860513586",""
"Manchmal","2020","weiblich","96","0.290374713543978","0.242475047895294","0.338274379192663",""
"Selten","2020","maennlich","171","0.22496803110937","0.192516159779554","0.257419902439187",""
"Selten","2020","weiblich","84","0.19822084928976","0.156153941536557","0.240287757042963",""
"Nie","2020","maennlich","236","0.409622801683359","0.371404060116056","0.447841543250661",""
"Nie","2020","weiblich","118","0.366762651119638","0.315909911352056","0.417615390887219",""
