year,sampreg,sex,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,West,male,Very often,0.00950,66,8913,0.00749,0.01151
2013,West,male,Often,0.03043,244,8913,0.02687,0.03400
2013,West,male,Sometimes,0.08847,738,8913,0.08257,0.09436
2013,West,male,Seldom,0.28848,2522,8913,0.27907,0.29788
2013,West,male,Never,0.58312,5343,8913,0.57288,0.59336
2013,West,female,Very often,0.01082,138,10822,0.00887,0.01277
2013,West,female,Often,0.04473,424,10822,0.04083,0.04862
2013,West,female,Sometimes,0.10163,1116,10822,0.09594,0.10732
2013,West,female,Seldom,0.26334,2722,10822,0.25504,0.27164
2013,West,female,Never,0.57948,6422,10822,0.57018,0.58879
2013,East,male,Often,0.04401,99,2565,0.03607,0.05195
2013,East,male,Sometimes,0.12739,299,2565,0.11449,0.14030
2013,East,male,Seldom,0.33298,808,2565,0.31474,0.35123
2013,East,male,Never,0.48364,1359,2565,0.46430,0.50298
2013,East,female,Very often,0.01737,53,3102,0.01277,0.02197
2013,East,female,Often,0.05266,150,3102,0.04480,0.06053
2013,East,female,Sometimes,0.13506,401,3102,0.12303,0.14709
2013,East,female,Seldom,0.28098,885,3102,0.26516,0.29680
2013,East,female,Never,0.51392,1613,3102,0.49633,0.53151
2017,West,male,Very often,0.00958,133,10501,0.00772,0.01145
2017,West,male,Often,0.03362,391,10501,0.03017,0.03707
2017,West,male,Sometimes,0.08889,1046,10501,0.08345,0.09434
2017,West,male,Seldom,0.28128,2783,10501,0.27267,0.28988
2017,West,male,Never,0.58663,6148,10501,0.57721,0.59605
2017,West,female,Very often,0.01220,184,11987,0.01024,0.01417
2017,West,female,Often,0.03928,534,11987,0.03581,0.04276
2017,West,female,Sometimes,0.11073,1389,11987,0.10511,0.11635
2017,West,female,Seldom,0.25017,3028,11987,0.24241,0.25792
2017,West,female,Never,0.58762,6852,11987,0.57880,0.59643
2017,East,male,Very often,0.01408,32,2664,0.00961,0.01856
2017,East,male,Often,0.04196,110,2664,0.03435,0.04958
2017,East,male,Sometimes,0.10999,284,2664,0.09811,0.12187
2017,East,male,Seldom,0.30724,785,2664,0.28972,0.32477
2017,East,male,Never,0.52672,1453,2664,0.50776,0.54569
2017,East,female,Very often,0.01265,42,3115,0.00872,0.01657
2017,East,female,Often,0.04494,149,3115,0.03766,0.05221
2017,East,female,Sometimes,0.12866,404,3115,0.11690,0.14042
2017,East,female,Seldom,0.26294,810,3115,0.24747,0.27840
2017,East,female,Never,0.55082,1710,3115,0.53335,0.56829
2021,West,male,Very often,0.01520,188,7580,0.01245,0.01796
2021,West,male,Often,0.04863,429,7580,0.04379,0.05347
2021,West,male,Sometimes,0.11948,940,7580,0.11218,0.12678
2021,West,male,Seldom,0.30377,2032,7580,0.29341,0.31412
2021,West,male,Never,0.51292,3991,7580,0.50167,0.52417
2021,West,female,Very often,0.01649,206,8016,0.01370,0.01927
2021,West,female,Often,0.06391,584,8016,0.05856,0.06927
2021,West,female,Sometimes,0.12431,1096,8016,0.11709,0.13153
2021,West,female,Seldom,0.30511,2196,8016,0.29503,0.31519
2021,West,female,Never,0.49018,3934,8016,0.47924,0.50113
2021,East,male,Very often,0.01804,39,1862,0.01199,0.02408
2021,East,male,Often,0.05358,102,1862,0.04335,0.06381
2021,East,male,Sometimes,0.10944,203,1862,0.09526,0.12363
2021,East,male,Seldom,0.33169,541,1862,0.31030,0.35309
2021,East,male,Never,0.48725,977,1862,0.46454,0.50996
2021,East,female,Very often,0.03033,52,2034,0.02288,0.03779
2021,East,female,Often,0.06662,137,2034,0.05578,0.07746
2021,East,female,Sometimes,0.11521,219,2034,0.10133,0.12909
2021,East,female,Seldom,0.31574,593,2034,0.29553,0.33594
2021,East,female,Never,0.47210,1033,2034,0.45040,0.49380
