"plj0589","year","age_gr","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2013","17-34","(noch) kein Abschluss","6","","",""
"Sehr oft","2013","17-34","Hauptschule","21","","",""
"Sehr oft","2013","17-34","Realschule","19","","",""
"Sehr oft","2013","17-34","(Fach-)Abitur","4","","",""
"Sehr oft","2013","17-34","AkademikerIn","6","","",""
"Sehr oft","2013","35-65","(noch) kein Abschluss","7","","",""
"Sehr oft","2013","35-65","Hauptschule","81","0.0219087826582697","0.0173981864037908","0.0264193789127485"
"Sehr oft","2013","35-65","Realschule","59","0.0120127264744897","0.0089479791509695","0.0150774737980099"
"Sehr oft","2013","35-65","(Fach-)Abitur","15","","",""
"Sehr oft","2013","35-65","AkademikerIn","22","","",""
"Sehr oft","2013","66 +","(noch) kein Abschluss","3","","",""
"Sehr oft","2013","66 +","Hauptschule","32","0.0113280499366757","0.00730709378133955","0.0153490060920118"
"Sehr oft","2013","66 +","Realschule","2","","",""
"Sehr oft","2013","66 +","(Fach-)Abitur","2","","",""
"Sehr oft","2013","66 +","AkademikerIn","2","","",""
"Oft","2013","17-34","(noch) kein Abschluss","32","0.0761513749870748","0.0539440067064783","0.0983587432676713"
"Oft","2013","17-34","Hauptschule","44","0.0484096690409301","0.0351335144237077","0.0616858236581524"
"Oft","2013","17-34","Realschule","59","0.0459536874135283","0.0355130080012847","0.0563943668257718"
"Oft","2013","17-34","(Fach-)Abitur","31","0.0265827636015256","0.0173811578190402","0.0357843693840111"
"Oft","2013","17-34","AkademikerIn","14","","",""
"Oft","2013","35-65","(noch) kein Abschluss","25","","",""
"Oft","2013","35-65","Hauptschule","189","0.0451356286668325","0.0387387848953241","0.0515324724383409"
"Oft","2013","35-65","Realschule","190","0.0412086287695047","0.0356167938063465","0.046800463732663"
"Oft","2013","35-65","(Fach-)Abitur","63","0.0431102052283685","0.0338600588247369","0.0523603516320001"
"Oft","2013","35-65","AkademikerIn","84","0.029672888008947","0.0243282363069879","0.035017539710906"
"Oft","2013","66 +","(noch) kein Abschluss","3","","",""
"Oft","2013","66 +","Hauptschule","103","0.0461965718759955","0.0382210342595076","0.0541721094924834"
"Oft","2013","66 +","Realschule","23","","",""
"Oft","2013","66 +","(Fach-)Abitur","8","","",""
"Oft","2013","66 +","AkademikerIn","20","","",""
"Manchmal","2013","17-34","(noch) kein Abschluss","51","0.0849911944697291","0.0616427788779742","0.108339610061484"
"Manchmal","2013","17-34","Hauptschule","167","0.157683945360715","0.135140903746939","0.180226986974492"
"Manchmal","2013","17-34","Realschule","187","0.108517773269076","0.0930085291987026","0.124027017339449"
"Manchmal","2013","17-34","(Fach-)Abitur","107","0.0808190992964779","0.0652281865351069","0.0964100120578489"
"Manchmal","2013","17-34","AkademikerIn","66","0.0813147829368143","0.062398795173434","0.100230770700195"
"Manchmal","2013","35-65","(noch) kein Abschluss","41","0.249892473640796","0.187672479126663","0.312112468154929"
"Manchmal","2013","35-65","Hauptschule","484","0.112032478643425","0.10231383485124","0.121751122435611"
"Manchmal","2013","35-65","Realschule","494","0.105897495742764","0.0972411477786778","0.11455384370685"
"Manchmal","2013","35-65","(Fach-)Abitur","177","0.10764944310958","0.093533781354117","0.121765104865042"
"Manchmal","2013","35-65","AkademikerIn","276","0.0808238672165623","0.0722386833761444","0.0894090510569803"
"Manchmal","2013","66 +","(noch) kein Abschluss","8","","",""
"Manchmal","2013","66 +","Hauptschule","258","0.104112226387928","0.0925083438090083","0.115716108966848"
"Manchmal","2013","66 +","Realschule","64","0.100691366997509","0.0797207915016993","0.121661942493319"
"Manchmal","2013","66 +","(Fach-)Abitur","25","","",""
"Manchmal","2013","66 +","AkademikerIn","69","0.0637675917882774","0.0496149605483411","0.0779202230282137"
"Selten","2013","17-34","(noch) kein Abschluss","160","0.255282781066029","0.218776779277936","0.291788782854121"
"Selten","2013","17-34","Hauptschule","315","0.335463001948756","0.306257603764265","0.364668400133247"
"Selten","2013","17-34","Realschule","448","0.301853445238075","0.278962948497918","0.324743941978232"
"Selten","2013","17-34","(Fach-)Abitur","332","0.278440891748349","0.252800981114924","0.304080802381774"
"Selten","2013","17-34","AkademikerIn","212","0.258013016936209","0.227731344411529","0.288294689460888"
"Selten","2013","35-65","(noch) kein Abschluss","51","0.340877874790287","0.272757979647889","0.408997769932684"
"Selten","2013","35-65","Hauptschule","1168","0.292880024476307","0.278857487921908","0.306902561030707"
"Selten","2013","35-65","Realschule","1331","0.297269292028642","0.284411461558143","0.31012712249914"
"Selten","2013","35-65","(Fach-)Abitur","507","0.277761174265733","0.257362413470738","0.298159935060729"
"Selten","2013","35-65","AkademikerIn","991","0.265462699691198","0.25155391778519","0.279371481597206"
"Selten","2013","66 +","(noch) kein Abschluss","19","","",""
"Selten","2013","66 +","Hauptschule","657","0.250657812189054","0.234191119971519","0.267124504406589"
"Selten","2013","66 +","Realschule","213","0.281915831404036","0.250560798720455","0.313270864087616"
"Selten","2013","66 +","(Fach-)Abitur","49","0.256388431346738","0.199958898567587","0.31281796412589"
"Selten","2013","66 +","AkademikerIn","306","0.297999266664108","0.271506840765344","0.324491692562871"
"Nie","2013","17-34","(noch) kein Abschluss","299","0.579580678503756","0.538251564539269","0.620909792468243"
"Nie","2013","17-34","Hauptschule","457","0.44477431801266","0.414035592351395","0.475513043673926"
"Nie","2013","17-34","Realschule","832","0.534592810506795","0.509720739437147","0.559464881576442"
"Nie","2013","17-34","(Fach-)Abitur","700","0.611304362450525","0.583420840824125","0.639187884076925"
"Nie","2013","17-34","AkademikerIn","504","0.637786461587368","0.604521969671977","0.671050953502759"
"Nie","2013","35-65","(noch) kein Abschluss","62","0.296130630373433","0.230519228420877","0.361742032325989"
"Nie","2013","35-65","Hauptschule","2124","0.528043085555165","0.512660795071421","0.543425376038909"
"Nie","2013","35-65","Realschule","2780","0.5436118569846","0.529599543595668","0.557624170373532"
"Nie","2013","35-65","(Fach-)Abitur","1090","0.566297394971858","0.543726649820247","0.588868140123469"
"Nie","2013","35-65","AkademikerIn","2499","0.615484290566473","0.600161214876493","0.630807366256454"
"Nie","2013","66 +","(noch) kein Abschluss","34","0.503335159919218","0.383613967920763","0.623056351917673"
"Nie","2013","66 +","Hauptschule","1611","0.587705339610347","0.569002423445223","0.60640825577547"
"Nie","2013","66 +","Realschule","489","0.584674864483169","0.550334004340359","0.619015724625979"
"Nie","2013","66 +","(Fach-)Abitur","146","0.576890373074032","0.513040906654748","0.640739839493317"
"Nie","2013","66 +","AkademikerIn","748","0.60836196433982","0.580089165301871","0.636634763377769"
"Sehr oft","2014","17-34","(noch) kein Abschluss","","","",""
"Sehr oft","2014","17-34","Hauptschule","","","",""
"Sehr oft","2014","17-34","Realschule","","","",""
"Sehr oft","2014","17-34","(Fach-)Abitur","","","",""
"Sehr oft","2014","17-34","AkademikerIn","","","",""
"Sehr oft","2014","35-65","(noch) kein Abschluss","","","",""
"Sehr oft","2014","35-65","Hauptschule","","","",""
"Sehr oft","2014","35-65","Realschule","","","",""
"Sehr oft","2014","35-65","(Fach-)Abitur","","","",""
"Sehr oft","2014","35-65","AkademikerIn","","","",""
"Sehr oft","2014","66 +","(noch) kein Abschluss","","","",""
"Sehr oft","2014","66 +","Hauptschule","","","",""
"Sehr oft","2014","66 +","Realschule","","","",""
"Sehr oft","2014","66 +","(Fach-)Abitur","","","",""
"Sehr oft","2014","66 +","AkademikerIn","","","",""
"Oft","2014","17-34","(noch) kein Abschluss","","","",""
"Oft","2014","17-34","Hauptschule","","","",""
"Oft","2014","17-34","Realschule","","","",""
"Oft","2014","17-34","(Fach-)Abitur","","","",""
"Oft","2014","17-34","AkademikerIn","","","",""
"Oft","2014","35-65","(noch) kein Abschluss","","","",""
"Oft","2014","35-65","Hauptschule","","","",""
"Oft","2014","35-65","Realschule","","","",""
"Oft","2014","35-65","(Fach-)Abitur","","","",""
"Oft","2014","35-65","AkademikerIn","","","",""
"Oft","2014","66 +","(noch) kein Abschluss","","","",""
"Oft","2014","66 +","Hauptschule","","","",""
"Oft","2014","66 +","Realschule","","","",""
"Oft","2014","66 +","(Fach-)Abitur","","","",""
"Oft","2014","66 +","AkademikerIn","","","",""
"Manchmal","2014","17-34","(noch) kein Abschluss","","","",""
"Manchmal","2014","17-34","Hauptschule","","","",""
"Manchmal","2014","17-34","Realschule","","","",""
"Manchmal","2014","17-34","(Fach-)Abitur","","","",""
"Manchmal","2014","17-34","AkademikerIn","","","",""
"Manchmal","2014","35-65","(noch) kein Abschluss","","","",""
"Manchmal","2014","35-65","Hauptschule","","","",""
"Manchmal","2014","35-65","Realschule","","","",""
"Manchmal","2014","35-65","(Fach-)Abitur","","","",""
"Manchmal","2014","35-65","AkademikerIn","","","",""
"Manchmal","2014","66 +","(noch) kein Abschluss","","","",""
"Manchmal","2014","66 +","Hauptschule","","","",""
"Manchmal","2014","66 +","Realschule","","","",""
"Manchmal","2014","66 +","(Fach-)Abitur","","","",""
"Manchmal","2014","66 +","AkademikerIn","","","",""
"Selten","2014","17-34","(noch) kein Abschluss","","","",""
"Selten","2014","17-34","Hauptschule","","","",""
"Selten","2014","17-34","Realschule","","","",""
"Selten","2014","17-34","(Fach-)Abitur","","","",""
"Selten","2014","17-34","AkademikerIn","","","",""
"Selten","2014","35-65","(noch) kein Abschluss","","","",""
"Selten","2014","35-65","Hauptschule","","","",""
"Selten","2014","35-65","Realschule","","","",""
"Selten","2014","35-65","(Fach-)Abitur","","","",""
"Selten","2014","35-65","AkademikerIn","","","",""
"Selten","2014","66 +","(noch) kein Abschluss","","","",""
"Selten","2014","66 +","Hauptschule","","","",""
"Selten","2014","66 +","Realschule","","","",""
"Selten","2014","66 +","(Fach-)Abitur","","","",""
"Selten","2014","66 +","AkademikerIn","","","",""
"Nie","2014","17-34","(noch) kein Abschluss","","","",""
"Nie","2014","17-34","Hauptschule","","","",""
"Nie","2014","17-34","Realschule","","","",""
"Nie","2014","17-34","(Fach-)Abitur","","","",""
"Nie","2014","17-34","AkademikerIn","","","",""
"Nie","2014","35-65","(noch) kein Abschluss","","","",""
"Nie","2014","35-65","Hauptschule","","","",""
"Nie","2014","35-65","Realschule","","","",""
"Nie","2014","35-65","(Fach-)Abitur","","","",""
"Nie","2014","35-65","AkademikerIn","","","",""
"Nie","2014","66 +","(noch) kein Abschluss","","","",""
"Nie","2014","66 +","Hauptschule","","","",""
"Nie","2014","66 +","Realschule","","","",""
"Nie","2014","66 +","(Fach-)Abitur","","","",""
"Nie","2014","66 +","AkademikerIn","","","",""
