"plj0589","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Manchmal","2017","(Fach-)Abitur","504","0.105686744999075","0.0966447804596716","0.114728709538477"
"Manchmal","2017","AkademikerIn","556","0.0730700694690521","0.0668916624797069","0.0792484764583973"
"Selten","2017","(noch) kein Abschluss","347","0.238339365595853","0.21776246611593","0.258916265075776"
"Selten","2017","Hauptschule","2036","0.271681753196483","0.261633969590284","0.281729536802681"
"Selten","2017","Realschule","1926","0.290109299404027","0.279425475768182","0.300793123039871"
"Selten","2017","(Fach-)Abitur","1169","0.268425929012734","0.255392788151616","0.281459069873853"
"Selten","2017","AkademikerIn","1684","0.240430151922545","0.230284928308779","0.250575375536312"
"Nie","2017","(noch) kein Abschluss","768","0.463216529058663","0.439134510731966","0.487298547385359"
"Nie","2017","Hauptschule","3989","0.540405409598152","0.529148303989256","0.551662515207049"
"Nie","2017","Realschule","4057","0.573444938996689","0.561801438842594","0.585088439150784"
"Nie","2017","(Fach-)Abitur","2538","0.582556695441312","0.568053104136378","0.597060286746245"
"Nie","2017","AkademikerIn","4353","0.659863134265312","0.648616124151981","0.671110144378642"
"Sehr oft","2018","(noch) kein Abschluss","8","","",""
"Sehr oft","2018","Hauptschule","11","","",""
"Sehr oft","2018","Realschule","","","",""
"Sehr oft","2018","(Fach-)Abitur","3","","",""
"Sehr oft","2018","AkademikerIn","2","","",""
"Oft","2018","(noch) kein Abschluss","13","","",""
"Oft","2018","Hauptschule","4","","",""
"Oft","2018","Realschule","","","",""
"Oft","2018","(Fach-)Abitur","7","","",""
"Oft","2018","AkademikerIn","6","","",""
"Manchmal","2018","(noch) kein Abschluss","42","0.286064354900793","0.213009206136661","0.359119503664925"
"Manchmal","2018","Hauptschule","15","","",""
"Manchmal","2018","Realschule","","","",""
"Manchmal","2018","(Fach-)Abitur","14","","",""
"Manchmal","2018","AkademikerIn","7","","",""
"Selten","2018","(noch) kein Abschluss","26","","",""
"Selten","2018","Hauptschule","15","","",""
"Selten","2018","Realschule","","","",""
"Selten","2018","(Fach-)Abitur","12","","",""
"Selten","2018","AkademikerIn","8","","",""
"Nie","2018","(noch) kein Abschluss","58","0.420821102361099","0.341013448570648","0.500628756151551"
"Nie","2018","Hauptschule","43","0.44590993964297","0.342056589362487","0.549763289923454"
"Nie","2018","Realschule","4","","",""
"Nie","2018","(Fach-)Abitur","23","","",""
"Nie","2018","AkademikerIn","22","","",""
"Sehr oft","2019","(noch) kein Abschluss","5","","",""
"Sehr oft","2019","Hauptschule","1","","",""
"Sehr oft","2019","Realschule","","","",""
"Sehr oft","2019","(Fach-)Abitur","1","","",""
"Sehr oft","2019","AkademikerIn","","","",""
"Oft","2019","(noch) kein Abschluss","11","","",""
"Oft","2019","Hauptschule","3","","",""
"Oft","2019","Realschule","1","","",""
"Oft","2019","(Fach-)Abitur","1","","",""
"Oft","2019","AkademikerIn","","","",""
"Manchmal","2019","(noch) kein Abschluss","30","0.184596992262793","0.117385804399359","0.251808180126227"
"Manchmal","2019","Hauptschule","8","","",""
"Manchmal","2019","Realschule","","","",""
"Manchmal","2019","(Fach-)Abitur","5","","",""
"Manchmal","2019","AkademikerIn","6","","",""
"Selten","2019","(noch) kein Abschluss","26","","",""
"Selten","2019","Hauptschule","5","","",""
"Selten","2019","Realschule","2","","",""
"Selten","2019","(Fach-)Abitur","5","","",""
"Selten","2019","AkademikerIn","8","","",""
"Nie","2019","(noch) kein Abschluss","56","0.528483464620694","0.442005139128349","0.614961790113039"
"Nie","2019","Hauptschule","27","","",""
"Nie","2019","Realschule","2","","",""
"Nie","2019","(Fach-)Abitur","14","","",""
"Nie","2019","AkademikerIn","8","","",""
"Sehr oft","2020","(noch) kein Abschluss","6","","",""
"Sehr oft","2020","Hauptschule","9","","",""
"Sehr oft","2020","Realschule","1","","",""
"Sehr oft","2020","(Fach-)Abitur","9","","",""
"Sehr oft","2020","AkademikerIn","2","","",""
"Oft","2020","(noch) kein Abschluss","28","","",""
"Oft","2020","Hauptschule","22","","",""
"Oft","2020","Realschule","","","",""
"Oft","2020","(Fach-)Abitur","17","","",""
"Oft","2020","AkademikerIn","10","","",""
"Manchmal","2020","(noch) kein Abschluss","87","0.288931929450616","0.241172030487336","0.336691828413896"
"Manchmal","2020","Hauptschule","49","0.209117606235239","0.153173888330461","0.265061324140017"
"Manchmal","2020","Realschule","5","","",""
"Manchmal","2020","(Fach-)Abitur","33","0.296524519956403","0.222440173999096","0.370608865913709"
"Manchmal","2020","AkademikerIn","22","","",""
"Selten","2020","(noch) kein Abschluss","91","0.197096006863772","0.155179916943897","0.239012096783646"
"Selten","2020","Hauptschule","48","0.224270424812239","0.166892973955893","0.281647875668585"
"Selten","2020","Realschule","2","","",""
"Selten","2020","(Fach-)Abitur","38","0.255008003856745","0.184307196620966","0.325708811092525"
"Selten","2020","AkademikerIn","24","","",""
"Nie","2020","(noch) kein Abschluss","134","0.381852135188974","0.330659929748738","0.43304434062921"
"Nie","2020","Hauptschule","75","0.474184988684674","0.405495471621897","0.542874505747451"
"Nie","2020","Realschule","9","","",""
"Nie","2020","(Fach-)Abitur","49","0.295093591721324","0.22111308839514","0.369074095047508"
"Nie","2020","AkademikerIn","30","0.439844033702219","0.336136432102575","0.543551635301863"
