year,plg0292_h,pgisced97,quintil_oecd,proportion,n,lower_confidence,upper_confidence
1984,Vocational Retraining,middle vocational,1st Quintile,0.35,16099,0.34263203894453054,0.3573679610554694
1984,Vocational Retraining,general elementary,1st Quintile,0.15,16099,0.1444841593191925,0.15551584068080748
1984,Vocational Retraining,middle vocational,2nd Quintile,0.15,16099,0.1444841593191925,0.15551584068080748
1984,Vocational Retraining,inadequately,1st Quintile,0.1,16099,0.09536576688879628,0.10463423311120373
1984,Vocational Retraining,middle vocational,3rd Quintile,0.1,16099,0.09536576688879628,0.10463423311120373
1984,Vocational Retraining,higher education,1st Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Vocational Retraining,middle vocational,5th Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Vocational Retraining,general elementary,2nd Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Further vocational education,middle vocational,1st Quintile,0.26605504587155965,16099,0.2592289227756905,0.2728811689674288
1984,Further vocational education,middle vocational,2nd Quintile,0.1926605504587156,16099,0.1865682529032913,0.19875284801413992
1984,Further vocational education,higher education,2nd Quintile,0.10091743119266056,16099,0.0962643620753395,0.10557050030998161
1984,Further vocational education,middle vocational,3rd Quintile,0.09174311926605505,16099,0.08728401404448298,0.09620222448762712
1984,Further vocational education,vocational + Abi,2nd Quintile,0.045871559633027525,16099,0.042639854001483055,0.049103265264571996
1984,Further vocational education,higher vocational,3rd Quintile,0.045871559633027525,16099,0.042639854001483055,0.049103265264571996
1984,Further vocational education,higher education,3rd Quintile,0.03669724770642202,16099,0.03379285880559729,0.03960163660724675
1984,Further vocational education,higher vocational,1st Quintile,0.03669724770642202,16099,0.03379285880559729,0.03960163660724675
1984,Further vocational education,vocational + Abi,1st Quintile,0.03669724770642202,16099,0.03379285880559729,0.03960163660724675
1984,Further vocational education,general elementary,1st Quintile,0.027522935779816515,16099,0.02499571209413353,0.0300501594654995
1984,Further vocational education,higher education,1st Quintile,0.027522935779816515,16099,0.02499571209413353,0.0300501594654995
1984,Further vocational education,middle vocational,4th Quintile,0.01834862385321101,16099,0.016275443856277355,0.020421803850144665
1984,Further vocational education,higher vocational,2nd Quintile,0.01834862385321101,16099,0.016275443856277355,0.020421803850144665
1984,Further vocational education,general elementary,2nd Quintile,0.01834862385321101,16099,0.016275443856277355,0.020421803850144665
1984,Further vocational education,higher vocational,4th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
1984,Further vocational education,higher education,4th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
1984,Further vocational education,middle vocational,5th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
1984,Further vocational education,higher education,5th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
1984,Vocational rehabilitation,middle vocational,1st Quintile,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Vocational rehabilitation,higher education,2nd Quintile,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Further general/political education,higher education,4th Quintile,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Further general/political education,higher education,1st Quintile,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Further general/political education,middle vocational,3rd Quintile,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Further general/political education,higher vocational,1st Quintile,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Further general/political education,vocational + Abi,2nd Quintile,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Further general/political education,middle vocational,4th Quintile,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Further general/political education,middle vocational,2nd Quintile,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Further general/political education,middle vocational,1st Quintile,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Further general/political education,general elementary,3rd Quintile,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Others,middle vocational,1st Quintile,0.18604651162790697,16099,0.1800352285305662,0.19205779472524775
1984,Others,middle vocational,2nd Quintile,0.18604651162790697,16099,0.1800352285305662,0.19205779472524775
1984,Others,general elementary,1st Quintile,0.13953488372093023,16099,0.13418228540871,0.14488748203315047
1984,Others,middle vocational,3rd Quintile,0.09302325581395349,16099,0.08853631372037538,0.0975101979075316
1984,Others,higher education,1st Quintile,0.09302325581395349,16099,0.08853631372037538,0.0975101979075316
1984,Others,higher vocational,1st Quintile,0.06976744186046512,16099,0.06583213331512616,0.07370275040580407
1984,Others,general elementary,2nd Quintile,0.046511627906976744,16099,0.043258545299080735,0.04976471051487275
1984,Others,general elementary,3rd Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Others,higher vocational,2nd Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Others,inadequately,1st Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Others,higher education,3rd Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Others,inadequately,2nd Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Others,vocational + Abi,1st Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Others,vocational + Abi,4th Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Others,middle vocational,4th Quintile,0.023255813953488372,16099,0.020927654020954475,0.02558397388602227
1984,Multiple answers,middle vocational,1st Quintile,0.4,16099,0.39243232901896025,0.4075676709810398
1984,Multiple answers,general elementary,1st Quintile,0.2,16099,0.19382102251839506,0.20617897748160496
1984,Multiple answers,middle vocational,2nd Quintile,0.2,16099,0.19382102251839506,0.20617897748160496
1984,Multiple answers,higher education,1st Quintile,0.2,16099,0.19382102251839506,0.20617897748160496
1985,Vocational Retraining,middle vocational,1st Quintile,0.35,14443,0.3422211021908555,0.35777889780914446
1985,Vocational Retraining,general elementary,1st Quintile,0.25,14443,0.24293799530813312,0.2570620046918669
1985,Vocational Retraining,middle vocational,2nd Quintile,0.1,14443,0.09510729962815871,0.1048927003718413
1985,Vocational Retraining,inadequately,1st Quintile,0.1,14443,0.09510729962815871,0.1048927003718413
1985,Vocational Retraining,middle vocational,3rd Quintile,0.05,14443,0.04644553558635332,0.05355446441364668
1985,Vocational Retraining,vocational + Abi,2nd Quintile,0.05,14443,0.04644553558635332,0.05355446441364668
1985,Vocational Retraining,higher vocational,2nd Quintile,0.05,14443,0.04644553558635332,0.05355446441364668
1985,Vocational Retraining,higher vocational,4th Quintile,0.05,14443,0.04644553558635332,0.05355446441364668
1985,Further vocational education,middle vocational,1st Quintile,0.22105263157894736,14443,0.21428511594579508,0.22782014721209964
1985,Further vocational education,middle vocational,2nd Quintile,0.2,14443,0.1934763995042116,0.2065236004957884
1985,Further vocational education,middle vocational,3rd Quintile,0.15789473684210525,14443,0.1519477855226384,0.1638416881615721
1985,Further vocational education,middle vocational,4th Quintile,0.05263157894736842,14443,0.04898982988290219,0.05627332801183465
1985,Further vocational education,higher education,1st Quintile,0.05263157894736842,14443,0.04898982988290219,0.05627332801183465
1985,Further vocational education,higher education,2nd Quintile,0.05263157894736842,14443,0.04898982988290219,0.05627332801183465
1985,Further vocational education,higher vocational,1st Quintile,0.042105263157894736,14443,0.03882993776457075,0.04538058855121872
1985,Further vocational education,general elementary,1st Quintile,0.042105263157894736,14443,0.03882993776457075,0.04538058855121872
1985,Further vocational education,higher vocational,2nd Quintile,0.042105263157894736,14443,0.03882993776457075,0.04538058855121872
1985,Further vocational education,higher vocational,3rd Quintile,0.021052631578947368,14443,0.018711314503155024,0.02339394865473971
1985,Further vocational education,vocational + Abi,3rd Quintile,0.021052631578947368,14443,0.018711314503155024,0.02339394865473971
1985,Further vocational education,general elementary,2nd Quintile,0.021052631578947368,14443,0.018711314503155024,0.02339394865473971
1985,Further vocational education,vocational + Abi,2nd Quintile,0.021052631578947368,14443,0.018711314503155024,0.02339394865473971
1985,Further vocational education,middle vocational,5th Quintile,0.010526315789473684,14443,0.008861877540986076,0.012190754037961292
1985,Further vocational education,general elementary,3rd Quintile,0.010526315789473684,14443,0.008861877540986076,0.012190754037961292
1985,Further vocational education,vocational + Abi,1st Quintile,0.010526315789473684,14443,0.008861877540986076,0.012190754037961292
1985,Further vocational education,higher education,3rd Quintile,0.010526315789473684,14443,0.008861877540986076,0.012190754037961292
1985,Further vocational education,higher education,5th Quintile,0.010526315789473684,14443,0.008861877540986076,0.012190754037961292
1985,Vocational rehabilitation,middle vocational,1st Quintile,1.0,14443,1.0,1.0
1985,Further general/political education,middle vocational,2nd Quintile,0.375,14443,0.3671044387257816,0.3828955612742184
1985,Further general/political education,middle vocational,1st Quintile,0.25,14443,0.24293799530813312,0.2570620046918669
1985,Further general/political education,general elementary,1st Quintile,0.125,14443,0.11960630482356445,0.13039369517643554
1985,Further general/political education,vocational + Abi,2nd Quintile,0.125,14443,0.11960630482356445,0.13039369517643554
1985,Further general/political education,higher education,2nd Quintile,0.125,14443,0.11960630482356445,0.13039369517643554
1985,Others,middle vocational,1st Quintile,0.16,14443,0.15402102138487966,0.16597897861512034
1985,Others,middle vocational,2nd Quintile,0.16,14443,0.15402102138487966,0.16597897861512034
1985,Others,inadequately,1st Quintile,0.12,14443,0.11470020190357129,0.12529979809642872
1985,Others,higher education,1st Quintile,0.12,14443,0.11470020190357129,0.12529979809642872
1985,Others,general elementary,1st Quintile,0.12,14443,0.11470020190357129,0.12529979809642872
1985,Others,general elementary,2nd Quintile,0.08,14443,0.07557547887594836,0.08442452112405165
1985,Others,higher vocational,2nd Quintile,0.08,14443,0.07557547887594836,0.08442452112405165
1985,Others,higher vocational,4th Quintile,0.04,14443,0.036804101499910216,0.043195898500089785
1985,Others,middle vocational,3rd Quintile,0.04,14443,0.036804101499910216,0.043195898500089785
1985,Others,higher education,2nd Quintile,0.04,14443,0.036804101499910216,0.043195898500089785
1985,Others,higher vocational,1st Quintile,0.04,14443,0.036804101499910216,0.043195898500089785
1985,Multiple answers,higher vocational,4th Quintile,0.3333333333333333,14443,0.32564519641946016,0.34102147024720647
1985,Multiple answers,vocational + Abi,2nd Quintile,0.16666666666666666,14443,0.1605886607639024,0.1727446725694309
1985,Multiple answers,general elementary,1st Quintile,0.16666666666666666,14443,0.1605886607639024,0.1727446725694309
1985,Multiple answers,higher vocational,3rd Quintile,0.16666666666666666,14443,0.1605886607639024,0.1727446725694309
1985,Multiple answers,middle vocational,1st Quintile,0.16666666666666666,14443,0.1605886607639024,0.1727446725694309
1986,Vocational Retraining,middle vocational,1st Quintile,0.3076923076923077,13742,0.29997547654829726,0.31540913883631816
1986,Vocational Retraining,general elementary,1st Quintile,0.11538461538461539,13742,0.11004288090736984,0.12072634986186094
1986,Vocational Retraining,higher education,2nd Quintile,0.07692307692307693,13742,0.0724677623847916,0.08137839146136225
1986,Vocational Retraining,higher vocational,1st Quintile,0.07692307692307693,13742,0.0724677623847916,0.08137839146136225
1986,Vocational Retraining,higher education,1st Quintile,0.07692307692307693,13742,0.0724677623847916,0.08137839146136225
