year,bula_h,pgisced97,plg0292_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,inadequately,Others,1.0,16099,1.0,1.0
1984,Schleswig-Holstein,middle vocational,Others,0.42857142857142855,16099,0.42092692647359725,0.43621593066925984
1984,Schleswig-Holstein,middle vocational,Further vocational education,0.42857142857142855,16099,0.42092692647359725,0.43621593066925984
1984,Schleswig-Holstein,middle vocational,Multiple answers,0.14285714285714285,16099,0.13745166358497157,0.14826262212931413
1984,Hamburg,middle vocational,Further vocational education,1.0,16099,1.0,1.0
1984,Hamburg,vocational + Abi,Further vocational education,1.0,16099,1.0,1.0
1984,Hamburg,higher vocational,Further vocational education,1.0,16099,1.0,1.0
1984,Hamburg,higher education,Further vocational education,1.0,16099,1.0,1.0
1984,Lower Saxony,inadequately,Vocational Retraining,1.0,16099,1.0,1.0
1984,Lower Saxony,general elementary,Vocational Retraining,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Lower Saxony,general elementary,Others,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Lower Saxony,middle vocational,Further vocational education,0.45454545454545453,16099,0.44685371511592836,0.4622371939749807
1984,Lower Saxony,middle vocational,Others,0.36363636363636365,16099,0.3562054373759114,0.37106728989681587
1984,Lower Saxony,middle vocational,Vocational Retraining,0.18181818181818182,16099,0.1758601860753975,0.18777617756096615
1984,Lower Saxony,higher vocational,Further vocational education,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Lower Saxony,higher vocational,Others,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Lower Saxony,higher education,Further vocational education,0.75,16099,0.7433110606643977,0.7566889393356023
1984,Lower Saxony,higher education,Vocational rehabilitation,0.25,16099,0.24331106066439764,0.2566889393356024
1984,Bremen,general elementary,Others,1.0,16099,1.0,1.0
1984,North Rhine-Westphalia,inadequately,Vocational Retraining,1.0,16099,1.0,1.0
1984,North Rhine-Westphalia,general elementary,Others,0.4,16099,0.39243232901896025,0.4075676709810398
1984,North Rhine-Westphalia,general elementary,Multiple answers,0.2,16099,0.19382102251839506,0.20617897748160496
1984,North Rhine-Westphalia,general elementary,Vocational Retraining,0.2,16099,0.19382102251839506,0.20617897748160496
1984,North Rhine-Westphalia,general elementary,Further vocational education,0.2,16099,0.19382102251839506,0.20617897748160496
1984,North Rhine-Westphalia,middle vocational,Further vocational education,0.5294117647058824,16099,0.5217014172740438,0.5371221121377209
1984,North Rhine-Westphalia,middle vocational,Others,0.20588235294117646,16099,0.19963625764112888,0.21212844824122404
1984,North Rhine-Westphalia,middle vocational,Vocational Retraining,0.14705882352941177,16099,0.14158788663639899,0.15252976042242455
1984,North Rhine-Westphalia,middle vocational,Further general/political education,0.058823529411764705,16099,0.05518883677552649,0.06245822204800292
1984,North Rhine-Westphalia,middle vocational,Vocational rehabilitation,0.029411764705882353,16099,0.026801799762159743,0.032021729649604966
1984,North Rhine-Westphalia,middle vocational,Multiple answers,0.029411764705882353,16099,0.026801799762159743,0.032021729649604966
1984,North Rhine-Westphalia,vocational + Abi,Further vocational education,1.0,16099,1.0,1.0
1984,North Rhine-Westphalia,higher vocational,Further vocational education,0.5555555555555556,16099,0.5478796590664949,0.5632314520446162
1984,North Rhine-Westphalia,higher vocational,Others,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,North Rhine-Westphalia,higher vocational,Further general/political education,0.1111111111111111,16099,0.10625644791328683,0.11596577430893538
1984,North Rhine-Westphalia,higher education,Others,0.4,16099,0.39243232901896025,0.4075676709810398
1984,North Rhine-Westphalia,higher education,Vocational Retraining,0.2,16099,0.19382102251839506,0.20617897748160496
1984,North Rhine-Westphalia,higher education,Further general/political education,0.2,16099,0.19382102251839506,0.20617897748160496
1984,North Rhine-Westphalia,higher education,Further vocational education,0.2,16099,0.19382102251839506,0.20617897748160496
1984,Hesse,general elementary,Further vocational education,0.4,16099,0.39243232901896025,0.4075676709810398
1984,Hesse,general elementary,Others,0.4,16099,0.39243232901896025,0.4075676709810398
1984,Hesse,general elementary,Further general/political education,0.2,16099,0.19382102251839506,0.20617897748160496
1984,Hesse,middle vocational,Further vocational education,0.8181818181818182,16099,0.8122238224390339,0.8241398139246026
1984,Hesse,middle vocational,Further general/political education,0.09090909090909091,16099,0.08646826307891753,0.0953499187392643
1984,Hesse,middle vocational,Vocational Retraining,0.09090909090909091,16099,0.08646826307891753,0.0953499187392643
1984,Hesse,vocational + Abi,Further vocational education,1.0,16099,1.0,1.0
1984,Hesse,higher vocational,Further vocational education,1.0,16099,1.0,1.0
1984,Hesse,higher education,Further vocational education,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Hesse,higher education,Further general/political education,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Hesse,higher education,Others,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,"Rhineland-Palatinate, Saarland",general elementary,Vocational Retraining,1.0,16099,1.0,1.0
1984,"Rhineland-Palatinate, Saarland",middle vocational,Further vocational education,0.375,16099,0.3675215384741104,0.3824784615258896
1984,"Rhineland-Palatinate, Saarland",middle vocational,Others,0.25,16099,0.24331106066439764,0.2566889393356024
1984,"Rhineland-Palatinate, Saarland",middle vocational,Vocational Retraining,0.25,16099,0.24331106066439764,0.2566889393356024
1984,"Rhineland-Palatinate, Saarland",middle vocational,Multiple answers,0.125,16099,0.11989123819593908,0.13010876180406092
