year,quintil_oecd,sampreg,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,4th Quintile,West,Further vocational education,0.01185,33,33,-0.02564,0.04935
1984,5th Quintile,West,Further vocational education,0.01503,39,39,-0.02366,0.05372
1985,5th Quintile,West,Further vocational education,0.01417,35,35,-0.02556,0.05391
1986,4th Quintile,West,Further vocational education,0.01541,34,34,-0.02662,0.05745
1986,5th Quintile,West,Further vocational education,0.01275,32,32,-0.02674,0.05224
1987,4th Quintile,West,Further vocational education,0.01318,36,36,-0.02460,0.05096
1987,5th Quintile,West,Further vocational education,0.01579,38,38,-0.02438,0.05596
1992,1st Quintile,East,Vocational Retraining,0.01773,39,39,-0.02423,0.05969
1992,2nd Quintile,East,Vocational Retraining,0.02412,38,82,-0.00929,0.05753
1992,2nd Quintile,East,Further vocational education,0.02656,44,82,-0.00846,0.06158
1992,3rd Quintile,East,Further vocational education,0.04386,42,42,-0.01883,0.10654
1993,1st Quintile,East,Vocational Retraining,0.02427,42,42,-0.02283,0.07138
1993,2nd Quintile,East,Further vocational education,0.02856,48,48,-0.01906,0.07618
1993,3rd Quintile,East,Further vocational education,0.03145,34,34,-0.02810,0.09100
1994,3rd Quintile,East,Further vocational education,0.02748,31,31,-0.03102,0.08598
1994,4th Quintile,West,Further vocational education,0.01323,33,33,-0.02636,0.05282
1994,5th Quintile,West,Further vocational education,0.01780,36,36,-0.02601,0.06161
1995,5th Quintile,West,Further vocational education,0.01211,35,35,-0.02466,0.04888
2001,4th Quintile,West,Further vocational education,0.00838,40,40,-0.02023,0.03699
2001,5th Quintile,West,Further vocational education,0.01298,48,48,-0.01938,0.04534
2002,5th Quintile,West,Further vocational education,0.01208,45,45,-0.02020,0.04436
2003,5th Quintile,West,Further vocational education,0.00859,43,43,-0.01932,0.03650
2004,4th Quintile,West,Further vocational education,0.00901,34,34,-0.02323,0.04124
2004,5th Quintile,West,Further vocational education,0.00685,41,41,-0.01871,0.03242
2012,5th Quintile,West,Further vocational education,0.00775,35,35,-0.02172,0.03721
2013,3rd Quintile,West,Further vocational education,0.00573,32,32,-0.02083,0.03228
2013,4th Quintile,West,Further vocational education,0.00889,38,38,-0.02136,0.03914
2014,2nd Quintile,West,Further vocational education,0.00683,33,33,-0.02171,0.03536
2014,5th Quintile,West,Further vocational education,0.00962,39,39,-0.02142,0.04066
2017,5th Quintile,West,Further vocational education,0.00787,36,36,-0.02140,0.03714
