year,bula_h,sampreg,plg0292_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Others,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Schleswig-Holstein,West,Further vocational education,0.375,16099,0.3675215384741104,0.3824784615258896
1984,Schleswig-Holstein,West,Multiple answers,0.125,16099,0.11989123819593908,0.13010876180406092
1984,Hamburg,West,Further vocational education,1.0,16099,1.0,1.0
1984,Lower Saxony,West,Further vocational education,0.45,16099,0.44231499378954797,0.45768500621045205
1984,Lower Saxony,West,Others,0.3,16099,0.2929210919932794,0.30707890800672055
1984,Lower Saxony,West,Vocational Retraining,0.2,16099,0.19382102251839506,0.20617897748160496
1984,Lower Saxony,West,Vocational rehabilitation,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Bremen,West,Others,1.0,16099,1.0,1.0
1984,North Rhine-Westphalia,West,Further vocational education,0.5,16099,0.4922762781479938,0.5077237218520062
1984,North Rhine-Westphalia,West,Others,0.2413793103448276,16099,0.23476904361959966,0.24798957707005553
1984,North Rhine-Westphalia,West,Vocational Retraining,0.13793103448275862,16099,0.1326043297572371,0.14325773920828014
1984,North Rhine-Westphalia,West,Further general/political education,0.06896551724137931,16099,0.0650512046649794,0.07287982981777921
1984,North Rhine-Westphalia,West,Multiple answers,0.034482758620689655,16099,0.03166413141844915,0.03730138582293016
1984,North Rhine-Westphalia,West,Vocational rehabilitation,0.017241379310344827,16099,0.015230592372181736,0.019252166248507917
1984,Hesse,West,Further vocational education,0.6666666666666666,16099,0.6593846718699302,0.673948661463403
1984,Hesse,West,Further general/political education,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Hesse,West,Others,0.125,16099,0.11989123819593908,0.13010876180406092
1984,Hesse,West,Vocational Retraining,0.041666666666666664,16099,0.03857986093873744,0.044753472394595886
1984,"Rhineland-Palatinate, Saarland",West,Further vocational education,0.36363636363636365,16099,0.3562054373759114,0.37106728989681587
1984,"Rhineland-Palatinate, Saarland",West,Vocational Retraining,0.2727272727272727,16099,0.26584757183541835,0.27960697361912706
1984,"Rhineland-Palatinate, Saarland",West,Others,0.18181818181818182,16099,0.1758601860753975,0.18777617756096615
1984,"Rhineland-Palatinate, Saarland",West,Multiple answers,0.09090909090909091,16099,0.08646826307891753,0.0953499187392643
1984,"Rhineland-Palatinate, Saarland",West,Further general/political education,0.09090909090909091,16099,0.08646826307891753,0.0953499187392643
1984,Baden-Wuerttemberg,West,Further vocational education,0.6428571428571429,16099,0.6354553855284059,0.65025890018588
1984,Baden-Wuerttemberg,West,Others,0.25,16099,0.24331106066439764,0.2566889393356024
1984,Baden-Wuerttemberg,West,Vocational Retraining,0.07142857142857142,16099,0.0674502464035957,0.07540689645354715
1984,Baden-Wuerttemberg,West,Further general/political education,0.03571428571428571,16099,0.03284759742759898,0.03858097400097244
1984,Bavaria,West,Further vocational education,0.6666666666666666,16099,0.6593846718699302,0.673948661463403
1984,Bavaria,West,Others,0.125,16099,0.11989123819593908,0.13010876180406092
1984,Bavaria,West,Vocational Retraining,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Bavaria,West,Further general/political education,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1984,Bavaria,West,Multiple answers,0.041666666666666664,16099,0.03857986093873744,0.044753472394595886
1984,Berlin,West,Further vocational education,0.6923076923076923,16099,0.6851781029058404,0.6994372817095442
1984,Berlin,West,Others,0.3076923076923077,16099,0.30056271829045583,0.3148218970941596
1985,Schleswig-Holstein,West,Further vocational education,0.6,14443,0.5920102537497756,0.6079897462502244
1985,Schleswig-Holstein,West,Others,0.2,14443,0.1934763995042116,0.2065236004957884
1985,Schleswig-Holstein,West,Further general/political education,0.2,14443,0.1934763995042116,0.2065236004957884
1985,Hamburg,West,Vocational Retraining,0.5,14443,0.4918454993802645,0.5081545006197354
1985,Hamburg,West,Further vocational education,0.5,14443,0.4918454993802645,0.5081545006197354
1985,Lower Saxony,West,Further vocational education,0.6086956521739131,14443,0.600736170222795,0.6166551341250311
1985,Lower Saxony,West,Others,0.17391304347826086,14443,0.1677313662371362,0.18009472071938554
1985,Lower Saxony,West,Vocational Retraining,0.08695652173913043,14443,0.08236111269204244,0.09155193078621843
1985,Lower Saxony,West,Further general/political education,0.08695652173913043,14443,0.08236111269204244,0.09155193078621843
1985,Lower Saxony,West,Multiple answers,0.043478260869565216,14443,0.04015234798084372,0.046804173758286716
