year,age_gr,migback,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Very important,0.20570,508,1738,0.18669,0.22471
1990,17-29 y.,No migration background,Important,0.27296,636,1738,0.25201,0.29391
1990,17-29 y.,No migration background,Less important,0.21857,463,1738,0.19913,0.23800
1990,17-29 y.,No migration background,Unimportant,0.06140,131,1738,0.05011,0.07269
1990,17-29 y.,Direct migration background,Very important,0.13007,33,33,0.01352,0.24662
1990,30-45 y.,No migration background,Very important,0.34850,909,1922,0.32719,0.36981
1990,30-45 y.,No migration background,Important,0.27261,681,1922,0.25270,0.29253
1990,30-45 y.,No migration background,Less important,0.11292,237,1922,0.09876,0.12707
1990,30-45 y.,No migration background,Unimportant,0.04545,95,1922,0.03613,0.05476
1990,30-45 y.,Direct migration background,Very important,0.18680,64,101,0.11041,0.26319
1990,30-45 y.,Direct migration background,Important,0.13226,37,101,0.06586,0.19866
1990,46-65 y.,No migration background,Very important,0.29956,811,1969,0.27932,0.31980
1990,46-65 y.,No migration background,Important,0.34924,883,1969,0.32818,0.37030
1990,46-65 y.,No migration background,Less important,0.08219,187,1969,0.07005,0.09432
1990,46-65 y.,No migration background,Unimportant,0.04464,88,1969,0.03552,0.05376
1990,46-65 y.,Direct migration background,Very important,0.18701,74,149,0.12419,0.24983
1990,46-65 y.,Direct migration background,Important,0.23651,75,149,0.16805,0.30497
1990,66 and older,No migration background,Very important,0.27449,333,913,0.24553,0.30345
1990,66 and older,No migration background,Important,0.34949,410,913,0.31854,0.38043
1990,66 and older,No migration background,Less important,0.06365,72,913,0.04781,0.07950
1990,66 and older,No migration background,Unimportant,0.09283,98,913,0.07399,0.11166
1992,17-29 y.,No migration background,Very important,0.32262,906,2545,0.30445,0.34078
1992,17-29 y.,No migration background,Important,0.32734,840,2545,0.30910,0.34557
1992,17-29 y.,No migration background,Less important,0.25253,598,2545,0.23565,0.26942
1992,17-29 y.,No migration background,Unimportant,0.08862,201,2545,0.07758,0.09966
1992,17-29 y.,Direct migration background,Very important,0.14125,34,65,0.05592,0.22658
1992,17-29 y.,Direct migration background,Important,0.13293,31,65,0.04975,0.21610
1992,30-45 y.,No migration background,Very important,0.52092,2035,3428,0.50420,0.53765
1992,30-45 y.,No migration background,Important,0.29437,943,3428,0.27911,0.30963
1992,30-45 y.,No migration background,Less important,0.13381,330,3428,0.12241,0.14521
1992,30-45 y.,No migration background,Unimportant,0.04626,120,3428,0.03922,0.05329
1992,30-45 y.,Direct migration background,Very important,0.22940,82,125,0.15539,0.30340
1992,30-45 y.,Direct migration background,Important,0.12457,43,125,0.06644,0.18269
1992,46-65 y.,No migration background,Very important,0.41855,1389,2954,0.40076,0.43634
1992,46-65 y.,No migration background,Important,0.39529,1152,2954,0.37766,0.41293
1992,46-65 y.,No migration background,Less important,0.09022,248,2954,0.07989,0.10056
1992,46-65 y.,No migration background,Unimportant,0.06695,165,2954,0.05794,0.07597
1992,46-65 y.,Direct migration background,Very important,0.25225,123,204,0.19250,0.31199
1992,46-65 y.,Direct migration background,Important,0.17907,81,204,0.12633,0.23181
1992,66 and older,No migration background,Very important,0.31348,436,1258,0.28783,0.33913
1992,66 and older,No migration background,Important,0.42332,549,1258,0.39600,0.45063
1992,66 and older,No migration background,Less important,0.07022,93,1258,0.05609,0.08434
1992,66 and older,No migration background,Unimportant,0.14731,180,1258,0.12772,0.16691
1992,66 and older,Direct migration background,Very important,0.36788,41,78,0.26017,0.47559
1992,66 and older,Direct migration background,Important,0.35695,37,78,0.24994,0.46397
1995,17-29 y.,No migration background,Very important,0.29251,745,2268,0.27379,0.31124
1995,17-29 y.,No migration background,Important,0.33942,767,2268,0.31993,0.35892
1995,17-29 y.,No migration background,Less important,0.27081,583,2268,0.25252,0.28910
