year,sex,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Very important,0.19245,1157,3375,0.17914,0.20575
1990,male,Important,0.25167,1411,3375,0.23702,0.26631
1990,male,Less important,0.10837,582,3375,0.09788,0.11886
1990,male,Unimportant,0.04567,225,3375,0.03863,0.05272
1990,female,Very important,0.25739,1618,3655,0.24322,0.27157
1990,female,Important,0.23835,1381,3655,0.22454,0.25217
1990,female,Less important,0.07982,441,3655,0.07103,0.08861
1990,female,Unimportant,0.04485,215,3655,0.03814,0.05156
1992,male,Very important,0.27478,2136,5158,0.26259,0.28696
1992,male,Important,0.28405,1869,5158,0.27174,0.29636
1992,male,Less important,0.12597,798,5158,0.11692,0.13503
1992,male,Unimportant,0.06072,355,5158,0.05420,0.06724
1992,female,Very important,0.35654,2932,5673,0.34407,0.36900
1992,female,Important,0.26690,1833,5673,0.25538,0.27841
1992,female,Less important,0.08327,553,5673,0.07608,0.09046
1992,female,Unimportant,0.06235,355,5673,0.05606,0.06864
1995,male,Very important,0.28682,2183,5279,0.27461,0.29902
1995,male,Important,0.28090,1961,5279,0.26877,0.29302
1995,male,Less important,0.12559,817,5279,0.11664,0.13453
1995,male,Unimportant,0.05556,318,5279,0.04938,0.06174
1995,female,Very important,0.37595,3050,5790,0.36347,0.38843
1995,female,Important,0.25843,1839,5790,0.24715,0.26971
1995,female,Less important,0.08156,567,5790,0.07451,0.08861
1995,female,Unimportant,0.05647,334,5790,0.05052,0.06241
2004,male,Very important,0.29194,3996,10197,0.28311,0.30077
2004,male,Important,0.31136,3839,10197,0.30238,0.32035
2004,male,Less important,0.14066,1671,10197,0.13391,0.14741
2004,male,Unimportant,0.06612,691,10197,0.06130,0.07094
2004,female,Very important,0.39081,5614,10978,0.38169,0.39994
2004,female,Important,0.28194,3616,10978,0.27352,0.29036
2004,female,Less important,0.08991,1156,10978,0.08456,0.09526
2004,female,Unimportant,0.05506,592,10978,0.05080,0.05933
2008,male,Very important,0.30905,3772,9082,0.29954,0.31855
2008,male,Important,0.29907,3391,9082,0.28965,0.30848
2008,male,Less important,0.13963,1324,9082,0.13250,0.14676
2008,male,Unimportant,0.06909,595,9082,0.06387,0.07430
2008,female,Very important,0.40706,5250,9949,0.39740,0.41671
2008,female,Important,0.27654,3244,9949,0.26775,0.28533
2008,female,Less important,0.09040,936,9949,0.08476,0.09603
2008,female,Unimportant,0.05470,519,9949,0.05023,0.05917
2012,male,Very important,0.31278,5756,12391,0.30461,0.32094
2012,male,Important,0.30525,4513,12391,0.29714,0.31336
2012,male,Less important,0.13162,1455,12391,0.12567,0.13758
2012,male,Unimportant,0.06872,667,12391,0.06427,0.07317
2012,female,Very important,0.40091,8503,14882,0.39303,0.40878
2012,female,Important,0.28296,4669,14882,0.27572,0.29020
2012,female,Less important,0.08568,1060,14882,0.08118,0.09018
2012,female,Unimportant,0.05797,650,14882,0.05422,0.06173
2016,male,Very important,0.33613,5382,10971,0.32729,0.34497
2016,male,Important,0.28437,3740,10971,0.27593,0.29281
2016,male,Less important,0.12847,1258,10971,0.12220,0.13473
2016,male,Unimportant,0.06413,591,10971,0.05955,0.06871
2016,female,Very important,0.43558,7742,13005,0.42706,0.44410
2016,female,Important,0.25562,3750,13005,0.24812,0.26312
2016,female,Less important,0.08038,927,13005,0.07571,0.08506
2016,female,Unimportant,0.05827,586,13005,0.05424,0.06229
2021,male,Very important,0.29857,3470,7965,0.28852,0.30862
2021,male,Important,0.29161,2788,7965,0.28163,0.30159
2021,male,Less important,0.14233,1152,7965,0.13465,0.15000
2021,male,Unimportant,0.06612,555,7965,0.06066,0.07158
2021,female,Very important,0.40174,4759,8968,0.39160,0.41189
2021,female,Important,0.26214,2828,8968,0.25304,0.27124
2021,female,Less important,0.08377,819,8968,0.07804,0.08951
2021,female,Unimportant,0.06690,562,8968,0.06173,0.07207
