year,bula_h,quintil_oecd_hh,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,4th Quintile,No,0.99837,88,88,0.98989,1.00685
2016,Lower Saxony,3rd Quintile,No,0.99964,239,239,0.99723,1.00205
2016,Lower Saxony,4th Quintile,No,0.99919,276,276,0.99583,1.00255
2016,Lower Saxony,5th Quintile,No,0.98771,270,270,0.97454,1.00087
2016,North Rhine-Westphalia,2nd Quintile,No,0.99986,572,572,0.99891,1.00082
2016,North Rhine-Westphalia,3rd Quintile,No,0.99689,521,521,0.99210,1.00167
2016,North Rhine-Westphalia,4th Quintile,No,0.99812,539,539,0.99447,1.00178
2016,North Rhine-Westphalia,5th Quintile,No,0.98697,578,578,0.97772,0.99622
2016,Hesse,1st Quintile,No,0.99784,194,194,0.99128,1.00439
2016,Hesse,4th Quintile,No,0.99573,175,175,0.98604,1.00542
2016,Hesse,5th Quintile,No,0.99231,251,251,0.98148,1.00314
2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.99588,191,191,0.98676,1.00499
2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.99541,149,149,0.98451,1.00630
2016,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.99324,153,153,0.98021,1.00627
2016,Baden-Wuerttemberg,5th Quintile,No,0.99428,412,412,0.98699,1.00157
2016,Bavaria,4th Quintile,No,0.99903,464,464,0.99619,1.00187
2016,Bavaria,5th Quintile,No,0.99348,517,517,0.98653,1.00042
2016,Berlin,1st Quintile,No,0.99460,150,150,0.98284,1.00637
2016,Berlin,2nd Quintile,No,0.98462,111,111,0.96163,1.00762
2016,Brandenburg,3rd Quintile,No,0.99703,128,128,0.98757,1.00649
2016,Saxony,2nd Quintile,No,0.98638,230,230,0.97136,1.00139
2016,Saxony,4th Quintile,No,0.99895,126,126,0.99328,1.00463
2016,Saxony,5th Quintile,No,0.97863,82,82,0.94713,1.01012
2016,Saxony-Anhalt,1st Quintile,No,0.99389,159,159,0.98174,1.00604
2016,Thuringa,3rd Quintile,No,0.97878,110,110,0.95173,1.00584
2017,Schleswig-Holstein,2nd Quintile,No,0.99944,118,118,0.99513,1.00374
2017,Schleswig-Holstein,3rd Quintile,No,0.99888,109,109,0.99258,1.00518
2017,Lower Saxony,1st Quintile,No,0.99388,330,330,0.98546,1.00231
2017,Lower Saxony,2nd Quintile,No,0.99671,296,296,0.99018,1.00324
2017,Lower Saxony,4th Quintile,No,0.99855,307,307,0.99428,1.00281
2017,Lower Saxony,5th Quintile,No,0.99777,298,298,0.99241,1.00313
2017,North Rhine-Westphalia,2nd Quintile,No,0.99707,596,596,0.99273,1.00141
2017,North Rhine-Westphalia,3rd Quintile,No,0.99974,598,598,0.99844,1.00104
