year,rentown,sampreg,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,No,0.99664,5119,5119,0.99505,0.99823
2016,Owner,East,No,0.99623,1150,1150,0.99269,0.99977
2016,Tenant,West,No,0.99834,6066,6066,0.99732,0.99937
2016,Tenant,East,No,0.99669,1906,1906,0.99411,0.99927
2017,Owner,West,No,0.99939,5735,5735,0.99875,1.00003
2017,Owner,East,No,0.99438,1309,1309,0.99033,0.99843
2017,Tenant,West,No,0.99810,6484,6484,0.99704,0.99916
2017,Tenant,East,No,0.99912,2097,2097,0.99785,1.00039
2018,Owner,West,No,0.99676,5475,5475,0.99526,0.99827
2018,Owner,East,No,0.99979,1252,1252,0.99898,1.00060
2018,Tenant,West,No,0.99748,6497,6497,0.99626,0.99870
2018,Tenant,East,No,0.99944,2174,2174,0.99845,1.00043
2019,Owner,West,No,0.99727,6286,6286,0.99598,0.99856
2019,Owner,East,No,0.99667,1543,1543,0.99379,0.99954
2019,Tenant,Does not apply,No,0.98532,47,47,0.95057,1.02008
2019,Tenant,West,No,0.99851,6152,6152,0.99754,0.99947
2019,Tenant,East,No,0.99910,2037,2037,0.99779,1.00040
2020,Owner,West,No,0.99548,5564,5564,0.99372,0.99724
2020,Owner,East,No,0.99566,1350,1350,0.99216,0.99917
2020,Tenant,West,No,0.99559,7223,7223,0.99406,0.99712
2020,Tenant,East,No,0.99654,2078,2078,0.99402,0.99907
2021,Owner,West,No,0.99463,4098,4098,0.99239,0.99687
2021,Owner,East,No,0.99978,950,950,0.99883,1.00072
2021,Tenant,West,No,0.99677,4541,4541,0.99512,0.99842
2021,Tenant,East,No,0.99969,1440,1440,0.99877,1.00060
2022,Owner,West,No,0.99732,6243,6243,0.99604,0.99860
2022,Owner,East,No,0.99989,1542,1542,0.99935,1.00042
2022,Tenant,West,No,0.99623,8690,8690,0.99494,0.99752
2022,Tenant,East,No,0.99737,2646,2646,0.99542,0.99932
