year,rentown,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,No,0.99658,6269,6269,0.99514,0.99803
2016,Tenant,No,0.99799,7972,7972,0.99701,0.99898
2017,Owner,No,0.99869,7044,7044,0.99784,0.99953
2017,Tenant,No,0.99832,8581,8581,0.99745,0.99918
2018,Owner,No,0.99719,6727,6727,0.99592,0.99845
2018,Tenant,No,0.99789,8671,8671,0.99692,0.99886
2019,Owner,No,0.99719,7844,7844,0.99601,0.99836
2019,Tenant,No,0.99860,8236,8236,0.99780,0.99941
2020,Owner,No,0.99551,6914,6914,0.99393,0.99708
2020,Tenant,Yes,0.00421,32,9333,0.00290,0.00553
2020,Tenant,No,0.99579,9301,9333,0.99447,0.99710
2021,Owner,No,0.99535,5048,5048,0.99348,0.99723
2021,Tenant,No,0.99736,5981,5981,0.99606,0.99866
2022,Owner,No,0.99767,7785,7785,0.99660,0.99874
2022,Tenant,No,0.99646,11336,11336,0.99537,0.99755
